term	uri	rigidity	identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Sortal (Natural Kind)"",
  ""reasoning"": ""Butterfly is a rigid (+R) property because any instance that is a butterfly is essentially a butterfly in all possible worlds - a butterfly cannot cease to be a butterfly and remain the same individual. It carries identity (+I) and supplies its own identity criterion (+O) as a biological natural kind, with identity based on its organized biological structure and developmental lineage. Butterfly exhibits unity (+U) as instances are intrinsic wholes with integrated biological organization (body parts functionally connected). It is independent (-D) because individual butterflies exist as autonomous organisms without intrinsic existential dependence on other entities. As a substance sortal with +R, +O, +U properties, Butterfly qualifies as a Natural Kind category in the ontological framework.""
}
```"
Red	http://example.org/guarino-messy#Red							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""-R"",
    ""identity"": ""-I"",
    ""own_identity"": ""-O"",
    ""unity"": ""-U"",
    ""dependence"": ""+D""
  },
  ""classification"": ""Quality"",
  ""reasoning"": ""Red is a quality (color property) that is non-rigid (-R) because entities can gain or lose redness across possible worlds (e.g., an apple can be painted, ripen from green to red). It does not carry identity (-I, -O) because 'being red' does not provide criteria to distinguish one red thing from another - two red apples are distinguished by being apples, not by being red. Red is non-unifying (-U) as red things don't form intrinsic wholes merely by being red (a collection of red objects is just a collection). Red is dependent (+D) because redness cannot exist without being instantiated in some substrate - there is no free-floating redness, it must inhere in surfaces, objects, or light. As a quality/attribute, Red functions as a non-sortal property that characterizes but does not individuate entities.""
}
```"
Food	http://example.org/guarino-messy#Food							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""-R"",
    ""identity"": ""-I"",
    ""own_identity"": ""-O"",
    ""unity"": ""-U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Mixin"",
  ""reasoning"": ""Food is a non-rigid property because entities can be food in some contexts but not in others (e.g., a plant may be food for herbivores but not for carnivores; bread is food when edible but not after it becomes inedible). It does not carry identity conditions - what makes something 'the same food' is determined by its underlying substance (apple, bread, meat), not by the property of being food itself. Food does not supply its own identity condition, as it relies on the identity of the underlying material or substance. Unity is non-unifying because food can be a whole item (an apple) or a portion/aggregate (a plate of rice). Dependence is independent in the formal sense - while food must be consumable by some organism conceptually, the physical instance (the apple, the grain) can exist independently of being consumed or of a consumer being present. Food is best classified as a Mixin - a non-rigid dispersive property that can apply to entities with different identity conditions across different contexts.""
}
```"
Animal	http://example.org/guarino-messy#Animal							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Natural Kind (Sortal)"",
  ""reasoning"": ""Animal is +R (Rigid) because any instance that is an animal is necessarily an animal in all possible worlds - an individual cannot cease being an animal while continuing to exist. It is +I (carries identity) and +O (supplies own identity) because 'Animal' provides intrinsic identity conditions based on biological organization, genetic constitution, and continuity of life. The property is +U (Unifying) as individual animals are paradigmatic examples of intrinsic wholes with functional and spatial unity - they have integrated biological systems forming complete organisms. Finally, Animal is -D (Independent) because animals are substances that exist independently without requiring external entities for their existence (they are not dependent particulars like qualities or moments). This classification makes Animal a prototypical Natural Kind Sortal.""
}
```"
RedApple	http://example.org/guarino-messy#RedApple							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""~R"",
    ""identity"": ""+I"",
    ""own_identity"": ""-O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Phase"",
  ""reasoning"": ""RedApple is a Phase (Anti-Rigid). An apple can be red at one time and not red at another (ripening/painting), so being red is not essential across all possible worlds (~R). It carries identity inherited from 'Apple' (+I) but doesn't supply its own identity condition (-O), as the identity comes from being an apple, not from being red. Instances are intrinsic wholes—individual apples (+U). Apples exist independently of being red (-D). This is a phased-sortal: a temporal/contingent restriction on the base sortal 'Apple'.""
}
```"
Group	http://example.org/guarino-messy#Group							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""-R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""-U"",
    ""dependence"": ""+D""
  },
  ""classification"": ""Category"",
  ""reasoning"": ""Group is analyzed as follows: (1) Rigidity: -R (Non-Rigid) because an entity can become a group when members join together and cease being a group when dispersed - membership is not essential in all possible worlds. (2) Identity: +I (Carries Identity) because groups have identity conditions based on their members and membership criteria. (3) Own Identity: +O (Supplies Identity) because Group supplies its own identity condition - what makes a group the same group over time involves criteria about membership, purpose, or composition. (4) Unity: -U (Non-Unifying) because a group is typically a collection of distinct members rather than an intrinsic whole - members maintain separate existence. (5) Dependence: +D (Dependent) because a group necessarily depends on its members for existence - without members, there is no group. Given -R and +I/+O, Group classifies as a Category - a non-rigid type that carries identity. It subsumes various rigid sortals (e.g., Committee, Team) and roles (e.g., Study Group, Working Group).""
}
```"
Country	http://example.org/guarino-messy#Country							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Sortal (Natural Kind or Category)"",
  ""reasoning"": ""A Country is rigid (+R) because an entity that is a country must be a country in all possible worlds where it exists - if the United States ceased to be a country, it would cease to exist as that entity. It carries identity (+I) and supplies its own identity condition (+O) through criteria such as territorial sovereignty, recognized government, and international recognition. Countries exhibit unity (+U) as they constitute integrated wholes with defined territories, populations, and governance structures rather than mere aggregates. Countries are independent (-D) as they exist as sovereign entities without intrinsic dependence on other entities for their existence, though they may have external political or economic relations. This makes Country a sortal that provides criteria for identifying and distinguishing individual instances.""
}
```"
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""-U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Sortal (Natural Kind)"",
  ""reasoning"": ""AmountOfMatter is a rigid property (+R) because anything that is an amount of matter is essentially so across all possible worlds - matter cannot contingently be matter. It carries identity (+I) and supplies its own identity condition (+O) based on material constitution and physical properties (mass, composition, spatiotemporal continuity). However, amounts of matter do not necessarily form intrinsic wholes (-U) - they can be scattered, dispersed, or arbitrarily bounded portions without natural unity criteria. An amount of matter is independent (-D) as it does not intrinsically require other entities to exist; it is a fundamental ontological category. This makes AmountOfMatter a sortal, specifically a natural kind or substance sortal, as it provides essential classification and identity conditions for its instances.""
}
```"
PhysicalObject	http://example.org/guarino-messy#PhysicalObject							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Sortal (Natural Kind/Category)"",
  ""reasoning"": ""PhysicalObject is +R (Rigid) because anything that is a physical object is essentially a physical object in all possible worlds - it cannot cease being physical while continuing to exist. It is +I (Carries Identity) because physical objects have identity conditions based on spatiotemporal continuity and material constitution. It is +O (Supplies Own Identity) because PhysicalObject provides its own global identity criterion - typically based on occupying space, having mass/matter, and spatiotemporal localization. It is +U (Unifying) because each physical object instance constitutes an intrinsic whole with structural unity and boundaries in space. It is -D (Independent) because physical objects can exist without intrinsically depending on other entities - they are foundational material entities. This combination (+R, +O, +U) classifies PhysicalObject as a Sortal, specifically a high-level natural kind or category that provides identity and unity criteria for its instances.""
}
```"
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople							"Error parsing JSON response from LLM.
Raw output: ```json
{
  ""properties"": {
    ""rigidity"": ""-R"",
    ""identity"": ""+I"",
    ""own_identity"": ""+O"",
    ""unity"": ""~U"",
    ""dependence"": ""+D""
  },
  ""classification"": ""Category"",
  ""reasoning"": ""GroupOfPeople is **non-rigid (-R)** because individuals can gain or lose membership in groups across different possible worlds - a person can be part of a group at one time and not at another. It **carries identity (+I)** and **supplies its own identity (+O)** through criteria such as membership composition, formation purpose, or organizational structure that distinguish one group from another. It exhibits **anti-unity (~U)** because a group is fundamentally a collection/aggregate of distinct individual persons rather than an intrinsic whole - the parts (people) maintain their separate identities and the group is their sum. It is **dependent (+D)** because a group cannot exist without its constituent members - there cannot be a group of people without actual people. The combination of non-rigidity with supplying identity makes this a **Category** in Guarino-Welty's taxonomy, representing a general classification that provides identity criteria but allows instances to change their membership status.""
}
```"
