term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Butterfly is a rigid property because any instance that is a butterfly is necessarily a butterfly in all possible worlds where it exists. A butterfly cannot cease to be a butterfly and become something else while remaining the same individual - it is an essential biological classification. While a caterpillar transforms into a butterfly, they are considered different life stages of the same organism, and once something is a butterfly (the adult form of Lepidoptera), it remains essentially a butterfly throughout its existence as that individual.	Butterfly carries a strong identity condition. Individual butterflies can be distinguished and re-identified through various means including their physical body (spatio-temporal continuity), unique wing pattern variations, DNA, and continuous biological existence from emergence through their lifespan. Each butterfly maintains its identity as the same individual organism over time despite changes in location, minor physical wear, or behavioral states. This is a paradigmatic example of a natural kind with clear identity criteria based on biological individuality.	Butterfly supplies its own identity condition as a biological organism. A butterfly is individuated and tracked through time as a specific physical organism with its own spatiotemporal continuity, biological properties, and life history. It provides the criteria for distinguishing one butterfly from another (this specific organism vs. that specific organism) and for re-identifying the same butterfly over time despite changes in its properties (location, wing damage, etc.). The identity condition is grounded in being a particular living physical entity, not inherited from a more general sortal. While 'Butterfly' is a specialization of more general kinds like 'Insect' or 'Animal', it functions as a sortal concept that supplies its own robust identity criteria at the level of individual organisms.	A butterfly is a unifying entity with highly integrated biological parts that work together as a functional whole. The wings, body segments (head, thorax, abdomen), sensory organs, digestive system, and circulatory system are all interconnected parts that form a single, cohesive organism with clear mereological boundaries. The parts are not arbitrary but rather form an intrinsic biological unity necessary for the butterfly's survival and function. A butterfly maintains its identity as a whole organism, and removing essential parts would destroy the unity of the entity.	A butterfly is an independent physical organism. Once it exists as a butterfly (having completed metamorphosis), it does not intrinsically depend on any specific other entity for its existence. While butterflies require environmental conditions like air, food sources, and habitat to survive, these are external dependencies for sustaining life rather than constitutive dependencies for existence. A butterfly exists as a complete, self-contained biological entity in its own right, similar to other animals and physical objects.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Attribution (Non-rigid, no identity)	Red is a non-rigid property because objects can gain or lose the property of being red without ceasing to exist. For example, an apple can be green, then ripen and become red, or a red car can be painted blue. The object remains the same entity but loses the property of being red. Since instances can exist without being red at all times, and the property is not essential to their identity, Red is classified as -R (Non-Rigid).	Red is a quality/property that does not carry an identity condition. There is no principled way to distinguish one instance of red from another instance of red, or to say that 'this red' at time t1 is the same as 'that red' at time t2. Red is a dependent entity that can only exist as inhering in some substrate (like an apple or a car), but the redness itself has no independent identity criteria. We cannot re-identify or count instances of red in a meaningful way - we can only identify and count the red objects that bear this quality.	Red is a quality/property that describes color characteristics of objects. As a quality, it does not supply its own identity condition - it depends on the object that bears it for identity. Red instances are distinguished by the objects they inhere in (e.g., 'the redness of this apple' vs 'the redness of that car'). Since Red was determined to be -I (carries no identity condition), it cannot be +O, as +O requires +I. Red neither carries nor supplies an identity condition.	Red is a quality or property that can be predicated of various objects, not a sortal that denotes whole entities. Instances of 'red things' lack any intrinsic mereological unity - they form arbitrary collections (red cars, red apples, red patches) with no integrated structure connecting them. The red parts of an object are not unified by redness itself, but by whatever whole they happen to belong to. Red does not carry any unifying principle that would make its instances integrated wholes.	Red is a dependent entity because it cannot exist without being instantiated in or attributed to some physical object or substrate. Redness requires a bearer - something must be red (an apple, a car, a surface, etc.). The color red has no independent existence; it is always a property or quality of something else. This makes it intrinsically dependent on other entities for its existence.	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	-D	Attribution (Non-rigid, no identity)	Food is non-rigid because entities can gain or lose the property of being food without losing their identity. For example, a piece of fruit is food, but if it becomes rotten and inedible, it ceases to be food while remaining the same physical object. Similarly, something may not be considered food in one context or culture but becomes food in another (e.g., insects, certain plants). The property of being food is contingent and depends on factors like edibility, cultural norms, and condition, rather than being essential to the entity's identity across all possible worlds.	Food does not carry an identity condition. While a specific food item (like 'this apple') can be identified, 'Food' as a general category lacks a principled way to establish identity across instances. The same matter can transition between being food and non-food (e.g., expired food), and food can be divided or combined without clear identity persistence. What constitutes 'the same food' over time is ambiguous - if I eat half an apple, is it still the same food? If ingredients are mixed into a cake, do they maintain identity as food or become new food? The property 'Food' describes a functional role (something edible/nutritious) rather than carrying inherent identity conditions for distinguishing and re-identifying instances over time.	Food does not supply its own identity condition. As established in the Identity analysis, Food is -I (does not carry identity). According to the constraint that +O requires +I, Food must be -O. Additionally, Food is a role concept - the same physical matter can be food or not depending on context (edibility, intended use). The identity condition for any instance of Food comes from what it is materially (e.g., an apple as a physical object, bread as a manufactured item), not from being food per se. Food describes a function or purpose rather than providing the fundamental basis for individuation.	Food lacks unity because instances do not form intrinsic wholes with integrated parts. A food item can be arbitrarily divided (half a sandwich is still food), combined (mixing foods doesn't create a new unified whole), or scattered (a meal with separate components). The boundaries of what constitutes 'a food' are conventional rather than based on intrinsic mereological structure. Unlike a person or car where parts are functionally integrated into a whole, food can be any amount or arrangement of edible matter without requiring wholeness or integration.	Food is independent because instances of food can exist as physical substances without intrinsically depending on other specific entities. While food requires production processes and may be consumed by organisms, the food itself (e.g., an apple, a loaf of bread) exists as a physical object that doesn't depend on any particular consumer, producer, or other entity for its continued existence. The substance maintains its identity as food regardless of whether it is actually consumed or who produced it.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Animal is a rigid property because anything that is an animal is necessarily an animal in all possible worlds throughout its entire existence. An entity cannot start or stop being an animal - if something is an animal, it is essentially and immutably an animal from the moment it begins to exist until it ceases to exist. A dog cannot become a non-animal while continuing to exist as the same entity, nor can a non-animal become an animal. This satisfies the definition of rigidity: the property is essential to ALL instances in ALL possible worlds.	Animal carries a strong identity condition. Individual animals can be distinguished and re-identified over time through multiple criteria: biological/genetic makeup (DNA), spatio-temporal continuity (tracking the same organism through space and time), and physiological structure. For example, a particular dog can be identified as the same individual from birth through maturity despite changes in size, appearance, or behavior. The biological continuity of the organism provides clear identity conditions that allow us to say 'this is the same animal' at different points in time.	Animal supplies its own identity condition based on being a distinct biological organism with continuous physical and biological existence. An animal's identity is determined by its status as a unified living being with its own life cycle, not inherited from a more general property. While 'Physical Object' or 'Living Thing' might also carry identity, Animal provides a more specific biological identity condition rooted in organismal continuity and biological individuation. This is its own identity criterion, not merely inherited.	Animal carries unity (+U) because instances are intrinsic biological wholes with integrated physiological systems. Each animal has a clear mereological structure with functionally interdependent parts (circulatory, nervous, digestive systems, etc.) that work together to maintain the organism's life. The parts of an animal are not arbitrary - they are unified by biological organization and homeostatic processes. An animal cannot be arbitrarily partitioned without destroying its essential nature as a living organism.	An Animal is independent because individual animals exist as autonomous entities without intrinsically depending on any specific other entity for their existence. While animals may have ecological relationships (predator-prey, symbiosis) or historical dependencies (offspring depend on parents during development), a mature animal instance does not require a specific relationship to another particular entity to exist. The animal itself persists as an entity regardless of its relationships with other entities.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Category or Mixin (Non-rigid)	RedApple is non-rigid because an instance can lose the property of being red while remaining an apple. An apple can be red at one time and turn green or brown at another time (e.g., ripening, decay), but it remains the same individual apple. The color red is not essential to all instances of red apples across all possible worlds - a red apple could have been green or could become non-red without ceasing to be that particular apple.	RedApple carries an identity condition inherited from its base kind 'Apple', which is a physical object. Each red apple can be distinguished and re-identified through spatio-temporal continuity - we can track the same red apple over time even as its color may fade or its properties change. The addition of 'Red' as a qualifying property does not remove the underlying identity condition that comes from being an Apple (a material object). While the redness itself (-I) doesn't carry identity, the entity 'RedApple' refers to apples that happen to be red, and apples as physical objects have clear identity conditions.	RedApple does not supply its own identity condition. As a specialized type of Apple (or Physical Object), it inherits its identity condition from its more general parent property. The identity of a RedApple is determined by being a particular physical apple object, not by any identity criteria unique to being red. The 'red' aspect is an additional qualification (a color property) that restricts the set but does not establish new identity criteria. The identity condition comes from Apple/Physical Object, which supplies the spatio-temporal continuity criteria that individuates one apple from another.	RedApple inherits the unity property from its superclass Apple, which itself inherits from physical objects like Fruit. An instance of RedApple is an integrated biological whole with a clear mereological structure - it has functionally organized parts (skin, flesh, core, seeds, stem) that work together as a unified organism. The property 'red' is merely a color qualification and does not affect the underlying unity of the apple as a physical object. Each red apple is a single, cohesive entity with topological closure and functional integration of its parts.	RedApple instances are independent entities that do not intrinsically depend on other specific entities for their existence. A red apple exists as a physical object in its own right - it is a fruit with particular properties (redness, apple characteristics). While a red apple may have historical dependencies (it grew on a tree, was cultivated by farmers), these are not intrinsic dependencies - the red apple continues to exist as a red apple even after being separated from the tree or removed from any particular context. It does not require the ongoing existence of another entity to maintain its identity as a red apple, unlike dependent entities such as 'Student' which requires an educational institution or 'Employee' which requires an employer.	
Group	http://example.org/guarino-messy#Group	+R	+I	+O	~U	-D	Sortal (Rigid, supplies identity)	Group is rigid because any entity that is a group is necessarily a group in all possible worlds where it exists. A group is defined by its nature as a collection or organization of entities treated as a unit. While the membership of a group can change (adding or removing members), and a group can cease to exist entirely, as long as something exists as a group, it cannot stop being a group while continuing to exist as that same entity. The identity of a group is tied to its nature as a collective entity - it cannot lose this property and remain the same individual. This is distinct from anti-rigid properties like 'Student Group' (a role a group plays) or 'Small Group' (a contingent phase). The sortal 'Group' itself provides essential identity conditions for its instances.	Group carries an identity condition. A group can be distinguished and re-identified by its membership composition and organizational structure. Two groups are the same if they have the same members organized in the same way, even if membership may change over time according to specific rules. For example, a particular sports team, committee, or family can be identified and tracked over time through its constitutive members and their relationships, providing a clear criterion for identity and re-identification.	Group supplies its own identity condition. A group is identified by its specific membership composition - two groups are the same if and only if they have exactly the same members. This is distinct from other identity conditions like spatiotemporal continuity (for physical objects) or social role continuity (for organizations). Group provides a set-theoretic identity criterion: extensional identity based on member composition. This makes Group a rigid designator that supplies its own global identity condition, independent of other properties it may instantiate.	A Group is a paradigmatic example of an anti-unity property. Instances are strict aggregates or collections of members without mereological integration. The parts (members) maintain their individual identity and independence, lacking the functional or structural integration that characterizes wholes. A group of people, for instance, is simply the sum of its members with no intrinsic unifying relation beyond membership itself.	A Group is independent because its instances do not intrinsically depend on specific other entities to exist. While a group necessarily has members, the group itself is not existentially dependent on any particular member or external entity. Members can change, leave, or be replaced without destroying the group's identity. The group exists as an independent collective entity, even though it requires having some members (a definitional requirement, not an existential dependence on specific individuals). For example, a committee continues to exist as the same group even when all original members are replaced over time.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Country is a rigid property because anything that is a country is necessarily a country in terms of its fundamental nature as a geopolitical entity. While the borders, government, or name of a country may change, and a country may cease to exist or come into being, when something IS a country, it cannot be a country contingently - it cannot be a country in some contexts and not in others while continuing to exist as the same entity. A country cannot lose the property of being a country and remain the same individual; if it ceases to be a country (e.g., through dissolution or annexation), it ceases to exist as that entity. This makes Country a rigid sortal that provides essential identity conditions for its instances.	Country carries a clear identity condition. Instances of Country can be distinguished and re-identified through multiple identity criteria including: geographical boundaries (territory), sovereignty status, international recognition, governmental structure, and legal continuity. For example, France remains the same country over time despite changes in government, population, or even minor border adjustments. The identity persists through a combination of territorial continuity, legal/political continuity, and international recognition. We can definitively say 'this is the same country' across time periods, making Country a property that carries an identity condition.	Country supplies its own identity condition. A country is identified by its sovereign territory, internationally recognized borders, and governmental authority over a specific geographic area. This identity condition is fundamental to what makes a country a distinct entity and is not inherited from a more general category. The identity of a country persists even through changes in government, population, or economic systems, as long as the sovereign territorial entity remains. For example, France remains the same country despite centuries of governmental changes, because the identity condition (sovereign territorial entity) is supplied by Country itself, not inherited from a broader type.	A Country is a unifying entity with integrated parts that form a cohesive whole. Its components (territory, government, population, legal system, infrastructure) are functionally interconnected and depend on each other to maintain the country's identity and operations. The government provides organizational structure across the territory, laws apply uniformly, and citizens share political identity. Unlike arbitrary collections, removing or radically changing core components (e.g., eliminating the government or losing sovereignty) would threaten the country's existence as that particular entity. Countries exhibit clear mereological boundaries and functional integration that distinguish them from mere aggregates of land or people.	Countries are independent entities that do not intrinsically depend on other specific entities for their existence. While countries may have political, economic, and social relationships with other countries, and depend on factors like territory, population, and governance structures, these dependencies are not to specific external entities in a way that makes the country's existence contingent upon them. A country exists as a sovereign entity defined by its own territory, government, and people, rather than being fundamentally dependent on another particular entity. The concept of sovereignty itself implies independence from external control or necessary dependence on other countries.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	-U	-D	Attribution or Quality	AmountOfMatter is rigid because anything that is an amount of matter is necessarily and essentially an amount of matter in all possible worlds. An amount of matter cannot cease to be an amount of matter while continuing to exist - its identity as a quantity of material substance is essential to what it is. The amount may change in measure or composition, but the entity qua 'amount of matter' remains essentially that type of entity throughout its existence. This is similar to how quantities and material portions are typically considered rigid - their fundamental nature as material quantities is invariant.	AmountOfMatter does not carry an identity condition. There is no principled way to distinguish one amount of matter from another amount of the same substance with the same quantity. For example, if we have two identical amounts of water (say, 1 liter each), there is no intrinsic property that allows us to identify which is which or track them over time if they are mixed and separated again. Unlike physical objects that have spatio-temporal continuity, amounts of matter lack the criteria needed for re-identification - they are quantities rather than countable individuals.	AmountOfMatter does not supply its own identity condition. As determined in the Identity analysis, AmountOfMatter is -I (does not carry identity). Since it cannot carry identity, it cannot supply one either (the constraint states +O requires +I). AmountOfMatter refers to quantities or measures of substance that lack intrinsic identity criteria - the same amount of matter (e.g., '5 kg of water') does not have a unique identity across contexts or compositions. It inherits any identity considerations from more specific properties (like particular portions or samples) but provides none itself.	AmountOfMatter refers to a quantity of physical substance without any inherent mereological structure or integration principle. The parts of an amount of matter are arbitrary - any portion of the matter counts as part of the amount, and there is no functional or organizational principle that unifies these parts into a whole. Unlike integrated wholes (+U) such as organisms or artifacts, or strict aggregates (~U) like collections, AmountOfMatter represents scattered or arbitrarily divisible quantities where unity depends entirely on external criteria (e.g., spatial containment, measurement context) rather than intrinsic integration.	AmountOfMatter refers to a quantity of physical substance or material. Instances of AmountOfMatter (e.g., a quantity of water, a mass of iron, an amount of oxygen) exist independently and do not intrinsically depend on other specific entities for their existence. While matter may participate in various relationships and can be measured or contained, the matter itself persists independently. A quantity of water remains water whether it's in a glass, ocean, or vapor form - its existence as matter does not depend on these contexts or other entities.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	PhysicalObject is a rigid property because anything that is a physical object is necessarily a physical object in all possible worlds where it exists. An entity cannot exist as a physical object in one world and as a non-physical object in another world while maintaining its identity. The property of being physical (having mass, occupying space, existing in the physical realm) is essential to all instances of PhysicalObject across all possible scenarios. Once something is a physical object, it cannot cease to be physical and remain the same entity.	PhysicalObject carries a strong identity condition based on spatio-temporal continuity. Individual physical objects can be distinguished from one another and re-identified across time through their continuous existence in space and time. For example, a specific chair can be identified as the same chair from yesterday based on its physical continuity, even if some properties change (like color if painted). Physical objects maintain their identity through their material constitution and spatial location trajectory, making it possible to definitively answer 'is this the same physical object?' across different temporal contexts.	PhysicalObject supplies its own identity condition based on spatiotemporal continuity and physical boundaries. A physical object is identified and distinguished from other physical objects through its continuous existence in space and time, occupying a specific location and maintaining physical coherence. This is a fundamental identity criterion that PhysicalObject provides directly, rather than inheriting from a more general property. It establishes the basic principle that two physical objects are the same if and only if they trace the same spatiotemporal path and maintain the same material continuity.	PhysicalObject is unifying (+U) because instances are intrinsic wholes with clear mereological structure. A physical object maintains spatial and material integration - its parts are connected and form a cohesive unity (e.g., a rock, a tree, a chair). The parts of a physical object are not arbitrary but constitute a unified whole occupying a contiguous region of space with material continuity. This distinguishes physical objects from mere collections or scattered aggregates.	PhysicalObject is independent because instances of physical objects can exist without intrinsically depending on other specific entities. A rock, tree, or building exists in its own right and does not require the existence of another particular entity to maintain its identity or existence. While physical objects may have causal or temporal relationships with other entities (e.g., being created by something, being located somewhere), they do not have the kind of essential, intrinsic dependence that characterizes dependent entities. Their identity and existence are self-sustained rather than parasitic on or necessarily tied to other specific individuals.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	+R	+I	+O	~U	-D	Sortal (Rigid, supplies identity)	GroupOfPeople is rigid because any instance that is a group of people is necessarily a group of people in all possible worlds where it exists. The essential nature of being a collection/group of persons cannot be lost without the entity ceasing to exist as that particular group. While the membership may change (people joining or leaving), this would typically result in a different group rather than the same group losing its property of being a group of people. The grouping relation and the type of entities grouped (people) are essential to the identity of any instance of GroupOfPeople.	GroupOfPeople carries an identity condition. A group of people can be distinguished and re-identified based on its membership composition at any given time. We can identify the same group over time by tracking which specific individuals constitute it, even as the group's activities or location change. For example, 'The Beatles' or 'the marketing team' are identifiable groups with specific members that allow us to recognize them as the same group across different contexts and times. The identity condition is provided by the collective membership relation, which determines which individuals belong to the group.	GroupOfPeople supplies its own identity condition that is distinct from its constituent members. A group is identified by its membership composition and organizational structure, not by the identity of any single member. For example, 'The Beatles' remains the same group based on its specific four members, even though each member is also a Person with their own identity. The group's identity condition (which members compose it, and potentially how they're organized) is unique to the group concept and not inherited from a more general property. This differs from roles like 'Student' which inherit identity from Person.	GroupOfPeople is anti-unity because instances are mereological sums or aggregates of people without inherent integration. A group of people lacks the functional or structural integration that characterizes true wholes - the people can be arbitrarily selected, spatially scattered, and do not form a unified entity with interdependent parts. The individuals maintain their autonomy and the 'grouping' is typically based on external criteria (location, purpose, classification) rather than intrinsic unifying relationships. This is a paradigmatic case of anti-unity, similar to 'collection' - the whole is simply the sum of independent parts.	GroupOfPeople is independent because group instances do not intrinsically depend on any specific other entities to exist. While a group is constituted by individual people (its members), the group itself exists as a collective entity without requiring dependence on external entities beyond its membership. The people who comprise the group are part of the group's identity, not external dependencies. Groups can form, persist, and be identified as distinct social entities without requiring relationships to other types of entities outside of having members.	
