term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Butterfly is a rigid property because any entity that is a butterfly is necessarily a butterfly in all possible worlds where it exists. A butterfly cannot cease to be a butterfly and remain the same individual - it is a biological kind that defines the essential nature of its instances. While a caterpillar can transform into a butterfly, this represents a change of identity (a new individual in the strict sense), not the same individual losing the butterfly property. Once something is a butterfly, it remains a butterfly throughout its existence as that individual.	BUTTERFLY carries an identity condition. As a biological organism and living entity, individual butterflies can be distinguished and re-identified through various means including: genetic makeup (DNA), physical characteristics (wing patterns, body structure), and spatio-temporal continuity throughout their lifecycle. Like PERSON, BUTTERFLY is a rigid sortal property - something is a butterfly throughout its existence (from emergence to death), and individual butterflies maintain their identity through time despite changes (wing wear, etc.). The property inherits identity conditions from biological organism categories and supplies sufficient conditions for distinguishing one butterfly from another.	Butterfly supplies its own identity condition as a biological organism. While it carries identity as a living thing, it provides its own specific IC based on biological continuity through metamorphosis - a butterfly maintains identity through its lifecycle stages (egg, larva, pupa, adult) despite dramatic physical transformation. The IC is something like 'having continuous biological existence from the same fertilized egg' or 'maintaining the same DNA and cellular lineage through metamorphosis'. This is distinct from more general biological categories and is specific to the butterfly as an individual organism, making it +O.	A butterfly is an intrinsic whole with a highly integrated mereological structure. Its parts (wings, body segments, antennae, legs) are bound together by both topological connection and functional unity - they form a coherent biological organism where parts work together as an integrated system. The parts are not arbitrary; they are unified by the biological organization of the organism. A butterfly maintains this unity condition throughout its existence as a butterfly (post-metamorphosis). Random collections of butterfly parts or scattered butterfly-colored objects would not constitute a butterfly, demonstrating that instances must be integrated wholes.	A butterfly, once it exists as a butterfly (after metamorphosis), does not intrinsically depend on any other specific external entity for its existence. While butterflies require environmental conditions like air, food sources (nectar), and potentially flowers for survival, these are not constitutive dependencies - a butterfly remains a butterfly whether or not flowers or other entities exist at any given moment. The butterfly is a complete, independent biological organism. This is distinct from roles like PARASITE (which must have a host) or STUDENT (which requires an educational institution). A butterfly is not defined by a necessary relationship to another entity type; it is an autonomous organism that can exist independently, even if only briefly without resources.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Attribution (Non-rigid, no identity)	Red is a non-rigid property because entities can gain or lose the property of being red while remaining the same entity. For example, an apple can be green, then become red as it ripens, and remain the same apple throughout. Similarly, a car can be painted red, then repainted blue, while maintaining its identity as the same car. The property is not essential to all its instances across all possible worlds - being red is contingent and changeable for things that are red.	Red is a quality or property that does not carry an identity condition. There is no principled way to distinguish one instance of red from another instance of red, or to re-identify the same instance of redness over time. Red is predicated of objects (e.g., 'this apple is red'), but red itself has no criteria for individuation - we cannot ask 'is this the same red as before?' in a meaningful way without reference to the object that is red. Red is explicitly mentioned in the background text as an example of a -I property, contrasting with sortals like Person or Physical Object that do carry identity conditions.	Red is a quality/attribute that does not supply its own identity condition. As a non-rigid property (things can become red or stop being red), it cannot supply an identity condition according to Definition 6, which requires that only rigid properties can supply ICs. Additionally, Red has already been determined to be -I (does not carry an identity condition), and since +O implies +I, Red must be -O. Red entities are identified by the objects that bear this quality, not by the quality itself.	Red is a quality or attribute that can apply to objects regardless of their mereological structure. Instances of red things can be wholes (a red apple), arbitrary collections (red things on a table), or parts of other objects (the red stripe on a flag). The property Red itself does not impose or carry a unity condition - it is simply a chromatic property that makes no commitment to whether its instances are integrated wholes or scattered aggregates. Red things are not necessarily bound together by any unifying relation beyond sharing the same color property.	Red is a color property (quality/trope) that cannot exist independently. Instances of redness must necessarily inhere in or depend on some concrete entity (a substrate) that bears this color property. A particular instance of red cannot exist without there being something that is red - whether a physical object, surface, or light. This represents external dependence since the red quality depends on entities (colored objects) that are not parts or constituents of the redness itself.	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	-D	Attribution (Non-rigid, no identity)	Food is non-rigid because whether something is food is not essential to that thing across all possible worlds. A particular apple, for instance, can exist as food (when intended for consumption) or not as food (when used as a decorative object or when it rots beyond edibility). The property of being food is not necessarily held by all instances in all circumstances - things can enter and leave the category of food depending on context, condition, and intended use. However, it's not anti-rigid (~R) because some instances might necessarily be food (items created specifically and solely for consumption), though this is not required for all instances.	FOOD does not carry an identity condition. While we can identify specific instances like 'this apple' or 'that sandwich' by referring to them as physical objects with spatio-temporal continuity, FOOD itself as a property does not supply or carry principles for distinguishing one instance of food from another qua food. The identity depends on the material constitution (amount of matter) or the artifact nature (manufactured food item), not on being food per se. There is no principled way to re-identify 'the same food' over time when its material composition changes (e.g., an apple decomposing, or ingredients being mixed into a dish) based solely on the property of being food. FOOD is better understood as a role or functional property that entities can satisfy, rather than a sortal that carries identity conditions.	Food does not supply its own identity condition. As established by the Identity analysis showing Food is -I, it does not carry an identity condition at all, and therefore cannot supply one. Food is a role-like or phase-like property that lacks intrinsic criteria for determining when one instance of food is the same as another. Identity conditions would need to come from more fundamental properties like Physical Object or Amount of Matter that food instances might also instantiate. Since +O requires +I, and Food is -I, Food must be -O.	Food does not carry a common unity condition for all its instances. Instances of Food can be intrinsic wholes (an apple, a chicken), arbitrary portions without inherent boundaries (a serving of rice, some flour), or functional aggregates (a sandwich, a salad). There is no single equivalence relation ω that binds the parts of all Food instances together. An apple has topological and biological unity, while 'some sugar' is merely an arbitrary amount of substance with no intrinsic mereological structure. Since instances can be wholes but lack a uniform UC across all instances, Food is -U rather than ~U.	Food instances can exist as physical objects without intrinsically depending on other specific entities. While food may be defined relationally (as something that can be consumed by organisms), the physical substances that constitute food (fruits, vegetables, meats, etc.) exist independently as material objects. A piece of fruit exists as a physical entity regardless of whether any organism exists to consume it. This is external dependence, not the intrinsic notional dependence required for +D. Unlike PARENT (which cannot be a parent without a child), food items maintain their material existence independently, even if their functional role as 'food' involves a potential relationship to consumers.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Animal is a rigid property because anything that is an animal is necessarily an animal in all possible worlds throughout its existence. An entity cannot cease to be an animal while continuing to exist as the same individual - the property is essential to the nature of its instances. If something is an animal, it must be an animal in every possible world where it exists, making this a necessary property for all its instances.	ANIMAL carries an identity condition. As a rigid natural kind, animals can be distinguished and re-identified through various criteria including genetic makeup (DNA), continuous biological processes, and spatio-temporal continuity of their physical body. Each animal instance maintains identity through change (growth, cell replacement) via biological continuity. For example, a cat remains the same individual cat throughout its life despite losing fur, growing, or other changes, because it maintains biological and physical continuity. This makes ANIMAL a sortal property that carries (and likely supplies) an IC.	Animal supplies its own identity condition. As a rigid natural kind, it provides fundamental criteria for distinguishing one animal from another across time - such as biological continuity, genetic identity, or spatiotemporal continuity of the living organism. While specific subtypes like Dog or Cat may inherit and specialize this IC, Animal itself establishes the basic identity conditions for all its instances as distinct living organisms. It does not merely inherit its IC from more general properties like Physical Object (which would have different, incompatible ICs based on mereological considerations), but rather supplies biological-based identity conditions appropriate to living organisms.	Animal carries a unity condition (+U). All instances of Animal are intrinsic wholes with clear mereological structure based on biological unity. The parts of an animal (organs, tissues, cells) are bound together by biological functions and topological connection, forming an integrated organism. An animal maintains this unity condition throughout its existence - it cannot cease to be a biological whole while remaining an animal. The parts are not arbitrary aggregates but functionally and topologically integrated components. This satisfies Definition 11, as there exists an equivalence relation (biological functional integration) under which all animal instances are intrinsic wholes.	Animal is independent because instances of Animal do not intrinsically depend on other entities external to themselves for their existence. While animals may depend on food, water, or oxygen as general resources, these are not specific entities that constitute an external notional dependence. An animal exists as a self-sufficient organism without necessarily requiring specific other entities (like a parent requires a child, or a student requires an educational institution). Animals have constituent parts (organs, cells) but these are internal, not external dependencies. The property Animal does not require that some instance of another property must necessarily exist that is not a part or constituent of the animal itself.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Category or Mixin (Non-rigid)	RedApple is non-rigid because being a red apple is not essential to all its instances throughout their existence. An apple can lose the property of being red (e.g., through ripening from green to red, or rotting and changing color) while remaining the same individual apple. The property 'red' is an accidental property that can change over time, making RedApple a non-rigid property. An instance can cease to be a RedApple without ceasing to exist as that particular individual.	RedApple carries an identity condition inherited from its parent property APPLE, which is a kind of PHYSICAL OBJECT. Physical objects carry identity conditions based on spatio-temporal continuity - we can track and re-identify a specific red apple over time through its location and temporal trajectory, even as it may change color or lose parts. While RED itself does not carry identity (-I), the combination RedApple is a sortal property that inherits the identity condition from APPLE/PHYSICAL OBJECT, allowing us to distinguish one red apple from another and re-identify the same red apple at different times.	RedApple does not supply its own identity condition. As a property that combines color (Red) with a kind (Apple), it inherits its identity condition from Apple, which in turn likely inherits from more general rigid properties like PhysicalObject or Fruit. The 'red' aspect is an accidental property that does not contribute to establishing what makes a particular red apple the same individual over time - the identity condition comes from it being an apple (a physical object with mereological and spatiotemporal continuity). RedApple carries an IC (+I) but does not supply it.	RedApple inherits the unity condition from Apple, which is a biological organism with integrated parts (skin, flesh, seeds, stem) bound together by biological and topological connections. Each red apple instance is an intrinsic whole with clear mereological structure - its parts (core, flesh, skin) form a unified object through both topological connection and functional/biological integration. The 'red' modifier does not affect this unity condition, as it merely restricts the instances to those apples that are red while maintaining the same mereological structure.	RedApple represents a physical object (an apple with the quality of being red) that exists independently without necessarily requiring other specific entities for its existence. While an apple may have various relationships (grown on a tree, eaten by someone, etc.), these are not intrinsic dependencies - a red apple can exist as a complete entity without depending on any other particular entity. The redness is a quality inherent to the apple itself, and the apple as a physical object maintains its existence independently, unlike examples such as Student (which requires an educational institution) or Parent (which requires a child).	
Group	http://example.org/guarino-messy#Group	+R	+I	+O	~U	+D	Sortal (Rigid, supplies identity)	Group is a rigid property because anything that is a group is necessarily a group in all possible worlds where it exists. A group is defined by its nature as a collection or aggregate of entities. While the membership of a group can change over time (members can join or leave), and a group can cease to exist entirely, when something IS a group, it is essentially a group - it cannot be the same entity while not being a group. The identity of a group persists through membership changes (like a band that replaces members), but what makes it a group rather than, say, a single individual or a mere set, is an essential characteristic. This differs from anti-rigid properties like 'Student' or 'Employee' where the same entity (a person) can cease to have that property while remaining the same entity.	Group carries an identity condition. A group can be distinguished and re-identified over time through its membership composition and organizational structure. For example, 'The Beatles' remains identifiable as the same group despite changes in circumstances, and different groups can be distinguished by their distinct membership. While the specific identity criterion may vary by context (e.g., formal groups may have registration numbers, informal groups may be identified by their member set at formation), groups do carry necessary conditions for identity - typically based on some combination of founding membership, continuity of purpose, or organizational continuity. This makes Group a sortal property (+I), even though it may inherit rather than supply its own identity condition.	Group supplies its own identity condition. A group is identified by its membership composition - having the same members constitutes identity for groups. This is a distinct identity criterion from other sortals: two groups are the same group if and only if they have exactly the same members. This IC is supplied by GROUP itself, not inherited from a more general property, as GROUP represents a fundamental way of organizing entities into collections. The membership-based identity criterion is specific to groups and differentiates them from other collective entities or sets.	Group is a paradigmatic example of anti-unity (~U). Its instances are collections of entities that lack intrinsic integration - the parts (members) are not bound together by any unifying relation that makes them a genuine whole. A group is merely an aggregate or plurality where membership is the only relevant relation, not topological connection, morphological unity, or functional integration. The members of a group remain separate entities without mereological integration. This is precisely why Group exemplifies anti-unity in the ontological framework - it represents scattered, non-integrated collections rather than unified wholes.	A Group is externally dependent on its members. By definition, a group cannot exist without having members (instances of some other entity like Person, Organization, etc.). The group is not constituted by its members in the mereological sense (the members are not parts that compose the group), but the group necessarily requires the existence of entities that are not parts of itself - namely, the entities that are its members. This fits the definition of external notional dependence: for any instance of Group, there must necessarily exist instances of some other property (e.g., Member, Person) that are external to the group itself.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Country is a rigid property because anything that is a country is necessarily a country in all possible worlds where it exists. While a geographic region might gain or lose the status of being a country over time (e.g., through independence or dissolution), when we refer to a specific country entity, we are referring to something that is essentially a country. The entity 'France' or 'Japan' cannot cease to be a country and remain the same entity - if the political entity dissolves, that particular country ceases to exist rather than transitioning to something else. This is different from non-rigid properties like 'Independent Nation' (which a country could lose while the geographic/political entity persists in some form). Country represents a sortal that provides identity conditions for its instances throughout their existence.	COUNTRY carries an identity condition. Countries can be distinguished and re-identified over time through various criteria: geographical boundaries (territorial extent), sovereign governmental authority, international recognition, and legal status in international law. A country maintains its identity even when its government changes, population shifts, or minor border adjustments occur. For example, France remains the same country despite changes in leadership, population, and even some territorial modifications. The identity condition could be formulated as 'having the same sovereign territorial jurisdiction' or 'being recognized as the same state entity in international law'. This allows us to track and re-identify a country both synchronically (distinguishing France from Germany at time t) and diachronically (recognizing that France at t1 is the same country as France at t2).	Country supplies its own identity condition. A country has global identity criteria that are not inherited from more general properties - such as having the same territory, sovereignty, government, and international recognition. These identity conditions are specific to what makes a country the same country over time (e.g., France remains France despite government changes, as long as it maintains its essential geopolitical identity). Country does not merely inherit its IC from a more general property like 'Political Entity' or 'Geographical Region', but rather establishes the fundamental criteria for country-identity itself.	Country carries a unity condition as its instances are intrinsic wholes with integrated parts bound together by political, legal, and administrative relations. A country like France or Japan has parts (regions, territories) that are unified through governmental authority, legal jurisdiction, and sovereignty - these parts are bound together by the relation of 'being under the same sovereign political system' and nothing else falls under that specific sovereignty. The borders define what is maximally connected under this political-legal relation, making each country instance a functional and institutional whole with clear mereological structure. The unity is based on political-legal functional relations that persist throughout the country's existence.	Country is independent (-D). A country's existence as a geopolitical entity does not intrinsically depend on other specific entities. While countries exist within an international system and have relationships with other countries, citizens, governments, and territories, none of these are external dependencies in the ontological sense defined. The territory, government, and population are constituents or parts of what makes a country, not external entities it depends upon. A country can exist (at least conceptually) as a sovereign entity without necessarily requiring specific other countries to exist, unlike cases such as PARENT (which requires CHILD) or STUDENT (which requires SCHOOL). The country itself is the fundamental geopolitical unit, not dependent on external entities for its existence.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	~U	-D	Attribution or Quality	AmountOfMatter is a rigid property because anything that is an amount of matter is necessarily so in all possible worlds. An amount of matter cannot cease to be an amount of matter while remaining the same entity - it would either continue to exist as that same amount of matter or cease to exist entirely. The property is essential to its identity through mereological extensionality (having the same parts). This is explicitly referenced in the background text where AMOUNT OF MATTER is discussed as having mereological extensionality as its identity criterion, making it fundamentally rigid.	AmountOfMatter does not carry an identity condition. As explicitly mentioned in the background text, amounts of matter follow mereological extensionality - they are defined purely by their parts. If any part changes, it becomes a different amount of matter. There is no principled way to re-identify an amount of matter over time if its composition changes, as the identity is tied entirely to the specific collection of parts at a given moment. The text directly uses 'AMOUNT OF MATTER' as an example of a property that lacks identity conditions, contrasting it with PERSON which can maintain identity despite replacing parts.	Since AmountOfMatter was determined to be -I (does not carry identity), it cannot supply its own identity condition. The constraint states that +O implies +I, so -I necessarily means -O. AmountOfMatter does not supply an identity condition - it may not have a clear identity criterion at all, or any identity it has would need to be inherited from a more specific rigid property (which it currently lacks).	AmountOfMatter is explicitly cited in the source text as a canonical example of anti-unity (~U). Amounts of matter are portions or quantities of substance without any intrinsic principle of unity binding their parts together. An amount of matter persists through arbitrary division and recombination - if you split an amount of water into two parts, you simply have two amounts of water, with no violation of identity. The parts of an amount of matter are not integrated by any equivalence relation (topological, morphological, or functional); they form mere aggregates or sums. The text states: 'Amount of Matter is usually an example of the latter kind, since none of its instances can be intrinsic wholes.' This contrasts sharply with properties like Vase, where instances must maintain specific unity conditions (shape, functional integration) to remain the same vase.	AmountOfMatter is independent (-D) because instances of amounts of matter can exist without necessarily depending on other entities external to themselves. An amount of matter (e.g., a lump of clay, a quantity of water, a pile of sand) exists as a collection of physical substance that does not intrinsically require the existence of any other specific entity beyond its constituent parts. While an amount of matter may be part of or constitute other things (like a physical object), it does not externally depend on those things for its existence - rather, those things may depend on it. The matter itself can exist independently as mere stuff, requiring only its own constituent material parts, which are not external dependencies in the sense of notional dependence.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	-U	-D	Sortal (Rigid, supplies identity)	PhysicalObject is a rigid property because anything that is a physical object is necessarily a physical object in all possible worlds. An entity cannot cease to be a physical object while remaining the same entity - it would be a fundamental change in the nature of what the entity is. If something exists as a physical object, this is an essential property that holds across all possible worlds for that instance. This is similar to the example of PERSON given in the background text as a paradigmatic case of rigidity.	PhysicalObject carries an identity condition based on spatio-temporal continuity. Physical objects can be distinguished and re-identified across time through their continuous spatio-temporal trajectory. Even as a physical object may change some properties (location, temperature, etc.), it maintains identity through its material constitution and spatio-temporal path. This allows us to re-identify 'the same' physical object at different times, satisfying the requirement for an identity condition. The IC is something like 'occupying the same continuous spatio-temporal region' or 'having the same material continuity.' This makes PhysicalObject a sortal property.	PhysicalObject supplies its own identity condition based on spatio-temporal continuity and material composition. As a fundamental rigid property, it provides the global identity criterion that distinguishes one physical object from another across time - typically through continuous occupation of space-time and material constitution. This IC is not inherited from a more general property but is supplied by PhysicalObject itself, making it a foundational sortal that establishes identity conditions for all physical entities.	PhysicalObject does not carry a common unity condition for all its instances. While many physical objects are intrinsic wholes (e.g., a person, a car, a rock), others are arbitrary aggregates (e.g., a pile of sand, a scattered collection of pebbles, a cloud of gas). The property encompasses both integrated wholes with functional/topological unity and mere aggregates without intrinsic unity criteria. Since there is no single equivalence relation ω that makes all instances of PhysicalObject intrinsic wholes, it is -U rather than +U. It is not ~U because some instances (like organisms or artifacts) clearly are intrinsic wholes, just not all of them under a common unity condition.	PhysicalObject is independent (-D) because instances of physical objects can exist without necessarily depending on other specific entities for their existence. A physical object like a rock, tree, or molecule exists by virtue of its physical nature and does not intrinsically require the existence of other distinct entities (beyond its constituent parts, which are excluded from external dependence). Unlike dependent entities such as Parent (which requires Child) or Student (which requires School), a physical object's existence is not contingent upon relationships with external entities. Physical objects may causally interact with or be affected by other entities, but they do not have the kind of essential, notional dependence that characterizes +D properties.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	+I	+O	~U	+D	Category or Mixin (Non-rigid)	GroupOfPeople is non-rigid because while a collection of people constitutes a group at a given time, the same entity can cease to be a group of people (e.g., when members leave and it becomes empty, or when its composition changes such that it no longer qualifies as a 'group'). An entity can be a GroupOfPeople at time t1 and not be a GroupOfPeople at time t2, while remaining the same entity. This is not anti-rigid (~R) because not ALL instances must possibly not be groups - some groups could theoretically exist necessarily as groups in certain conceptualizations. Therefore, it is non-rigid (-R) as it is not essential to all its instances in all possible worlds.	GroupOfPeople carries an identity condition. A group can be distinguished and re-identified through its membership composition at any given time. Two groups are the same if and only if they have the same members (or the same defining criterion for membership). For example, 'The Beatles' can be identified by its specific members (John, Paul, George, Ringo), and we can determine whether two references point to the same group. Even if membership changes over time (dynamic groups), there exists a criterion (e.g., organizational continuity, founding charter, or institutional identity) that allows us to track the group's identity diachronically. The identity condition may be: 'having the same members at time t' (synchronic) or 'having continuity through the same organizational structure/purpose' (diachronic).	GroupOfPeople supplies its own identity condition based on group membership composition. The identity of a group is determined by which specific people constitute that group - two groups are the same if and only if they consist of the same members. This is distinct from and not inherited from more general properties. While groups are collections, they supply their own IC based on their constituent members: having-the-same-members serves as the identity criterion. This makes GroupOfPeople a property that supplies (+O) rather than merely carries an identity condition.	GroupOfPeople is anti-unity (~U) because its instances are strictly aggregates of persons without intrinsic mereological integration. A group has no unity condition (UC) that binds its members together as an intrinsic whole - the people in a group remain distinct, independently existing individuals. The membership is arbitrary and contingent; members can be added or removed without affecting the identity of the constituent persons. Unlike a Person (which is +U with integrated biological parts bound by functional/topological unity), a GroupOfPeople is merely a collection where the 'parts' (individual people) maintain their own separate unity conditions and existence. This exemplifies the classic case of an aggregate or plurality rather than an integrated whole.	GroupOfPeople is externally dependent because any instance of a group necessarily requires the existence of Person instances that are members of the group. A group cannot exist without people to constitute it, and these people are not parts or constituents of the group itself in the mereological sense - they are separate entities that the group depends upon. The group's existence is predicated on having members, making it externally dependent on Person (or people).	
