term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Agent	http://example.org/guarino-messy#Agent	~R	-I	-O	-U	+D	Formal Role	Agent is anti-rigid (~R) because being an agent is not essential - an entity is only an agent while involved in action/agency relationships. It does not carry identity (-I, -O) as it's a role that entities play rather than supplying conditions for their identity. It lacks unity (-U) as diverse kinds of entities (persons, organizations, software) can be agents without sharing a common unity criterion. It is dependent (+D) because being an agent requires the existence of actions, contexts, or relationships in which agency is exercised. This matches the paper's example treating Agent as anti-rigid to capture that something is an agent only while involved in action. As a non-sortal (~R, +D, -I), it classifies as a Formal Role - a top-level role property that doesn't carry identity and serves as a basis for more specific material roles.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	+I	+O	~U	-D	Type	AmountOfMatter is rigid (+R) because something that is an amount of matter is necessarily so in all possible worlds - it cannot cease to be an amount of matter while remaining the same entity. It carries identity (+I) and supplies its own identity condition (+O) based on mereological extensionality: two amounts of matter are identical iff they have the same parts. This is explicitly discussed in the paper as an example where 'mereological extensionality' applies. It has anti-unity (~U) because amounts of matter are not intrinsic wholes - they are arbitrary aggregations without a unifying relation that binds their parts together (the paper states 'we assume that none of them has a unity condition, thus ~U'). It is independent (-D) as amounts of matter do not depend on external entities for their existence. The combination +R, +I, +O makes it a Type - a rigid property that supplies its own identity condition, forming part of the backbone taxonomy.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Type	ANIMAL is a rigid property (+R) because anything that is an animal is necessarily an animal in all possible worlds where it exists - an animal cannot cease to be an animal while remaining the same entity. It supplies its own identity condition (+O) through biological criteria (e.g., genetic makeup, continuous biological development from conception), making it also carry identity (+I). Instances of ANIMAL are intrinsic wholes (+U) with biological unity - they have functionally and topologically unified parts that constitute a living organism. Animals are independent entities (-D) that do not externally depend on other entities for their existence (though they may depend on parts like organs, these are internal constituents, not external dependencies). As a property that is rigid, supplies its own identity, and represents a natural kind, ANIMAL classifies as a Type - one of the fundamental categories for organizing domain entities.	
Apple	http://example.org/guarino-messy#Apple	+R	+I	+O	+U	-D	Type	APPLE is a rigid natural kind - an entity that is an apple is necessarily an apple in all possible worlds where it exists (cannot cease being an apple while remaining the same entity). It supplies its own identity condition based on biological continuity and genetic/developmental criteria (what makes this apple the same apple over time). Apples are intrinsic wholes with clear topological and functional unity - they have definite boundaries determined by their biological structure. They are independent entities that can exist without necessarily depending on external entities (though they may be constitutionally dependent on their matter, they are not externally dependent in the relevant sense). As a rigid property that supplies identity (+O implies +I and +R), APPLE qualifies as a Type - the fundamental kind of sortal property in the ontology.	
Butterfly	http://example.org/guarino-messy#Butterfly	~R	+I	-O	+U	-D	Phased Sortal	Butterfly is a temporal phase in the life cycle of a lepidopteran insect. It is anti-rigid (~R) because an individual lepidopteran is not necessarily a butterfly throughout its existence—it begins as a caterpillar and later metamorphoses into a butterfly. The property carries identity (+I) because butterflies can be individuated and reidentified, but it does not supply its own identity condition (-O); instead, it inherits identity from the superordinate type LEPIDOPTERAN, which provides the global identity criterion across life phases. Butterflies have unity (+U) as they are biological organisms that constitute intrinsic wholes with morphological and functional integration. They are independent (-D) as individual butterflies do not require external entities beyond their parts to exist. This combination (~R, +I, -O, +U, -D) characterizes Butterfly as a Phased Sortal—a property representing a specific temporal phase of an entity that maintains identity through transformation, as explicitly discussed in the paper's taxonomy cleaning example.	
Caterpillar	http://example.org/guarino-messy#Caterpillar	~R	+I	-O	+U	-D	Phased Sortal	CATERPILLAR is anti-rigid (~R) because an individual caterpillar does not necessarily remain a caterpillar - it transforms into a butterfly while remaining the same organism. It carries identity (+I) inherited from a superordinate type (LEPIDOPTERAN), but does not supply its own global identity condition (-O) since the same individual exists as both caterpillar and butterfly phases. The paper explicitly uses this as the canonical example of a phased sortal: 'an individual may at one time be a CATERPILLAR and at another time be a BUTTERFLY... phased sortals must be subsumed by a type.' CATERPILLAR instances are intrinsic wholes (+U) as individual organisms with functional unity. They are not externally dependent (-D) as they exist as complete organisms without requiring other entities beyond their parts. As a phased sortal, CATERPILLAR represents a temporal phase with local identity conditions that change across the lifecycle, while global identity is maintained by the type LEPIDOPTERAN.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Type	Following the paper's analysis in the taxonomy cleaning example, COUNTRY (when properly distinguished from geographical regions) is a rigid sortal that supplies its own identity condition. The paper explicitly states that countries 'carry their own identity and unity' after splitting the concept from GEOGRAPHICAL REGION. As a Type, COUNTRY is +R (a country is necessarily a country while it exists as such entity), +I (carries identity), +O (supplies its own identity distinct from mere geographical regions), +U (has political/social unity as an organized entity), and -D (can exist independently as a sovereign entity). The paper classifies COUNTRY under SOCIAL ENTITY and LEGAL ENTITY in the cleaned taxonomy, treating it as a type-level concept with its own identity conditions related to political organization rather than mere spatial location.	
Entity	http://example.org/guarino-messy#Entity	+R	-I	-O	-U	-D	Category	Entity is the most abstract, top-level ontological property. It is rigid (+R) because anything that is an entity is necessarily an entity in all possible worlds - there is no possible world where an entity exists but is not an entity. However, Entity does not carry identity conditions (-I, -O) because it is too general to provide criteria for distinguishing one entity from another or for re-identifying entities across time - identity conditions are supplied by more specific sortals like PERSON or PHYSICAL OBJECT. Entity does not impose unity constraints (-U) as entities can be wholes, parts, or collections. It is independent (-D) as it represents the broadest existential category. As a rigid property without identity conditions, Entity is classified as a Category - the highest-level rigid property that carves the domain into useful segments but does not provide identity criteria.	
Food	http://example.org/guarino-messy#Food	~R	+I	-O	-U	+D	Material Role	FOOD is anti-rigid (~R) because something is food only contingently - an apple can cease to be food (e.g., when it rots and becomes inedible) while remaining the same physical object. It carries identity (+I) because food items inherit identity conditions from their underlying types (e.g., a particular apple as food inherits the identity of that apple as a physical object). However, it does not supply its own identity (-O) since 'being food' doesn't provide a new global identity criterion - the identity comes from what the food *is* (apple, bread, etc.). Food instances don't necessarily have a common unity condition (-U) as food can be discrete objects (an apple) or aggregates (a bowl of rice). Food is dependent (+D) because something becomes food only in relation to potential consumers and their needs - food exists as a role in an event or relationship (consumption). This matches the paper's example of FOOD as a material role that 'normally specialize formal roles and have specific meaning in a domain.'	
Fruit	http://example.org/guarino-messy#Fruit	+R	+I	+O	+U	-D	Type	FRUIT is rigid (+R) because once something is a fruit (the botanical structure developed from a flower's ovary), it remains necessarily a fruit throughout its existence - a fruit cannot cease to be a fruit while continuing to exist as the same entity. It carries and supplies its own identity condition (+I, +O) based on biological origin and developmental structure - what makes one fruit distinct from another is determined by its development from a specific flower and containing specific seeds/reproductive material. It has unity (+U) as fruits are intrinsic wholes with topological and functional unity - the parts (skin, flesh, seeds) are bound together as a functional botanical structure. It is independent (-D) as fruits can exist without necessarily requiring other specific entities (though they depend on the plant that produced them, once formed they exist as independent objects). As a rigid property that supplies its own identity (+O, +R), FRUIT qualifies as a Type - the fundamental kind of entity in ontological classification.	
