term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Butterfly is rigid because any entity that is a butterfly is necessarily a butterfly in all possible worlds where it exists. A butterfly cannot cease to be a butterfly and remain the same individual - it is an essential biological kind. While a caterpillar can become a butterfly through metamorphosis, they are not the same persisting individual under standard biological identity criteria; rather, metamorphosis represents a transformation where the organism fundamentally changes its identity as a life stage. Once something is a butterfly (the adult stage of Lepidoptera), it cannot cease to be one while continuing to exist as the same entity.	Butterfly carries an identity condition. As a biological organism, each butterfly instance can be distinguished and re-identified through various means: DNA sequence, specific physical characteristics, spatio-temporal continuity of the individual organism, and developmental history from egg through larva and pupa stages. A butterfly is a rigid property (once a butterfly, always a butterfly during its existence as that life stage) that supplies its own identity condition - we can determine whether two butterfly observations at different times refer to the same individual butterfly through biological and physical criteria. This satisfies the requirement for +I as a sortal property.	Butterfly supplies its own identity condition as a rigid natural kind property. As a biological organism kind, it provides a global identity condition based on having the same continuous life history and biological individual identity (from egg through larva, pupa, to adult butterfly). This IC is not inherited from a more general sortal like 'Insect' or 'Animal' because Butterfly specifies the particular developmental pattern and biological continuity that makes a butterfly the same individual butterfly over time. While it subsumes more general biological categories, Butterfly itself establishes the specific identity criteria for what makes one butterfly numerically identical to itself across its metamorphic life stages, thus supplying (+O) rather than merely carrying (-O) an identity condition.	A butterfly is an intrinsic whole with a clear unity condition based on biological organization and functional integration. Each butterfly instance maintains topological unity (spatially connected body parts) and functional unity (integrated biological systems including wings, thorax, abdomen, circulatory, nervous, and digestive systems) throughout its existence as a butterfly. The parts of a butterfly (wings, antennae, legs, etc.) are not arbitrary but are necessarily connected through biological structure and work as an integrated organism. This unity persists essentially throughout the butterfly's life - if the organism loses this integrated wholeness, it ceases to be a butterfly. Therefore, all instances of Butterfly are intrinsic wholes under an equivalence relation based on biological connectivity and functional integration.	A butterfly, as an individual organism, does not have external notional dependence on other entities. While butterflies require environmental conditions (air, temperature, food sources) and evolved from caterpillars, any particular butterfly instance exists as an independent biological entity. It does not necessarily require the existence of another specific entity (that is not a part or constituent of itself) to exist. The butterfly has all necessary parts and constitution within itself as a complete organism, making it externally independent according to the formal definition.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	~U	+D	Attribution (Non-rigid, no identity)	Red is a non-rigid property because it is not essential to all its instances. An object can be red at one time and cease to be red at another time (e.g., through painting, fading, or natural color change) while remaining the same individual object. For example, a car can be red today and painted blue tomorrow, remaining the same car. Since instances can move in and out of the property RED while maintaining their identity, it is non-rigid (-R) rather than rigid (+R). It is not anti-rigid (~R) because there's no requirement that all red things must contingently be red - some objects might theoretically be essentially red, even if most are not.	Red is a quality or attribute that does not carry an identity condition. There is no principled way to distinguish or re-identify individual instances of redness across time and space. When we encounter red in different objects or at different times, we cannot establish whether it is 'the same red' or different instances of red, as qualities do not have individuation criteria independent of their bearers. Red lacks the necessary conditions (like spatio-temporal continuity, intrinsic structure, or unique identifiers) that would allow us to track a specific instance of redness over time. This is a classic example of a non-sortal property.	Red is a quality/property that does not supply its own identity condition. As a quality, Red does not have an identity condition to provide - qualities are identified through their bearers and characteristics, not through their own intrinsic identity criteria. Since Red was determined to be -I (does not carry identity), it cannot be +O, as +O requires +I. Red entities are not individuated as 'the same red' across instances; rather, each instance of red is identified through the object that bears it.	Red is a quality or property that can be instantiated by completely disconnected, scattered objects without any mereological integration. There is no unity condition that binds together all red things - a red car, a red balloon, and a red building have no intrinsic wholeness relation omega that connects their parts. Red things form an arbitrary collection based solely on sharing a color property, not on being integrated wholes. Individual instances of red things (like 'this red car') might themselves be wholes, but the property Red itself does not carry a unity condition - it has anti-unity (~U) since the property does not require or impose any mereological integration on its instances as a class.	Red is a color quality that cannot exist independently - it must inhere in some physical object or surface. A particular instance of redness (e.g., 'the red of this apple') is externally dependent on the existence of a colored entity (the apple) that bears this quality. Following the definition, for any instance of Red to exist, there must necessarily exist some instance of a physical entity that it qualifies, which is not a part of the redness itself but rather the bearer of this property. This makes Red externally dependent, marked as +D.	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	-D	Attribution (Non-rigid, no identity)	Food is non-rigid because an entity can become food or cease to be food while remaining the same entity. For example, a plant growing in nature is not food, but when harvested and prepared for consumption, it becomes food. Similarly, food that spoils or is disposed of may cease to be food while the matter continues to exist. The property of being food is contingent upon context, purpose, and state, rather than being essential to the identity of the entity in all possible worlds.	Food does not carry an identity condition. Food is a functional/role property that depends on context and purpose (nutritive function for organisms) rather than intrinsic features. The same physical matter can be food at one time and not food at another (e.g., edible fruit vs. rotten fruit), and there's no principled way to re-identify 'the same food' across time - we can only track the underlying physical substance (amount of matter). When we speak of 'the same food,' we're either referring to the same portion of matter or the same type/kind, but food itself doesn't supply criteria for distinguishing one instance from another independent of the underlying material substance.	Food is -I (carries no identity condition), as determined by the Identity analysis. According to the constraint '+O implies +I', if an entity does not carry an identity condition (-I), it cannot supply one. Food is a role/non-sortal property - the same physical matter can be food at one time and not food at another (a sandwich is food, but once digested it is no longer food). It does not supply its own identity condition; any identity would be inherited from what the food actually is (e.g., a particular apple as a physical object). Therefore, Food is -O.	Food does not carry a unity condition because its instances do not share a common intrinsic wholeness criterion. Food can be: an integrated biological whole (an apple, a fish), a functionally unified artifact (a sandwich, a cake), a scattered aggregate (a bowl of rice grains, a bag of chips), or an arbitrary amount of matter (milk in a glass, soup). There is no single equivalence relation omega that makes all instances of Food intrinsic wholes - some instances are wholes under various criteria (topological, morphological, functional), while others are mere quantities or collections. The property Food is defined by its functional role (being edible/nutritive) rather than by any mereological structure, making it -U rather than +U or ~U.	Food instances are independent entities that do not require external dependence on other entities for their existence. While food may be consumed by organisms and may have originated from other sources (plants, animals), once it exists as food, it does not intrinsically depend on any specific external entity to continue existing. A piece of bread, an apple, or a portion of cooked meat exists independently without necessarily requiring a consumer, producer, or any other entity to be present. The food itself maintains its existence as a physical substance regardless of whether it is eaten, stored, or left unused. This is distinct from relational properties like 'Student' which cannot exist without an educational institution.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Animal is a rigid property because any entity that is an animal is necessarily an animal in all possible worlds. An animal cannot cease to be an animal while remaining the same individual - it is an essential biological classification that defines the fundamental nature of its instances. Like Person, this is a sortal property that provides essential identity criteria for its instances throughout their existence.	Animal carries an identity condition. As a natural kind and rigid property (animals remain animals throughout their existence), each animal instance can be reliably distinguished and re-identified over time through biological continuity. Animals have clear spatio-temporal continuity, maintaining identity despite cellular replacement and growth. They possess inherent characteristics (DNA, biological organization, developmental history) that provide necessary and sufficient conditions for both synchronic identity (distinguishing one animal from another at the same time) and diachronic identity (recognizing the same animal at different times). This makes Animal a sortal property that supplies its own identity condition.	Animal supplies its own identity condition. As a fundamental biological category, Animal provides a global identity criterion based on being a continuous living organism with biological continuity over time. This is distinct from more general properties like Physical Object (which uses spatiotemporal continuity) or Amount of Matter (which uses mereological extensionality). The identity of an animal persists through material replacement (cells are replaced over time) and depends on biological/organismal continuity rather than mere physical composition. Since Animal is rigid (once an animal, always an animal throughout existence) and provides this specific biological basis for identity that is not inherited from a more specific property, it supplies its own IC.	Animal carries a unity condition (+U) because all instances of Animal are intrinsic wholes with a biological unity condition. Each animal is an integrated organism where parts (organs, cells, tissues) are functionally and topologically connected throughout its existence. The parts of an animal maintain systematic physiological relationships - they work together as a unified biological system. An animal cannot lose or gain arbitrary parts while remaining the same animal in the way that a scattered collection could. The biological organization that makes something an animal constitutes an equivalence relation omega that holds for all parts at all times during the animal's existence, satisfying the definition of an intrinsic whole under Definition 10.	Animal instances can exist independently without necessarily depending on other specific entities external to themselves. While animals may have biological relationships (predator-prey, symbiosis) or environmental dependencies, these are not ontologically necessary for their existence as animals. An animal exists as an animal by virtue of its intrinsic biological properties (being alive, having certain cellular structures, etc.), not by virtue of a necessary relationship to some other entity. The dependence meta-property concerns external notional dependence where an instance cannot exist without some other distinct entity existing - this does not apply to animals as a category.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Category or Mixin (Non-rigid)	RedApple is non-rigid because an instance can lose the property of being red while remaining the same individual apple. An apple can ripen from green to red, or decay and turn brown, without ceasing to exist as that particular apple. The redness is not essential to the apple's identity across all possible worlds - we can imagine the same apple in a state where it is not red. Therefore, RedApple is not rigid (+R), but since not all apples must necessarily be non-red at some point (some could theoretically remain red throughout their existence), it is not anti-rigid (~R) either. It is simply non-rigid (-R).	RedApple carries an identity condition inherited from its subsuming rigid properties. As a type of physical object/apple, instances of RedApple can be distinguished and re-identified through spatio-temporal continuity and material composition. Each red apple maintains its identity over time as a discrete physical entity - the same red apple can be tracked from one moment to the next through spatial location and physical continuity. While 'red' alone does not supply identity (-I), and the property RedApple may be non-rigid (an apple can change color), it carries the IC supplied by more general rigid properties like APPLE or PHYSICAL OBJECT. According to Definition 4, a non-rigid property carries an IC if it is subsumed by a rigid property carrying that IC. Therefore, RedApple is +I (a sortal).	RedApple does not supply its own identity condition. As a phase sortal (an apple that is temporarily red), it inherits its identity condition from the more fundamental rigid property APPLE or PHYSICAL OBJECT. The redness is a contingent phase property - an apple can change from green to red while remaining the same apple. The identity of a red apple through time is determined by its being the same apple (supplied by APPLE), not by criteria specific to RedApple itself. Therefore, while RedApple carries an IC (+I) inherited from its subsuming properties, it does not supply its own IC (-O).	RedApple instances are intrinsic wholes with clear topological, morphological, and functional unity. Each red apple is a biological organism (or fruit body) with integrated parts (skin, flesh, core, seeds) that are topologically connected and functionally organized. The parts of a red apple maintain their mereological structure throughout the apple's existence as a red apple - if the apple is broken apart, it ceases to be a red apple (though it may remain an apple or become apple pieces). This satisfies the definition of an intrinsic whole under a unity condition, as all instances have integrated structure bound by topological and functional connection relations.	RedApple is independent because instances of red apples do not intrinsically require the existence of other external entities to exist. A red apple exists as a complete physical object on its own - it doesn't depend on another separate entity like PARENT depends on CHILD or STUDENT depends on SCHOOL. While a red apple may have parts (skin, flesh, seeds) and may be constituted of matter, these are internal constituents, not external dependencies. The definition of external dependence requires that 'some instance of ψ must exist, which is not a part nor a constituent of x' - but red apples have no such external existential requirement.	
Group	http://example.org/guarino-messy#Group	+R	+I	+O	~U	-D	Sortal (Rigid, supplies identity)	Group is a rigid property because anything that is a group is necessarily a group in all possible worlds where it exists. A group is defined by its essential collective nature - it is fundamentally a collection or aggregate of entities considered as a unit. While the membership of a group may change (members can join or leave), the entity itself remains essentially a group. An entity cannot be a group in one possible world and not a group in another while maintaining its identity as that same entity. The property of being a group is an essential, category-level classification rather than a contingent phase or role.	Group carries an identity condition. A group can be distinguished and re-identified over time through its membership composition and organizational structure. Two groups are the same if they have the same members organized in the same way. Groups maintain identity across time even as they perform different activities or are in different states. For example, 'The Beatles' remains identifiable as the same group throughout its existence, and we can distinguish it from other groups like 'The Rolling Stones'. The identity condition is based on the collection of members and their organizational relationships, allowing for synchronic (at a given time) and diachronic (across time) identification of group instances.	Group supplies its own identity condition. A group has an identity based on its membership configuration - two groups are the same if they have the same members in the same structural relationships. This is distinct from and not inherited from more general properties. While groups are composed of members, the identity condition 'having the same members' is supplied by the GROUP property itself, not inherited from a more general sortal. This is a fundamental identity criterion that GROUP establishes for its instances.	Group is a paradigmatic case of anti-unity (~U). By definition, a group is a collection of distinct entities that remain separate and are not integrated into a single whole with a unified mereological structure. The members of a group maintain their individual identity and independence - they are not bound by any intrinsic equivalence relation that would make the group an intrinsic whole. A group is essentially a scattered object or aggregate: its 'parts' (members) lack the topological, morphological, or functional integration that would qualify it as a whole. For example, a group of people standing together remains a mere plurality of individuals, not a unified entity with integrated parts like an organism or a functional artifact would be.	A Group is independent because its instances do not intrinsically depend on specific external entities for their existence. While a group consists of members, these members are parts/constituents of the group itself, not external entities. According to the definition, external dependence requires the dependent entity to rely on something that is 'not a part nor a constituent' of it. Since group members are constituents of the group, and the group is fundamentally defined by its membership composition, Group does not exhibit external notional dependence. A group can exist as a collective entity without depending on entities external to its own structure.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Country is a rigid property because anything that is a country is necessarily a country in all possible worlds where it exists. While the territory, government, or population of a country may change, and a country may cease to exist entirely, an entity cannot be a country in one possible world and not a country in another while maintaining its identity as the same entity. The property of being a country is essential to any instance of country - if something is a country, it must be a country throughout its existence. This differs from contingent properties like 'democratic country' or 'member of UN' which a country can gain or lose while remaining the same country.	Country carries an identity condition. Countries can be distinguished and re-identified across time through multiple sufficient and necessary identity criteria: geographical boundaries (territorial extent), sovereign government status, international recognition, and legal continuity of statehood. Even when countries undergo significant changes (regime changes, border modifications, name changes), there are principled ways to track their identity diachronically. For example, France remains the same country despite territorial changes, government transitions, and constitutional reforms. The property Country supplies its own identity conditions related to sovereignty and territorial integrity, making it +I and likely +O as well.	Country supplies its own identity condition as a rigid property. A country maintains its identity through specific criteria such as territorial sovereignty, governmental continuity, and international recognition status - even as governments change, populations shift, or boundaries are modified. The identity condition for a country is distinct from and not inherited from more general properties like 'Geographic Region' or 'Political Entity'. For example, France remains the same country despite regime changes, and this identity is supplied by the specific nature of what constitutes a country, not by a more general sortal. Country is rigid (something cannot become or cease to be a country in different contexts while remaining the same entity) and provides its own global identity criteria.	Country carries unity condition (+U) because each instance is an intrinsic whole under geopolitical and territorial unity. A country's parts (regions, provinces, territories) are bound together by a common sovereignty, legal system, and territorial continuity that defines it as a unified political entity. The parts of a country are not arbitrary - they are integrated through governmental structure, legal jurisdiction, and territorial boundaries. A country maintains this unity condition throughout its existence as that particular country; if the unity condition fails (e.g., through dissolution or partition), it ceases to be the same country. Examples like France or Japan demonstrate that countries are wholes with integrated territorial and political parts, not mere aggregates of land or scattered objects.	A Country does not intrinsically depend on other external entities for its existence. While countries interact with other countries and may have historical origins involving other entities, a country as a geopolitical entity can exist independently. It has its own territory, population, and governance structure that constitute it. The dependencies countries have (e.g., diplomatic recognition, trade partners) are not necessary external dependencies in the ontological sense - a country can exist without any specific other country or external entity existing. The territory, population, and government that constitute a country are parts or constituents of it, not external entities it depends upon.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	~U	-D	Attribution or Quality	AmountOfMatter is rigid because any instance that is an amount of matter is necessarily so in all possible worlds. An amount of matter is defined by mereological extensionality (having the same parts), which is an essential property. If an entity loses or gains any part, it becomes a different amount of matter rather than the same amount that has changed. This is fundamentally different from, say, a Person who can replace parts while remaining the same person. The identity of an amount of matter is necessarily tied to its exact composition, making this property essential to all its instances.	AmountOfMatter does not carry an identity condition. While amounts of matter can be quantified (e.g., '5kg of water'), there is no principled way to distinguish one instance from another or re-identify the same instance over time. If you divide an amount of matter into two parts and later recombine them, or swap some portion with an identical portion, there is no intrinsic property that determines identity. The matter itself has no inherent IC - what counts as 'the same' amount of matter depends entirely on arbitrary tracking decisions (like putting it in a container), not on any condition supplied by the property itself. This is explicitly mentioned in the background text as a paradigmatic example of -I.	Given that this entity was determined to be -I (does not carry identity), it cannot be +O. The constraint states that +O implies +I - you cannot supply an identity condition without carrying one. AmountOfMatter does not supply its own identity condition because it does not carry any identity condition at all.	AmountOfMatter is a paradigmatic example of anti-unity (~U). As explicitly stated in the background text, 'Amount of Matter is usually an example of the latter kind, since none of its instances can be intrinsic wholes.' Instances of AmountOfMatter are pure quantities of substance without any inherent unity condition - they lack integrated mereological structure and their parts are arbitrarily determined. An amount of matter can be divided, scattered, or reaggregated without ceasing to be an amount of matter of the same substance. There is no equivalence relation omega that makes all parts of an amount of matter maximally self-connected as required for being an intrinsic whole. The parts of an amount of matter are held together (if at all) by external spatial arrangement rather than any internal unity principle.	AmountOfMatter represents a quantity or measure of physical substance. Instances of amounts of matter (e.g., 5 kilograms of water, 2 moles of carbon) do not intrinsically depend on other entities external to themselves for their existence. The matter itself exists independently - while it may be measured, contained, or related to other entities, these relationships are not necessary for the amount of matter to exist. The substance that constitutes the amount is self-sufficient and does not require external entities (beyond its own constituent parts) to exist. Unlike dependent entities such as PARENT (which requires CHILD) or STUDENT (which requires an educational institution), an amount of matter simply exists as a quantity of physical substance without such external dependencies.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	-U	-D	Sortal (Rigid, supplies identity)	PhysicalObject is a rigid property because anything that is a physical object is necessarily a physical object in all possible worlds where it exists. An entity cannot cease to be a physical object while remaining the same individual - if something is physical, this is an essential characteristic that it must maintain throughout its existence. It cannot transition between being physical and non-physical while maintaining its identity. This makes PhysicalObject a sortal property that provides essential identity conditions for its instances.	PhysicalObject carries an identity condition based on spatio-temporal continuity. Physical objects can be distinguished and re-identified across time through their continuous existence in space-time, even as their parts may change. They maintain diachronic identity through their spatio-temporal trajectory, and synchronic identity through occupying distinct spatial locations at any given time. This makes PhysicalObject a sortal property, as instances can be individuated and tracked over time using principled criteria related to their physical continuity and spatio-temporal location.	PhysicalObject supplies its own identity condition. As a fundamental rigid property, it establishes the basic IC for physical entities through spatiotemporal continuity and material constitution. Physical objects have identity conditions based on their continuity through space and time, and their material composition (even if parts may change, the continuity of the physical entity persists). This IC is not inherited from a more general property in the domain - PhysicalObject itself is the source of identity conditions for all its subtypes (like Artifact, Organism, etc.). Any subtype of PhysicalObject will inherit or specialize this IC, but PhysicalObject itself supplies the foundational identity criterion for the physical domain.	PhysicalObject does not carry a unity condition because its instances can have vastly different mereological structures and unity criteria. Some instances may be intrinsic wholes with specific unity conditions (like a person with biological unity, or a car with functional unity), while others may be mere aggregates or scattered objects (like a pile of sand or a collection of pebbles). There is no single equivalence relation ω that makes all physical objects intrinsic wholes. While individual subtypes of PhysicalObject may carry their own specific UCs (e.g., organisms have topological/biological unity, artifacts have functional unity), the supertype itself encompasses both unified wholes and non-unified entities, thus it does not carry a common UC for all instances. This is distinct from ~U (anti-unity) because some instances ARE intrinsic wholes - just not under a common unity condition.	PhysicalObject is independent because its instances do not intrinsically require the existence of other specific entities external to themselves. A physical object exists by virtue of its own physical constitution and occupying space. While physical objects may interact with or relate to other entities, these relationships are not necessary for their existence. The entity is not externally dependent on any particular property - physical objects can exist autonomously without requiring instances of other properties (beyond their own parts/constitution) to exist.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	+R	+I	+O	~U	-D	Sortal (Rigid, supplies identity)	GroupOfPeople is rigid because any entity that is a group of people is necessarily a group of people in all possible worlds where it exists. While the membership of the group may change (people can join or leave), the entity itself qua group of people cannot cease to be a group of people and remain the same entity. If all members leave and the group dissolves, it ceases to exist rather than becoming something else. The property of being a group of people is essential to its identity - it cannot lose this property and still be the same entity.	GroupOfPeople carries an identity condition. A group can be distinguished and re-identified through its membership composition (which specific people constitute the group) and potentially through organizational continuity criteria. For instance, a specific committee, team, or family can be identified synchronically by who its members are at a given time, and diachronically through membership continuity or institutional identity. Even if membership changes over time (as in organizations), there are typically conventions or formal criteria that allow us to track whether it's the same group. The property provides sufficient grounds to answer 'is this the same group?' across time and contexts, making it +I.	GroupOfPeople supplies its own identity condition. While it may inherit some general principles from broader categories, it establishes its own specific criterion for what makes one group of people the same as another group - typically based on having the same members (extensional identity) or the same organizing principle/purpose (intensional identity). This is a distinct identity condition from other sortals like Person (individual identity based on continuity of a biological organism) or Organization (which may have identity conditions based on institutional continuity that allows complete member replacement). GroupOfPeople provides a fundamental sortal-level identity criterion for collections of people, making it +O.	GroupOfPeople has anti-unity (~U) because its instances are mereological sums of people without an intrinsic unity condition. A group's parts (individual people) are not integrated through topological, morphological, or functional connection in the way required for being an intrinsic whole. The members remain distinct wholes themselves, and their collective does not form a single integrated entity with bound parts. The composition is arbitrary and changeable - people can join or leave without affecting the identity of individual members. This is a paradigmatic case of a collection or aggregate that lacks the kind of maximal self-connectedness (omega relation) required for intrinsic wholeness.	GroupOfPeople is independent (-D) because instances do not intrinsically depend on specific other entities beyond their constituent parts (the people who comprise the group). While a group requires people to exist, these people are parts/constituents of the group itself, not external entities. According to the definition, external dependence requires dependence on entities that are 'not a part nor a constituent' of the instance. Since the people forming the group are its constituent parts, GroupOfPeople does not exhibit external notional dependence and is therefore marked -D.	
