term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Agent	http://example.org/guarino-messy#Agent	~R	+I	-O	+U	+D	Role	The term 'Agent' is anti-rigid (~R) because an entity can stop being an agent without losing its identity. It carries an identity condition (+I) inherited from its base type (e.g., Person or Organization) but does not supply its own (+O). It is unifying (+U) as it refers to discrete wholes, and it is dependent (+D) because the status of agency requires a relationship to an action, process, or principal.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	~U	-D	Mass Noun / Non-sortal	AmountOfMatter is Rigid because an instance cannot cease to be an amount of matter without ceasing to exist. It is -I and -O because it lacks a global identity condition for its parts (no 'one matter' or 'same matter' without external boundaries). It is ~U (Anti-Unity) because it is divisible and any part of it is also matter, making it a mereological sum rather than a unified whole.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Type	Animal is a Rigid property because an instance cannot cease to be an animal without ceasing to exist. It supplies its own Identity Condition (+O) to distinguish one animal instance from another and carries it (+I). It has Unity (+U) because animals are discrete biological wholes, and it is Independent (-D) as its existence does not intrinsically require the existence of another specific entity.	
Apple	http://example.org/guarino-messy#Apple	+R	+I	+O	+U	-D	Type / Substance Sortal	Apple is a rigid property because an instance of an apple cannot cease to be an apple without losing its identity. It supplies its own identity conditions (supplied by its biological/physical nature as a fruit) and provides a principle for determining unity (the physical boundary of the fruit as a whole). It is an independent substance sortal.	
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Type / Substance Sortal	Butterfly is Rigid (+R) because if an instance ceases to be a butterfly, it ceases to exist as that entity. It supplies its own Identity Condition (+O, +I) to distinguish one butterfly from another. It is Unifying (+U) because a butterfly is a discrete organic whole with defined boundaries. It is Independent (-D) because its existence does not inherently require the existence of another specific individual entity in the way a role like 'Student' does.	
Caterpillar	http://example.org/guarino-messy#Caterpillar	~R	+I	-O	+U	-D	Phase	The term represents a specific life cycle stage (Phase). It is anti-rigid (~R) because an instance ceases to be a caterpillar (becoming a butterfly) while maintaining its identity as the same organism. It carries identity (+I) inherited from the 'Butterfly' or 'Insect' kind but does not supply its own global IC (-O). It is a whole (+U) and exists independently of other distinct individuals (-D).	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Type (Sortal)	A Country is a Rigid property (+R) because a country cannot cease to be a country without ceasing to exist as that entity. It supplies its own Identity Condition (+O, implying +I) based on defined borders and constitutional continuity. It defines a whole with Unity (+U) as it is not a mere sum of parts, and while it interacts with others, it is considered an independent entity (-D) in this framework.	
Entity	http://example.org/guarino-messy#Entity	+R	-I	-O	-U	-D	Non-Sortal Mixin	The term 'Entity' is a top-level category. It is Rigid because an entity cannot cease to be an entity without ceasing to exist. It lacks its own Identity Condition (+O) or inherited Identity Condition (+I) because the criteria for identifying entities vary wildly across sub-types (e.g., identity for a set is different from identity for a person). It is non-unifying because some entities are wholes (+U) while others are scattered amounts (~U).	
Food	http://example.org/guarino-messy#Food	~R	-I	-O	~U	+D	Phased-Mixin / Role	Food is anti-rigid (~R) because it is a functional role an entity plays; a tomato is still a tomato when it ceases to be food. It lacks own identity (-O) and identity conditions (-I) because its instances (meat, grain, oil) satisfy different ICs. It is anti-unity (~U) because it includes masses/aggregates and is externally dependent (+D) on a consumer that uses it for nutrition.	
Fruit	http://example.org/guarino-messy#Fruit								"Error parsing JSON response from LLM.
Raw output: {
  ""properties"": {
    ""rigidity"": ""+R"",
    ""identity"": ""-I"",
    ""own_identity"": ""-O"",
    ""unity"": ""+U"",
    ""dependence"": ""-D""
  },
  ""classification"": ""Non-substantial Sortal (Category)"",
  ""reasoning"": ""Fruit is a rigid property because an instance of a fruit cannot cease to be a fruit without losing its identity. However, it does not supply a unique global identity condition (Own Identity) or carry a specific identity condition; rather, identity is supplied by the specific species (Apple, Orange). It exhibits Unity as fruits are typically discrete integral wholes."",
}"
