constraint	severity	sub_label	sub_rigidity	sub_identity	sub_own_id	sub_unity	sub_dep	sub_class	sup_label	sup_rigidity	sup_identity	sup_own_id	sup_unity	sup_dep	sup_class	description	sub_uri	sup_uri
I1	VIOLATION	Smooth Muscle Contraction	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.obolibrary.org/obo/GO_0006936	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	body fluid secretion	+R	-I	-O	~U	+D	Process	regulation of biological quality	+R	+I	+O	+U	-D	Sortal	+I(super) not inherited: identity not carried by subclass	http://purl.obolibrary.org/obo/GO_0007589	http://purl.obolibrary.org/obo/GO_0065008
I1	VIOLATION	circulatory system process	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.obolibrary.org/obo/GO_0003013	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	cognition	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.obolibrary.org/obo/GO_0050890	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	cognitive appraisal process	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000014	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	cognitive response to anxiety	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000024	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	cognitive response to emotion	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000013	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	cognitive response to fear	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000023	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	heart process	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.obolibrary.org/obo/GO_0003015	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	increased breathing rate response to anxiety	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000030	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	increased breathing rate response to emotion	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000012	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	increased breathing rate response to fear	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000029	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	increased heart response to anxiety	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000028	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	increased heart response to emotion	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000011	http://purl.obolibrary.org/obo/GO_0003008
I1	VIOLATION	increased heart response to fear	+R	-I	-O	~U	+D	Process	system process	+R	+I	+O	+U	+D	Process	+I(super) not inherited: identity not carried by subclass	http://purl.bioontology.org/ontology/EMRO/0000027	http://purl.obolibrary.org/obo/GO_0003008
