agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
anthropic-agents-no-files,overall,all,all,0.76,0.57,0.61,0.54,105,75,30,117,30
anthropic-agents-no-files,macro_avg,rigidity,all,0.78,0.67,0.69,0.49,21,14,7,35,7
anthropic-agents-no-files,per_class,rigidity,+R,0.76,0.75,0.92,0.83,13,12,4,4,1
anthropic-agents-no-files,per_class,rigidity,-R,0.86,0.25,1.00,0.40,1,1,3,17,0
anthropic-agents-no-files,per_class,rigidity,~R,0.71,1.00,0.14,0.25,7,1,0,14,6
anthropic-agents-no-files,macro_avg,identity,all,0.86,0.64,0.70,0.66,21,18,3,18,3
anthropic-agents-no-files,per_class,identity,+I,0.86,0.94,0.89,0.92,19,17,1,1,2
anthropic-agents-no-files,per_class,identity,-I,0.86,0.33,0.50,0.40,2,1,2,17,1
anthropic-agents-no-files,macro_avg,own_identity,all,0.76,0.78,0.71,0.72,21,16,5,16,5
anthropic-agents-no-files,per_class,own_identity,+O,0.76,0.75,0.92,0.83,13,12,4,4,1
anthropic-agents-no-files,per_class,own_identity,-O,0.76,0.80,0.50,0.62,8,4,1,12,4
anthropic-agents-no-files,macro_avg,unity,all,0.78,0.45,0.49,0.45,21,14,7,35,7
anthropic-agents-no-files,per_class,unity,+U,0.76,0.92,0.73,0.81,15,11,1,5,4
anthropic-agents-no-files,per_class,unity,-U,0.76,0.43,0.75,0.55,4,3,4,13,1
anthropic-agents-no-files,per_class,unity,~U,0.81,0.00,0.00,0.00,2,0,2,17,2
anthropic-agents-no-files,macro_avg,dependence,all,0.62,0.34,0.43,0.38,21,13,8,13,8
anthropic-agents-no-files,per_class,dependence,+D,0.62,0.00,0.00,0.00,6,0,2,13,6
anthropic-agents-no-files,per_class,dependence,-D,0.62,0.68,0.87,0.76,15,13,6,0,2
