agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
anthropic-critic-with-intro,overall,all,all,0.67,0.64,0.46,0.52,105,55,20,85,50
anthropic-critic-with-intro,macro_avg,rigidity,all,0.69,0.44,0.30,0.36,21,10,5,25,11
anthropic-critic-with-intro,per_class,rigidity,+R,0.71,1.00,0.62,0.76,13,8,0,4,5
anthropic-critic-with-intro,per_class,rigidity,-R,0.87,0.00,0.00,0.00,1,0,1,13,1
anthropic-critic-with-intro,per_class,rigidity,~R,0.53,0.33,0.29,0.31,7,2,4,8,5
anthropic-critic-with-intro,macro_avg,identity,all,0.72,0.67,0.57,0.59,21,13,2,13,8
anthropic-critic-with-intro,per_class,identity,+I,0.65,1.00,0.63,0.77,19,12,0,1,7
anthropic-critic-with-intro,per_class,identity,-I,0.81,0.33,0.50,0.40,2,1,2,12,1
anthropic-critic-with-intro,macro_avg,own_identity,all,0.50,0.70,0.44,0.50,21,9,6,9,12
anthropic-critic-with-intro,per_class,own_identity,+O,0.53,1.00,0.38,0.56,13,5,0,4,8
anthropic-critic-with-intro,per_class,own_identity,-O,0.47,0.40,0.50,0.44,8,4,6,5,4
anthropic-critic-with-intro,macro_avg,unity,all,0.73,0.63,0.51,0.55,21,11,4,26,10
anthropic-critic-with-intro,per_class,unity,+U,0.63,1.00,0.53,0.70,15,8,0,4,7
anthropic-critic-with-intro,per_class,unity,-U,0.71,0.40,0.50,0.44,4,2,3,10,2
anthropic-critic-with-intro,per_class,unity,~U,0.87,0.50,0.50,0.50,2,1,1,12,1
anthropic-critic-with-intro,macro_avg,dependence,all,0.67,0.75,0.50,0.59,21,12,3,12,9
anthropic-critic-with-intro,per_class,dependence,+D,0.71,0.67,0.33,0.44,6,2,1,10,4
anthropic-critic-with-intro,per_class,dependence,-D,0.63,0.83,0.67,0.74,15,10,2,2,5
