agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
anthropic-no-files,overall,all,all,0.76,0.65,0.61,0.58,105,75,30,117,30
anthropic-no-files,macro_avg,rigidity,all,0.75,0.64,0.71,0.54,21,13,8,34,8
anthropic-no-files,per_class,rigidity,+R,0.67,0.75,0.69,0.72,13,9,3,5,4
anthropic-no-files,per_class,rigidity,-R,0.76,0.17,1.00,0.29,1,1,5,15,0
anthropic-no-files,per_class,rigidity,~R,0.81,1.00,0.43,0.60,7,3,0,14,4
anthropic-no-files,macro_avg,identity,all,0.95,0.97,0.75,0.82,21,20,1,20,1
anthropic-no-files,per_class,identity,+I,0.95,0.95,1.00,0.97,19,19,1,1,0
anthropic-no-files,per_class,identity,-I,0.95,1.00,0.50,0.67,2,1,0,19,1
anthropic-no-files,macro_avg,own_identity,all,0.71,0.73,0.65,0.65,21,15,6,15,6
anthropic-no-files,per_class,own_identity,+O,0.71,0.71,0.92,0.80,13,12,5,3,1
anthropic-no-files,per_class,own_identity,-O,0.71,0.75,0.38,0.50,8,3,1,12,5
anthropic-no-files,macro_avg,unity,all,0.75,0.38,0.41,0.38,21,13,8,34,8
anthropic-no-files,per_class,unity,+U,0.71,0.85,0.73,0.79,15,11,2,4,4
anthropic-no-files,per_class,unity,-U,0.67,0.29,0.50,0.36,4,2,5,12,2
anthropic-no-files,per_class,unity,~U,0.86,0.00,0.00,0.00,2,0,1,18,2
anthropic-no-files,macro_avg,dependence,all,0.67,0.53,0.52,0.51,21,14,7,14,7
anthropic-no-files,per_class,dependence,+D,0.67,0.33,0.17,0.22,6,1,2,13,5
anthropic-no-files,per_class,dependence,-D,0.67,0.72,0.87,0.79,15,13,5,1,2
