agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_claude_gemma9b,overall,all,all,0.64,0.50,0.49,0.45,110,61,46,108,49
dspy_agent_claude_gemma9b,macro_avg,rigidity,all,0.64,0.46,0.60,0.39,22,10,12,32,12
dspy_agent_claude_gemma9b,per_class,rigidity,+R,0.55,0.78,0.47,0.58,15,7,2,5,8
dspy_agent_claude_gemma9b,per_class,rigidity,-R,0.64,0.11,1.00,0.20,1,1,8,13,0
dspy_agent_claude_gemma9b,per_class,rigidity,~R,0.73,0.50,0.33,0.40,6,2,2,14,4
dspy_agent_claude_gemma9b,macro_avg,identity,all,0.64,0.53,0.48,0.47,22,13,7,15,9
dspy_agent_claude_gemma9b,per_class,identity,+I,0.64,0.92,0.63,0.75,19,12,1,2,7
dspy_agent_claude_gemma9b,per_class,identity,-I,0.64,0.14,0.33,0.20,3,1,6,13,2
dspy_agent_claude_gemma9b,macro_avg,own_identity,all,0.48,0.50,0.47,0.47,22,10,11,11,12
dspy_agent_claude_gemma9b,per_class,own_identity,+O,0.50,0.62,0.38,0.48,13,5,3,6,8
dspy_agent_claude_gemma9b,per_class,own_identity,-O,0.45,0.38,0.56,0.45,9,5,8,5,4
dspy_agent_claude_gemma9b,macro_avg,unity,all,0.70,0.44,0.35,0.39,22,12,10,34,10
dspy_agent_claude_gemma9b,per_class,unity,+U,0.77,0.83,0.77,0.80,13,10,2,7,3
dspy_agent_claude_gemma9b,per_class,unity,-U,0.68,0.50,0.29,0.36,7,2,2,13,5
dspy_agent_claude_gemma9b,per_class,unity,~U,0.64,0.00,0.00,0.00,2,0,6,14,2
dspy_agent_claude_gemma9b,macro_avg,dependence,all,0.73,0.56,0.54,0.54,22,16,6,16,6
dspy_agent_claude_gemma9b,per_class,dependence,+D,0.73,0.33,0.20,0.25,5,1,2,15,4
dspy_agent_claude_gemma9b,per_class,dependence,-D,0.73,0.79,0.88,0.83,17,15,4,1,2
