agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_claude_gpt4o-mini,overall,all,all,0.67,0.55,0.57,0.49,110,66,44,110,44
dspy_agent_claude_gpt4o-mini,macro_avg,rigidity,all,0.58,0.61,0.52,0.32,22,8,14,30,14
dspy_agent_claude_gpt4o-mini,per_class,rigidity,+R,0.50,0.75,0.40,0.52,15,6,2,5,9
dspy_agent_claude_gpt4o-mini,per_class,rigidity,-R,0.45,0.08,1.00,0.14,1,1,12,9,0
dspy_agent_claude_gpt4o-mini,per_class,rigidity,~R,0.77,1.00,0.17,0.29,6,1,0,16,5
dspy_agent_claude_gpt4o-mini,macro_avg,identity,all,0.68,0.59,0.68,0.58,22,15,7,15,7
dspy_agent_claude_gpt4o-mini,per_class,identity,+I,0.68,0.93,0.68,0.79,19,13,1,2,6
dspy_agent_claude_gpt4o-mini,per_class,identity,-I,0.68,0.25,0.67,0.36,3,2,6,13,1
dspy_agent_claude_gpt4o-mini,macro_avg,own_identity,all,0.59,0.62,0.62,0.59,22,13,9,13,9
dspy_agent_claude_gpt4o-mini,per_class,own_identity,+O,0.59,0.75,0.46,0.57,13,6,2,7,7
dspy_agent_claude_gpt4o-mini,per_class,own_identity,-O,0.59,0.50,0.78,0.61,9,7,7,6,2
dspy_agent_claude_gpt4o-mini,macro_avg,unity,all,0.79,0.56,0.59,0.57,22,15,7,37,7
dspy_agent_claude_gpt4o-mini,per_class,unity,+U,0.82,0.85,0.85,0.85,13,11,2,7,2
dspy_agent_claude_gpt4o-mini,per_class,unity,-U,0.68,0.50,0.43,0.46,7,3,3,12,4
dspy_agent_claude_gpt4o-mini,per_class,unity,~U,0.86,0.33,0.50,0.40,2,1,2,18,1
dspy_agent_claude_gpt4o-mini,macro_avg,dependence,all,0.68,0.38,0.44,0.41,22,15,7,15,7
dspy_agent_claude_gpt4o-mini,per_class,dependence,+D,0.68,0.00,0.00,0.00,5,0,2,15,5
dspy_agent_claude_gpt4o-mini,per_class,dependence,-D,0.68,0.75,0.88,0.81,17,15,5,0,2
