agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_claude_llama70b,overall,all,all,0.72,0.55,0.57,0.53,110,73,37,117,37
dspy_agent_claude_llama70b,macro_avg,rigidity,all,0.73,0.57,0.67,0.48,22,13,9,35,9
dspy_agent_claude_llama70b,per_class,rigidity,+R,0.73,0.91,0.67,0.77,15,10,1,6,5
dspy_agent_claude_llama70b,per_class,rigidity,-R,0.68,0.12,1.00,0.22,1,1,7,14,0
dspy_agent_claude_llama70b,per_class,rigidity,~R,0.77,0.67,0.33,0.44,6,2,1,15,4
dspy_agent_claude_llama70b,macro_avg,identity,all,0.77,0.57,0.59,0.58,22,17,5,17,5
dspy_agent_claude_llama70b,per_class,identity,+I,0.77,0.89,0.84,0.86,19,16,2,1,3
dspy_agent_claude_llama70b,per_class,identity,-I,0.77,0.25,0.33,0.29,3,1,3,16,2
dspy_agent_claude_llama70b,macro_avg,own_identity,all,0.68,0.68,0.68,0.68,22,15,7,15,7
dspy_agent_claude_llama70b,per_class,own_identity,+O,0.68,0.75,0.69,0.72,13,9,3,6,4
dspy_agent_claude_llama70b,per_class,own_identity,-O,0.68,0.60,0.67,0.63,9,6,4,9,3
dspy_agent_claude_llama70b,macro_avg,unity,all,0.73,0.40,0.40,0.40,22,13,9,35,9
dspy_agent_claude_llama70b,per_class,unity,+U,0.77,0.83,0.77,0.80,13,10,2,7,3
dspy_agent_claude_llama70b,per_class,unity,-U,0.59,0.38,0.43,0.40,7,3,5,10,4
dspy_agent_claude_llama70b,per_class,unity,~U,0.82,0.00,0.00,0.00,2,0,2,18,2
dspy_agent_claude_llama70b,macro_avg,dependence,all,0.68,0.51,0.51,0.51,22,15,7,15,7
dspy_agent_claude_llama70b,per_class,dependence,+D,0.68,0.25,0.20,0.22,5,1,3,14,4
dspy_agent_claude_llama70b,per_class,dependence,-D,0.68,0.78,0.82,0.80,17,14,4,1,3
