agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_claude_mistral-small-3.1,overall,all,all,0.64,0.50,0.55,0.48,110,63,47,107,47
dspy_agent_claude_mistral-small-3.1,macro_avg,rigidity,all,0.73,0.51,0.70,0.50,22,13,9,35,9
dspy_agent_claude_mistral-small-3.1,per_class,rigidity,+R,0.68,0.90,0.60,0.72,15,9,1,6,6
dspy_agent_claude_mistral-small-3.1,per_class,rigidity,-R,0.82,0.20,1.00,0.33,1,1,4,17,0
dspy_agent_claude_mistral-small-3.1,per_class,rigidity,~R,0.68,0.43,0.50,0.46,6,3,4,12,3
dspy_agent_claude_mistral-small-3.1,macro_avg,identity,all,0.64,0.57,0.65,0.54,22,14,8,14,8
dspy_agent_claude_mistral-small-3.1,per_class,identity,+I,0.64,0.92,0.63,0.75,19,12,1,2,7
dspy_agent_claude_mistral-small-3.1,per_class,identity,-I,0.64,0.22,0.67,0.33,3,2,7,12,1
dspy_agent_claude_mistral-small-3.1,macro_avg,own_identity,all,0.59,0.62,0.62,0.59,22,13,9,13,9
dspy_agent_claude_mistral-small-3.1,per_class,own_identity,+O,0.59,0.75,0.46,0.57,13,6,2,7,7
dspy_agent_claude_mistral-small-3.1,per_class,own_identity,-O,0.59,0.50,0.78,0.61,9,7,7,6,2
dspy_agent_claude_mistral-small-3.1,macro_avg,unity,all,0.67,0.38,0.35,0.36,22,11,11,33,11
dspy_agent_claude_mistral-small-3.1,per_class,unity,+U,0.68,0.80,0.62,0.70,13,8,2,7,5
dspy_agent_claude_mistral-small-3.1,per_class,unity,-U,0.55,0.33,0.43,0.38,7,3,6,9,4
dspy_agent_claude_mistral-small-3.1,per_class,unity,~U,0.77,0.00,0.00,0.00,2,0,3,17,2
dspy_agent_claude_mistral-small-3.1,macro_avg,dependence,all,0.55,0.44,0.42,0.43,22,12,10,12,10
dspy_agent_claude_mistral-small-3.1,per_class,dependence,+D,0.55,0.14,0.20,0.17,5,1,6,11,4
dspy_agent_claude_mistral-small-3.1,per_class,dependence,-D,0.55,0.73,0.65,0.69,17,11,4,1,6
