agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_gemma9b,overall,all,all,0.63,0.49,0.43,0.40,110,55,43,111,55
dspy_agent_gemma9b,macro_avg,rigidity,all,0.62,0.65,0.54,0.35,22,9,12,32,13
dspy_agent_gemma9b,per_class,rigidity,+R,0.59,0.88,0.47,0.61,15,7,1,6,8
dspy_agent_gemma9b,per_class,rigidity,-R,0.50,0.08,1.00,0.15,1,1,11,10,0
dspy_agent_gemma9b,per_class,rigidity,~R,0.77,1.00,0.17,0.29,6,1,0,16,5
dspy_agent_gemma9b,macro_avg,identity,all,0.64,0.51,0.48,0.47,22,13,7,15,9
dspy_agent_gemma9b,per_class,identity,+I,0.59,0.86,0.63,0.73,19,12,2,1,7
dspy_agent_gemma9b,per_class,identity,-I,0.68,0.17,0.33,0.22,3,1,5,14,2
dspy_agent_gemma9b,macro_avg,own_identity,all,0.55,0.54,0.44,0.48,22,10,8,14,12
dspy_agent_gemma9b,per_class,own_identity,+O,0.50,0.58,0.54,0.56,13,7,5,4,6
dspy_agent_gemma9b,per_class,own_identity,-O,0.59,0.50,0.33,0.40,9,3,3,10,6
dspy_agent_gemma9b,macro_avg,unity,all,0.68,0.41,0.35,0.37,22,11,10,34,11
dspy_agent_gemma9b,per_class,unity,+U,0.73,0.89,0.62,0.73,13,8,1,8,5
dspy_agent_gemma9b,per_class,unity,-U,0.55,0.33,0.43,0.38,7,3,6,9,4
dspy_agent_gemma9b,per_class,unity,~U,0.77,0.00,0.00,0.00,2,0,3,17,2
dspy_agent_gemma9b,macro_avg,dependence,all,0.64,0.35,0.35,0.35,22,12,6,16,10
dspy_agent_gemma9b,per_class,dependence,+D,0.73,0.00,0.00,0.00,5,0,1,16,5
dspy_agent_gemma9b,per_class,dependence,-D,0.55,0.71,0.71,0.71,17,12,5,0,5
