agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_claude_llama3b,overall,all,all,0.61,0.54,0.54,0.45,110,59,51,103,51
dspy_agent_claude_llama3b,macro_avg,rigidity,all,0.61,0.50,0.58,0.38,22,9,13,31,13
dspy_agent_claude_llama3b,per_class,rigidity,+R,0.50,0.75,0.40,0.52,15,6,2,5,9
dspy_agent_claude_llama3b,per_class,rigidity,-R,0.55,0.09,1.00,0.17,1,1,10,11,0
dspy_agent_claude_llama3b,per_class,rigidity,~R,0.77,0.67,0.33,0.44,6,2,1,15,4
dspy_agent_claude_llama3b,macro_avg,identity,all,0.45,0.52,0.54,0.41,22,10,12,10,12
dspy_agent_claude_llama3b,per_class,identity,+I,0.45,0.89,0.42,0.57,19,8,1,2,11
dspy_agent_claude_llama3b,per_class,identity,-I,0.45,0.15,0.67,0.25,3,2,11,8,1
dspy_agent_claude_llama3b,macro_avg,own_identity,all,0.50,0.53,0.53,0.50,22,11,11,11,11
dspy_agent_claude_llama3b,per_class,own_identity,+O,0.50,0.62,0.38,0.48,13,5,3,6,8
dspy_agent_claude_llama3b,per_class,own_identity,-O,0.50,0.43,0.67,0.52,9,6,8,5,3
dspy_agent_claude_llama3b,macro_avg,unity,all,0.76,0.65,0.52,0.46,22,14,8,36,8
dspy_agent_claude_llama3b,per_class,unity,+U,0.73,0.71,0.92,0.80,13,12,5,4,1
dspy_agent_claude_llama3b,per_class,unity,-U,0.73,1.00,0.14,0.25,7,1,0,15,6
dspy_agent_claude_llama3b,per_class,unity,~U,0.82,0.25,0.50,0.33,2,1,3,17,1
dspy_agent_claude_llama3b,macro_avg,dependence,all,0.68,0.51,0.51,0.51,22,15,7,15,7
dspy_agent_claude_llama3b,per_class,dependence,+D,0.68,0.25,0.20,0.22,5,1,3,14,4
dspy_agent_claude_llama3b,per_class,dependence,-D,0.68,0.78,0.82,0.80,17,14,4,1,3
