agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_claude_mistral7b,overall,all,all,0.67,0.53,0.49,0.48,110,66,42,112,44
dspy_agent_claude_mistral7b,macro_avg,rigidity,all,0.58,0.40,0.24,0.29,22,8,14,30,14
dspy_agent_claude_mistral7b,per_class,rigidity,+R,0.55,0.86,0.40,0.55,15,6,1,6,9
dspy_agent_claude_mistral7b,per_class,rigidity,-R,0.55,0.00,0.00,0.00,1,0,9,12,1
dspy_agent_claude_mistral7b,per_class,rigidity,~R,0.64,0.33,0.33,0.33,6,2,4,12,4
dspy_agent_claude_mistral7b,macro_avg,identity,all,0.68,0.52,0.54,0.51,22,15,7,15,7
dspy_agent_claude_mistral7b,per_class,identity,+I,0.68,0.88,0.74,0.80,19,14,2,1,5
dspy_agent_claude_mistral7b,per_class,identity,-I,0.68,0.17,0.33,0.22,3,1,5,14,2
dspy_agent_claude_mistral7b,macro_avg,own_identity,all,0.55,0.64,0.60,0.53,22,12,10,12,10
dspy_agent_claude_mistral7b,per_class,own_identity,+O,0.55,0.80,0.31,0.44,13,4,1,8,9
dspy_agent_claude_mistral7b,per_class,own_identity,-O,0.55,0.47,0.89,0.62,9,8,9,4,1
dspy_agent_claude_mistral7b,macro_avg,unity,all,0.85,0.70,0.62,0.64,22,16,4,40,6
dspy_agent_claude_mistral7b,per_class,unity,+U,0.86,0.86,0.92,0.89,13,12,2,7,1
dspy_agent_claude_mistral7b,per_class,unity,-U,0.77,0.75,0.43,0.55,7,3,1,14,4
dspy_agent_claude_mistral7b,per_class,unity,~U,0.91,0.50,0.50,0.50,2,1,1,19,1
dspy_agent_claude_mistral7b,macro_avg,dependence,all,0.68,0.38,0.44,0.41,22,15,7,15,7
dspy_agent_claude_mistral7b,per_class,dependence,+D,0.68,0.00,0.00,0.00,5,0,2,15,5
dspy_agent_claude_mistral7b,per_class,dependence,-D,0.68,0.75,0.88,0.81,17,15,5,0,2
