agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_claude_qwen7b,overall,all,all,0.68,0.46,0.45,0.41,110,60,34,120,50
dspy_agent_claude_qwen7b,macro_avg,rigidity,all,0.64,0.30,0.53,0.29,22,10,12,32,12
dspy_agent_claude_qwen7b,per_class,rigidity,+R,0.64,0.82,0.60,0.69,15,9,2,5,6
dspy_agent_claude_qwen7b,per_class,rigidity,-R,0.55,0.09,1.00,0.17,1,1,10,11,0
dspy_agent_claude_qwen7b,per_class,rigidity,~R,0.73,0.00,0.00,0.00,6,0,0,16,6
dspy_agent_claude_qwen7b,macro_avg,identity,all,0.77,0.69,0.54,0.60,22,15,3,19,7
dspy_agent_claude_qwen7b,per_class,identity,+I,0.68,0.88,0.74,0.80,19,14,2,1,5
dspy_agent_claude_qwen7b,per_class,identity,-I,0.86,0.50,0.33,0.40,3,1,1,18,2
dspy_agent_claude_qwen7b,macro_avg,own_identity,all,0.48,0.51,0.45,0.43,22,9,10,12,13
dspy_agent_claude_qwen7b,per_class,own_identity,+O,0.45,0.60,0.23,0.33,13,3,2,7,10
dspy_agent_claude_qwen7b,per_class,own_identity,-O,0.50,0.43,0.67,0.52,9,6,8,5,3
dspy_agent_claude_qwen7b,macro_avg,unity,all,0.80,0.42,0.38,0.36,22,14,5,39,8
dspy_agent_claude_qwen7b,per_class,unity,+U,0.82,0.76,1.00,0.87,13,13,4,5,0
dspy_agent_claude_qwen7b,per_class,unity,-U,0.68,0.50,0.14,0.22,7,1,1,14,6
dspy_agent_claude_qwen7b,per_class,unity,~U,0.91,0.00,0.00,0.00,2,0,0,20,2
dspy_agent_claude_qwen7b,macro_avg,dependence,all,0.68,0.38,0.35,0.36,22,12,4,18,10
dspy_agent_claude_qwen7b,per_class,dependence,+D,0.77,0.00,0.00,0.00,5,0,0,17,5
dspy_agent_claude_qwen7b,per_class,dependence,-D,0.59,0.75,0.71,0.73,17,12,4,1,5
