agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_critic_claude_gemma9b,overall,all,all,0.62,0.59,0.54,0.48,110,55,45,109,55
dspy_agent_critic_claude_gemma9b,macro_avg,rigidity,all,0.56,0.50,0.58,0.29,22,6,13,31,16
dspy_agent_critic_claude_gemma9b,per_class,rigidity,+R,0.36,1.00,0.07,0.12,15,1,0,7,14
dspy_agent_critic_claude_gemma9b,per_class,rigidity,-R,0.82,0.20,1.00,0.33,1,1,4,17,0
dspy_agent_critic_claude_gemma9b,per_class,rigidity,~R,0.50,0.31,0.67,0.42,6,4,9,7,2
dspy_agent_critic_claude_gemma9b,macro_avg,identity,all,0.52,0.59,0.54,0.44,22,10,9,13,12
dspy_agent_critic_claude_gemma9b,per_class,identity,+I,0.50,1.00,0.42,0.59,19,8,0,3,11
dspy_agent_critic_claude_gemma9b,per_class,identity,-I,0.55,0.18,0.67,0.29,3,2,9,10,1
dspy_agent_critic_claude_gemma9b,macro_avg,own_identity,all,0.55,0.63,0.53,0.52,22,11,9,13,11
dspy_agent_critic_claude_gemma9b,per_class,own_identity,+O,0.59,0.83,0.38,0.53,13,5,1,8,8
dspy_agent_critic_claude_gemma9b,per_class,own_identity,-O,0.50,0.43,0.67,0.52,9,6,8,5,3
dspy_agent_critic_claude_gemma9b,macro_avg,unity,all,0.68,0.50,0.35,0.41,22,11,10,34,11
dspy_agent_critic_claude_gemma9b,per_class,unity,+U,0.77,1.00,0.62,0.76,13,8,0,9,5
dspy_agent_critic_claude_gemma9b,per_class,unity,-U,0.68,0.50,0.43,0.46,7,3,3,12,4
dspy_agent_critic_claude_gemma9b,per_class,unity,~U,0.59,0.00,0.00,0.00,2,0,7,13,2
dspy_agent_critic_claude_gemma9b,macro_avg,dependence,all,0.80,0.74,0.71,0.72,22,17,4,18,5
dspy_agent_critic_claude_gemma9b,per_class,dependence,+D,0.82,0.60,0.60,0.60,5,3,2,15,2
dspy_agent_critic_claude_gemma9b,per_class,dependence,-D,0.77,0.88,0.82,0.85,17,14,2,3,3
