agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_critic_claude_llama70b,overall,all,all,0.66,0.61,0.63,0.53,110,65,44,110,45
dspy_agent_critic_claude_llama70b,macro_avg,rigidity,all,0.73,0.60,0.73,0.53,22,13,9,35,9
dspy_agent_critic_claude_llama70b,per_class,rigidity,+R,0.68,1.00,0.53,0.70,15,8,0,7,7
dspy_agent_critic_claude_llama70b,per_class,rigidity,-R,0.68,0.12,1.00,0.22,1,1,7,14,0
dspy_agent_critic_claude_llama70b,per_class,rigidity,~R,0.82,0.67,0.67,0.67,6,4,2,14,2
dspy_agent_critic_claude_llama70b,macro_avg,identity,all,0.52,0.62,0.71,0.48,22,11,10,12,11
dspy_agent_critic_claude_llama70b,per_class,identity,+I,0.50,1.00,0.42,0.59,19,8,0,3,11
dspy_agent_critic_claude_llama70b,per_class,identity,-I,0.55,0.23,1.00,0.38,3,3,10,9,0
dspy_agent_critic_claude_llama70b,macro_avg,own_identity,all,0.68,0.78,0.73,0.68,22,15,7,15,7
dspy_agent_critic_claude_llama70b,per_class,own_identity,+O,0.68,1.00,0.46,0.63,13,6,0,9,7
dspy_agent_critic_claude_llama70b,per_class,own_identity,-O,0.68,0.56,1.00,0.72,9,9,7,6,0
dspy_agent_critic_claude_llama70b,macro_avg,unity,all,0.67,0.46,0.39,0.38,22,11,11,33,11
dspy_agent_critic_claude_llama70b,per_class,unity,+U,0.68,1.00,0.46,0.63,13,6,0,9,7
dspy_agent_critic_claude_llama70b,per_class,unity,-U,0.55,0.38,0.71,0.50,7,5,8,7,2
dspy_agent_critic_claude_llama70b,per_class,unity,~U,0.77,0.00,0.00,0.00,2,0,3,17,2
dspy_agent_critic_claude_llama70b,macro_avg,dependence,all,0.68,0.57,0.58,0.58,22,15,7,15,7
dspy_agent_critic_claude_llama70b,per_class,dependence,+D,0.68,0.33,0.40,0.36,5,2,4,13,3
dspy_agent_critic_claude_llama70b,per_class,dependence,-D,0.68,0.81,0.76,0.79,17,13,3,2,4
