agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_critic_claude_mistral-small-3.1,overall,all,all,0.62,0.56,0.50,0.46,110,57,48,106,53
dspy_agent_critic_claude_mistral-small-3.1,macro_avg,rigidity,all,0.73,0.50,0.46,0.46,22,13,9,35,9
dspy_agent_critic_claude_mistral-small-3.1,per_class,rigidity,+R,0.64,0.89,0.53,0.67,15,8,1,6,7
dspy_agent_critic_claude_mistral-small-3.1,per_class,rigidity,-R,0.73,0.00,0.00,0.00,1,0,5,16,1
dspy_agent_critic_claude_mistral-small-3.1,per_class,rigidity,~R,0.82,0.62,0.83,0.71,6,5,3,13,1
dspy_agent_critic_claude_mistral-small-3.1,macro_avg,identity,all,0.52,0.59,0.54,0.44,22,10,9,13,12
dspy_agent_critic_claude_mistral-small-3.1,per_class,identity,+I,0.50,1.00,0.42,0.59,19,8,0,3,11
dspy_agent_critic_claude_mistral-small-3.1,per_class,identity,-I,0.55,0.18,0.67,0.29,3,2,9,10,1
dspy_agent_critic_claude_mistral-small-3.1,macro_avg,own_identity,all,0.57,0.74,0.60,0.54,22,12,9,13,10
dspy_agent_critic_claude_mistral-small-3.1,per_class,own_identity,+O,0.59,1.00,0.31,0.47,13,4,0,9,9
dspy_agent_critic_claude_mistral-small-3.1,per_class,own_identity,-O,0.55,0.47,0.89,0.62,9,8,9,4,1
dspy_agent_critic_claude_mistral-small-3.1,macro_avg,unity,all,0.55,0.36,0.32,0.25,22,7,15,29,15
dspy_agent_critic_claude_mistral-small-3.1,per_class,unity,+U,0.68,1.00,0.46,0.63,13,6,0,9,7
dspy_agent_critic_claude_mistral-small-3.1,per_class,unity,-U,0.59,0.00,0.00,0.00,7,0,2,13,7
dspy_agent_critic_claude_mistral-small-3.1,per_class,unity,~U,0.36,0.07,0.50,0.12,2,1,13,7,1
dspy_agent_critic_claude_mistral-small-3.1,macro_avg,dependence,all,0.70,0.61,0.58,0.59,22,15,6,16,7
dspy_agent_critic_claude_mistral-small-3.1,per_class,dependence,+D,0.73,0.40,0.40,0.40,5,2,3,14,3
dspy_agent_critic_claude_mistral-small-3.1,per_class,dependence,-D,0.68,0.81,0.76,0.79,17,13,3,2,4
