agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_critic_claude_qwen72b,overall,all,all,0.70,0.62,0.62,0.56,110,69,39,115,41
dspy_agent_critic_claude_qwen72b,macro_avg,rigidity,all,0.70,0.63,0.71,0.52,22,12,10,34,10
dspy_agent_critic_claude_qwen72b,per_class,rigidity,+R,0.64,1.00,0.47,0.64,15,7,0,7,8
dspy_agent_critic_claude_qwen72b,per_class,rigidity,-R,0.59,0.10,1.00,0.18,1,1,9,12,0
dspy_agent_critic_claude_qwen72b,per_class,rigidity,~R,0.86,0.80,0.67,0.73,6,4,1,15,2
dspy_agent_critic_claude_qwen72b,macro_avg,identity,all,0.68,0.62,0.65,0.57,22,14,6,16,8
dspy_agent_critic_claude_qwen72b,per_class,identity,+I,0.68,1.00,0.63,0.77,19,12,0,3,7
dspy_agent_critic_claude_qwen72b,per_class,identity,-I,0.68,0.25,0.67,0.36,3,2,6,13,1
dspy_agent_critic_claude_qwen72b,macro_avg,own_identity,all,0.73,0.80,0.77,0.72,22,16,6,16,6
dspy_agent_critic_claude_qwen72b,per_class,own_identity,+O,0.73,1.00,0.54,0.70,13,7,0,9,6
dspy_agent_critic_claude_qwen72b,per_class,own_identity,-O,0.73,0.60,1.00,0.75,9,9,6,7,0
dspy_agent_critic_claude_qwen72b,macro_avg,unity,all,0.67,0.45,0.37,0.38,22,11,11,33,11
dspy_agent_critic_claude_qwen72b,per_class,unity,+U,0.73,1.00,0.54,0.70,13,7,0,9,6
dspy_agent_critic_claude_qwen72b,per_class,unity,-U,0.55,0.36,0.57,0.44,7,4,7,8,3
dspy_agent_critic_claude_qwen72b,per_class,unity,~U,0.73,0.00,0.00,0.00,2,0,4,16,2
dspy_agent_critic_claude_qwen72b,macro_avg,dependence,all,0.73,0.61,0.61,0.61,22,16,6,16,6
dspy_agent_critic_claude_qwen72b,per_class,dependence,+D,0.73,0.40,0.40,0.40,5,2,3,14,3
dspy_agent_critic_claude_qwen72b,per_class,dependence,-D,0.73,0.82,0.82,0.82,17,14,3,2,3
