agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_critic_gemini_gemma9b,overall,all,all,0.69,0.61,0.59,0.55,110,67,38,116,43
dspy_agent_critic_gemini_gemma9b,macro_avg,rigidity,all,0.80,0.68,0.74,0.60,22,15,6,38,7
dspy_agent_critic_gemini_gemma9b,per_class,rigidity,+R,0.73,0.85,0.73,0.79,15,11,2,5,4
dspy_agent_critic_gemini_gemma9b,per_class,rigidity,-R,0.82,0.20,1.00,0.33,1,1,4,17,0
dspy_agent_critic_gemini_gemma9b,per_class,rigidity,~R,0.86,1.00,0.50,0.67,6,3,0,16,3
dspy_agent_critic_gemini_gemma9b,macro_avg,identity,all,0.66,0.59,0.65,0.56,22,14,7,15,8
dspy_agent_critic_gemini_gemma9b,per_class,identity,+I,0.64,0.92,0.63,0.75,19,12,1,2,7
dspy_agent_critic_gemini_gemma9b,per_class,identity,-I,0.68,0.25,0.67,0.36,3,2,6,13,1
dspy_agent_critic_gemini_gemma9b,macro_avg,own_identity,all,0.64,0.70,0.68,0.63,22,14,8,14,8
dspy_agent_critic_gemini_gemma9b,per_class,own_identity,+O,0.64,0.86,0.46,0.60,13,6,1,8,7
dspy_agent_critic_gemini_gemma9b,per_class,own_identity,-O,0.64,0.53,0.89,0.67,9,8,7,6,1
dspy_agent_critic_gemini_gemma9b,macro_avg,unity,all,0.61,0.35,0.27,0.31,22,9,13,31,13
dspy_agent_critic_gemini_gemma9b,per_class,unity,+U,0.64,0.78,0.54,0.64,13,7,2,7,6
dspy_agent_critic_gemini_gemma9b,per_class,unity,-U,0.55,0.29,0.29,0.29,7,2,5,10,5
dspy_agent_critic_gemini_gemma9b,per_class,unity,~U,0.64,0.00,0.00,0.00,2,0,6,14,2
dspy_agent_critic_gemini_gemma9b,macro_avg,dependence,all,0.75,0.74,0.58,0.64,22,15,4,18,7
dspy_agent_critic_gemini_gemma9b,per_class,dependence,+D,0.82,0.67,0.40,0.50,5,2,1,16,3
dspy_agent_critic_gemini_gemma9b,per_class,dependence,-D,0.68,0.81,0.76,0.79,17,13,3,2,4
