agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_critic_gemini_llama70b,overall,all,all,0.74,0.61,0.66,0.59,110,76,34,120,34
dspy_agent_critic_gemini_llama70b,macro_avg,rigidity,all,0.76,0.62,0.79,0.57,22,14,8,36,8
dspy_agent_critic_gemini_llama70b,per_class,rigidity,+R,0.68,1.00,0.53,0.70,15,8,0,7,7
dspy_agent_critic_gemini_llama70b,per_class,rigidity,-R,0.73,0.14,1.00,0.25,1,1,6,15,0
dspy_agent_critic_gemini_llama70b,per_class,rigidity,~R,0.86,0.71,0.83,0.77,6,5,2,14,1
dspy_agent_critic_gemini_llama70b,macro_avg,identity,all,0.73,0.61,0.70,0.61,22,16,6,16,6
dspy_agent_critic_gemini_llama70b,per_class,identity,+I,0.73,0.93,0.74,0.82,19,14,1,2,5
dspy_agent_critic_gemini_llama70b,per_class,identity,-I,0.73,0.29,0.67,0.40,3,2,5,14,1
dspy_agent_critic_gemini_llama70b,macro_avg,own_identity,all,0.73,0.80,0.77,0.72,22,16,6,16,6
dspy_agent_critic_gemini_llama70b,per_class,own_identity,+O,0.73,1.00,0.54,0.70,13,7,0,9,6
dspy_agent_critic_gemini_llama70b,per_class,own_identity,-O,0.73,0.60,1.00,0.75,9,9,6,7,0
dspy_agent_critic_gemini_llama70b,macro_avg,unity,all,0.76,0.42,0.42,0.42,22,14,8,36,8
dspy_agent_critic_gemini_llama70b,per_class,unity,+U,0.82,0.85,0.85,0.85,13,11,2,7,2
dspy_agent_critic_gemini_llama70b,per_class,unity,-U,0.64,0.43,0.43,0.43,7,3,4,11,4
dspy_agent_critic_gemini_llama70b,per_class,unity,~U,0.82,0.00,0.00,0.00,2,0,2,18,2
dspy_agent_critic_gemini_llama70b,macro_avg,dependence,all,0.73,0.61,0.61,0.61,22,16,6,16,6
dspy_agent_critic_gemini_llama70b,per_class,dependence,+D,0.73,0.40,0.40,0.40,5,2,3,14,3
dspy_agent_critic_gemini_llama70b,per_class,dependence,-D,0.73,0.82,0.82,0.82,17,14,3,2,3
