agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_critic_gemini_mistral-small-3.1,overall,all,all,0.72,0.60,0.64,0.58,110,72,35,119,38
dspy_agent_critic_gemini_mistral-small-3.1,macro_avg,rigidity,all,0.79,0.56,0.74,0.57,22,15,7,37,7
dspy_agent_critic_gemini_mistral-small-3.1,per_class,rigidity,+R,0.77,0.92,0.73,0.81,15,11,1,6,4
dspy_agent_critic_gemini_mistral-small-3.1,per_class,rigidity,-R,0.86,0.25,1.00,0.40,1,1,3,18,0
dspy_agent_critic_gemini_mistral-small-3.1,per_class,rigidity,~R,0.73,0.50,0.50,0.50,6,3,3,13,3
dspy_agent_critic_gemini_mistral-small-3.1,macro_avg,identity,all,0.64,0.57,0.65,0.54,22,14,8,14,8
dspy_agent_critic_gemini_mistral-small-3.1,per_class,identity,+I,0.64,0.92,0.63,0.75,19,12,1,2,7
dspy_agent_critic_gemini_mistral-small-3.1,per_class,identity,-I,0.64,0.22,0.67,0.33,3,2,7,12,1
dspy_agent_critic_gemini_mistral-small-3.1,macro_avg,own_identity,all,0.73,0.77,0.71,0.71,22,15,5,17,7
dspy_agent_critic_gemini_mistral-small-3.1,per_class,own_identity,+O,0.68,0.88,0.54,0.67,13,7,1,8,6
dspy_agent_critic_gemini_mistral-small-3.1,per_class,own_identity,-O,0.77,0.67,0.89,0.76,9,8,4,9,1
dspy_agent_critic_gemini_mistral-small-3.1,macro_avg,unity,all,0.70,0.43,0.42,0.40,22,12,10,34,10
dspy_agent_critic_gemini_mistral-small-3.1,per_class,unity,+U,0.68,0.88,0.54,0.67,13,7,1,8,6
dspy_agent_critic_gemini_mistral-small-3.1,per_class,unity,-U,0.59,0.42,0.71,0.53,7,5,7,8,2
dspy_agent_critic_gemini_mistral-small-3.1,per_class,unity,~U,0.82,0.00,0.00,0.00,2,0,2,18,2
dspy_agent_critic_gemini_mistral-small-3.1,macro_avg,dependence,all,0.75,0.68,0.68,0.68,22,16,5,17,6
dspy_agent_critic_gemini_mistral-small-3.1,per_class,dependence,+D,0.77,0.50,0.60,0.55,5,3,3,14,2
dspy_agent_critic_gemini_mistral-small-3.1,per_class,dependence,-D,0.73,0.87,0.76,0.81,17,13,2,3,4
