agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_gemini_llama70b,overall,all,all,0.76,0.63,0.66,0.60,110,78,32,122,32
dspy_agent_gemini_llama70b,macro_avg,rigidity,all,0.76,0.68,0.72,0.55,22,14,8,36,8
dspy_agent_gemini_llama70b,per_class,rigidity,+R,0.73,0.91,0.67,0.77,15,10,1,6,5
dspy_agent_gemini_llama70b,per_class,rigidity,-R,0.68,0.12,1.00,0.22,1,1,7,14,0
dspy_agent_gemini_llama70b,per_class,rigidity,~R,0.86,1.00,0.50,0.67,6,3,0,16,3
dspy_agent_gemini_llama70b,macro_avg,identity,all,0.77,0.64,0.73,0.65,22,17,5,17,5
dspy_agent_gemini_llama70b,per_class,identity,+I,0.77,0.94,0.79,0.86,19,15,1,2,4
dspy_agent_gemini_llama70b,per_class,identity,-I,0.77,0.33,0.67,0.44,3,2,4,15,1
dspy_agent_gemini_llama70b,macro_avg,own_identity,all,0.68,0.72,0.71,0.68,22,15,7,15,7
dspy_agent_gemini_llama70b,per_class,own_identity,+O,0.68,0.88,0.54,0.67,13,7,1,8,6
dspy_agent_gemini_llama70b,per_class,own_identity,-O,0.68,0.57,0.89,0.70,9,8,6,7,1
dspy_agent_gemini_llama70b,macro_avg,unity,all,0.82,0.49,0.48,0.48,22,16,6,38,6
dspy_agent_gemini_llama70b,per_class,unity,+U,0.91,0.87,1.00,0.93,13,13,2,7,0
dspy_agent_gemini_llama70b,per_class,unity,-U,0.73,0.60,0.43,0.50,7,3,2,13,4
dspy_agent_gemini_llama70b,per_class,unity,~U,0.82,0.00,0.00,0.00,2,0,2,18,2
dspy_agent_gemini_llama70b,macro_avg,dependence,all,0.73,0.65,0.68,0.66,22,16,6,16,6
dspy_agent_gemini_llama70b,per_class,dependence,+D,0.73,0.43,0.60,0.50,5,3,4,13,2
dspy_agent_gemini_llama70b,per_class,dependence,-D,0.73,0.87,0.76,0.81,17,13,2,3,4
