agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_gemini_qwen7b,overall,all,all,0.69,0.60,0.40,0.42,110,53,26,128,57
dspy_agent_gemini_qwen7b,macro_avg,rigidity,all,0.61,0.50,0.19,0.21,22,4,8,36,18
dspy_agent_gemini_qwen7b,per_class,rigidity,+R,0.36,1.00,0.07,0.12,15,1,0,7,14
dspy_agent_gemini_qwen7b,per_class,rigidity,-R,0.73,0.00,0.00,0.00,1,0,5,16,1
dspy_agent_gemini_qwen7b,per_class,rigidity,~R,0.73,0.50,0.50,0.50,6,3,3,13,3
dspy_agent_gemini_qwen7b,macro_avg,identity,all,0.77,0.61,0.56,0.58,22,16,4,18,6
dspy_agent_gemini_qwen7b,per_class,identity,+I,0.73,0.88,0.79,0.83,19,15,2,1,4
dspy_agent_gemini_qwen7b,per_class,identity,-I,0.82,0.33,0.33,0.33,3,1,2,17,2
dspy_agent_gemini_qwen7b,macro_avg,own_identity,all,0.57,0.57,0.43,0.42,22,8,5,17,14
dspy_agent_gemini_qwen7b,per_class,own_identity,+O,0.41,0.50,0.08,0.13,13,1,1,8,12
dspy_agent_gemini_qwen7b,per_class,own_identity,-O,0.73,0.64,0.78,0.70,9,7,4,9,2
dspy_agent_gemini_qwen7b,macro_avg,unity,all,0.80,0.43,0.45,0.44,22,15,6,38,7
dspy_agent_gemini_qwen7b,per_class,unity,+U,0.82,0.80,0.92,0.86,13,12,3,6,1
dspy_agent_gemini_qwen7b,per_class,unity,-U,0.68,0.50,0.43,0.46,7,3,3,12,4
dspy_agent_gemini_qwen7b,per_class,unity,~U,0.91,0.00,0.00,0.00,2,0,0,20,2
dspy_agent_gemini_qwen7b,macro_avg,dependence,all,0.66,0.88,0.36,0.48,22,10,3,19,12
dspy_agent_gemini_qwen7b,per_class,dependence,+D,0.82,1.00,0.20,0.33,5,1,0,17,4
dspy_agent_gemini_qwen7b,per_class,dependence,-D,0.50,0.75,0.53,0.62,17,9,3,2,8
