agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_gemini_gemma9b,overall,all,all,0.70,0.64,0.63,0.59,110,69,38,116,41
dspy_agent_gemini_gemma9b,macro_avg,rigidity,all,0.73,0.64,0.73,0.54,22,13,9,35,9
dspy_agent_gemini_gemma9b,per_class,rigidity,+R,0.68,1.00,0.53,0.70,15,8,0,7,7
dspy_agent_gemini_gemma9b,per_class,rigidity,-R,0.64,0.11,1.00,0.20,1,1,8,13,0
dspy_agent_gemini_gemma9b,per_class,rigidity,~R,0.86,0.80,0.67,0.73,6,4,1,15,2
dspy_agent_gemini_gemma9b,macro_avg,identity,all,0.64,0.57,0.65,0.54,22,14,8,14,8
dspy_agent_gemini_gemma9b,per_class,identity,+I,0.64,0.92,0.63,0.75,19,12,1,2,7
dspy_agent_gemini_gemma9b,per_class,identity,-I,0.64,0.22,0.67,0.33,3,2,7,12,1
dspy_agent_gemini_gemma9b,macro_avg,own_identity,all,0.64,0.66,0.66,0.64,22,14,8,14,8
dspy_agent_gemini_gemma9b,per_class,own_identity,+O,0.64,0.78,0.54,0.64,13,7,2,7,6
dspy_agent_gemini_gemma9b,per_class,own_identity,-O,0.64,0.54,0.78,0.64,9,7,6,7,2
dspy_agent_gemini_gemma9b,macro_avg,unity,all,0.64,0.38,0.30,0.33,22,10,12,32,12
dspy_agent_gemini_gemma9b,per_class,unity,+U,0.68,0.80,0.62,0.70,13,8,2,7,5
dspy_agent_gemini_gemma9b,per_class,unity,-U,0.59,0.33,0.29,0.31,7,2,4,11,5
dspy_agent_gemini_gemma9b,per_class,unity,~U,0.64,0.00,0.00,0.00,2,0,6,14,2
dspy_agent_gemini_gemma9b,macro_avg,dependence,all,0.89,0.97,0.81,0.88,22,18,1,21,4
dspy_agent_gemini_gemma9b,per_class,dependence,+D,0.95,1.00,0.80,0.89,5,4,0,17,1
dspy_agent_gemini_gemma9b,per_class,dependence,-D,0.82,0.93,0.82,0.87,17,14,1,4,3
