agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_gemini_llama3b,overall,all,all,0.61,0.50,0.57,0.46,110,58,51,103,52
dspy_agent_gemini_llama3b,macro_avg,rigidity,all,0.61,0.56,0.61,0.41,22,9,13,31,13
dspy_agent_gemini_llama3b,per_class,rigidity,+R,0.50,0.83,0.33,0.48,15,5,1,6,10
dspy_agent_gemini_llama3b,per_class,rigidity,-R,0.50,0.08,1.00,0.15,1,1,11,10,0
dspy_agent_gemini_llama3b,per_class,rigidity,~R,0.82,0.75,0.50,0.60,6,3,1,15,3
dspy_agent_gemini_llama3b,macro_avg,identity,all,0.55,0.55,0.60,0.48,22,12,10,12,10
dspy_agent_gemini_llama3b,per_class,identity,+I,0.55,0.91,0.53,0.67,19,10,1,2,9
dspy_agent_gemini_llama3b,per_class,identity,-I,0.55,0.18,0.67,0.29,3,2,9,10,1
dspy_agent_gemini_llama3b,macro_avg,own_identity,all,0.43,0.46,0.43,0.42,22,9,12,10,13
dspy_agent_gemini_llama3b,per_class,own_identity,+O,0.45,0.57,0.31,0.40,13,4,3,6,9
dspy_agent_gemini_llama3b,per_class,own_identity,-O,0.41,0.36,0.56,0.43,9,5,9,4,4
dspy_agent_gemini_llama3b,macro_avg,unity,all,0.73,0.36,0.62,0.42,22,13,9,35,9
dspy_agent_gemini_llama3b,per_class,unity,+U,0.77,0.79,0.85,0.81,13,11,3,6,2
dspy_agent_gemini_llama3b,per_class,unity,-U,0.64,0.00,0.00,0.00,7,0,1,14,7
dspy_agent_gemini_llama3b,per_class,unity,~U,0.77,0.29,1.00,0.44,2,2,5,15,0
dspy_agent_gemini_llama3b,macro_avg,dependence,all,0.68,0.57,0.58,0.58,22,15,7,15,7
dspy_agent_gemini_llama3b,per_class,dependence,+D,0.68,0.33,0.40,0.36,5,2,4,13,3
dspy_agent_gemini_llama3b,per_class,dependence,-D,0.68,0.81,0.76,0.79,17,13,3,2,4
