agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_gemini_mistral-small-3.1,overall,all,all,0.71,0.61,0.63,0.57,110,72,38,116,38
dspy_agent_gemini_mistral-small-3.1,macro_avg,rigidity,all,0.79,0.67,0.71,0.54,22,15,7,37,7
dspy_agent_gemini_mistral-small-3.1,per_class,rigidity,+R,0.77,0.86,0.80,0.83,15,12,2,5,3
dspy_agent_gemini_mistral-small-3.1,per_class,rigidity,-R,0.77,0.17,1.00,0.29,1,1,5,16,0
dspy_agent_gemini_mistral-small-3.1,per_class,rigidity,~R,0.82,1.00,0.33,0.50,6,2,0,16,4
dspy_agent_gemini_mistral-small-3.1,macro_avg,identity,all,0.64,0.57,0.65,0.54,22,14,8,14,8
dspy_agent_gemini_mistral-small-3.1,per_class,identity,+I,0.64,0.92,0.63,0.75,19,12,1,2,7
dspy_agent_gemini_mistral-small-3.1,per_class,identity,-I,0.64,0.22,0.67,0.33,3,2,7,12,1
dspy_agent_gemini_mistral-small-3.1,macro_avg,own_identity,all,0.68,0.72,0.71,0.68,22,15,7,15,7
dspy_agent_gemini_mistral-small-3.1,per_class,own_identity,+O,0.68,0.88,0.54,0.67,13,7,1,8,6
dspy_agent_gemini_mistral-small-3.1,per_class,own_identity,-O,0.68,0.57,0.89,0.70,9,8,6,7,1
dspy_agent_gemini_mistral-small-3.1,macro_avg,unity,all,0.67,0.41,0.37,0.37,22,11,11,33,11
dspy_agent_gemini_mistral-small-3.1,per_class,unity,+U,0.68,0.88,0.54,0.67,13,7,1,8,6
dspy_agent_gemini_mistral-small-3.1,per_class,unity,-U,0.55,0.36,0.57,0.44,7,4,7,8,3
dspy_agent_gemini_mistral-small-3.1,per_class,unity,~U,0.77,0.00,0.00,0.00,2,0,3,17,2
dspy_agent_gemini_mistral-small-3.1,macro_avg,dependence,all,0.77,0.69,0.71,0.70,22,17,5,17,5
dspy_agent_gemini_mistral-small-3.1,per_class,dependence,+D,0.77,0.50,0.60,0.55,5,3,3,14,2
dspy_agent_gemini_mistral-small-3.1,per_class,dependence,-D,0.77,0.88,0.82,0.85,17,14,2,3,3
