agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_gemini_mistral7b,overall,all,all,0.69,0.57,0.58,0.52,110,67,39,115,43
dspy_agent_gemini_mistral7b,macro_avg,rigidity,all,0.76,0.60,0.79,0.59,22,14,8,36,8
dspy_agent_gemini_mistral7b,per_class,rigidity,+R,0.68,1.00,0.53,0.70,15,8,0,7,7
dspy_agent_gemini_mistral7b,per_class,rigidity,-R,0.91,0.33,1.00,0.50,1,1,2,19,0
dspy_agent_gemini_mistral7b,per_class,rigidity,~R,0.68,0.45,0.83,0.59,6,5,6,10,1
dspy_agent_gemini_mistral7b,macro_avg,identity,all,0.64,0.50,0.51,0.48,22,14,8,14,8
dspy_agent_gemini_mistral7b,per_class,identity,+I,0.64,0.87,0.68,0.76,19,13,2,1,6
dspy_agent_gemini_mistral7b,per_class,identity,-I,0.64,0.14,0.33,0.20,3,1,6,13,2
dspy_agent_gemini_mistral7b,macro_avg,own_identity,all,0.55,0.64,0.60,0.53,22,12,10,12,10
dspy_agent_gemini_mistral7b,per_class,own_identity,+O,0.55,0.80,0.31,0.44,13,4,1,8,9
dspy_agent_gemini_mistral7b,per_class,own_identity,-O,0.55,0.47,0.89,0.62,9,8,9,4,1
dspy_agent_gemini_mistral7b,macro_avg,unity,all,0.79,0.49,0.40,0.42,22,14,6,38,8
dspy_agent_gemini_mistral7b,per_class,unity,+U,0.82,0.80,0.92,0.86,13,12,3,6,1
dspy_agent_gemini_mistral7b,per_class,unity,-U,0.73,0.67,0.29,0.40,7,2,1,14,5
dspy_agent_gemini_mistral7b,per_class,unity,~U,0.82,0.00,0.00,0.00,2,0,2,18,2
dspy_agent_gemini_mistral7b,macro_avg,dependence,all,0.64,0.60,0.59,0.58,22,13,7,15,9
dspy_agent_gemini_mistral7b,per_class,dependence,+D,0.68,0.38,0.60,0.46,5,3,5,12,2
dspy_agent_gemini_mistral7b,per_class,dependence,-D,0.59,0.83,0.59,0.69,17,10,2,3,7
