agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_gemini_qwen72b,overall,all,all,0.74,0.61,0.62,0.57,110,76,34,120,34
dspy_agent_gemini_qwen72b,macro_avg,rigidity,all,0.76,0.70,0.72,0.56,22,14,8,36,8
dspy_agent_gemini_qwen72b,per_class,rigidity,+R,0.77,1.00,0.67,0.80,15,10,0,7,5
dspy_agent_gemini_qwen72b,per_class,rigidity,-R,0.64,0.11,1.00,0.20,1,1,8,13,0
dspy_agent_gemini_qwen72b,per_class,rigidity,~R,0.86,1.00,0.50,0.67,6,3,0,16,3
dspy_agent_gemini_qwen72b,macro_avg,identity,all,0.73,0.54,0.56,0.54,22,16,6,16,6
dspy_agent_gemini_qwen72b,per_class,identity,+I,0.73,0.88,0.79,0.83,19,15,2,1,4
dspy_agent_gemini_qwen72b,per_class,identity,-I,0.73,0.20,0.33,0.25,3,1,4,15,2
dspy_agent_gemini_qwen72b,macro_avg,own_identity,all,0.68,0.69,0.70,0.68,22,15,7,15,7
dspy_agent_gemini_qwen72b,per_class,own_identity,+O,0.68,0.80,0.62,0.70,13,8,2,7,5
dspy_agent_gemini_qwen72b,per_class,own_identity,-O,0.68,0.58,0.78,0.67,9,7,5,8,2
dspy_agent_gemini_qwen72b,macro_avg,unity,all,0.82,0.49,0.48,0.48,22,16,6,38,6
dspy_agent_gemini_qwen72b,per_class,unity,+U,0.91,0.87,1.00,0.93,13,13,2,7,0
dspy_agent_gemini_qwen72b,per_class,unity,-U,0.73,0.60,0.43,0.50,7,3,2,13,4
dspy_agent_gemini_qwen72b,per_class,unity,~U,0.82,0.00,0.00,0.00,2,0,2,18,2
dspy_agent_gemini_qwen72b,macro_avg,dependence,all,0.68,0.62,0.65,0.62,22,15,7,15,7
dspy_agent_gemini_qwen72b,per_class,dependence,+D,0.68,0.38,0.60,0.46,5,3,5,12,2
dspy_agent_gemini_qwen72b,per_class,dependence,-D,0.68,0.86,0.71,0.77,17,12,2,3,5
