agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_BootstrapFewShotWithRandomSearch_gemma9b,overall,all,all,0.67,0.48,0.49,0.45,110,63,38,109,47
claude_BootstrapFewShotWithRandomSearch_gemma9b,macro_avg,rigidity,all,0.62,0.32,0.51,0.31,22,9,11,31,13
claude_BootstrapFewShotWithRandomSearch_gemma9b,per_class,rigidity,+R,0.59,0.8,0.53,0.64,15,8,2,5,7
claude_BootstrapFewShotWithRandomSearch_gemma9b,per_class,rigidity,~R,0.52,0.0,0.0,0.0,6,0,4,11,6
claude_BootstrapFewShotWithRandomSearch_gemma9b,per_class,rigidity,-R,0.76,0.17,1.0,0.29,1,1,5,15,0
claude_BootstrapFewShotWithRandomSearch_gemma9b,macro_avg,identity,all,0.84,0.64,0.61,0.63,22,18,3,18,4
claude_BootstrapFewShotWithRandomSearch_gemma9b,per_class,identity,+I,0.86,0.94,0.89,0.92,19,17,1,1,2
claude_BootstrapFewShotWithRandomSearch_gemma9b,per_class,identity,-I,0.82,0.33,0.33,0.33,3,1,2,17,2
claude_BootstrapFewShotWithRandomSearch_gemma9b,macro_avg,own_identity,all,0.49,0.55,0.47,0.48,22,10,10,11,12
claude_BootstrapFewShotWithRandomSearch_gemma9b,per_class,own_identity,+O,0.52,0.71,0.38,0.5,13,5,2,6,8
claude_BootstrapFewShotWithRandomSearch_gemma9b,per_class,own_identity,-O,0.45,0.38,0.56,0.45,9,5,8,5,4
claude_BootstrapFewShotWithRandomSearch_gemma9b,macro_avg,unity,all,0.77,0.53,0.52,0.47,22,14,7,35,8
claude_BootstrapFewShotWithRandomSearch_gemma9b,per_class,unity,+U,0.9,0.92,0.92,0.92,13,12,1,7,1
claude_BootstrapFewShotWithRandomSearch_gemma9b,per_class,unity,-U,0.68,0.5,0.14,0.22,7,1,1,14,6
claude_BootstrapFewShotWithRandomSearch_gemma9b,per_class,unity,~U,0.71,0.17,0.5,0.25,2,1,5,14,1
claude_BootstrapFewShotWithRandomSearch_gemma9b,macro_avg,dependence,all,0.6,0.35,0.35,0.35,22,12,7,14,10
claude_BootstrapFewShotWithRandomSearch_gemma9b,per_class,dependence,-D,0.55,0.71,0.71,0.71,17,12,5,0,5
claude_BootstrapFewShotWithRandomSearch_gemma9b,per_class,dependence,+D,0.67,0.0,0.0,0.0,5,0,2,14,5
