agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,overall,all,all,0.72,0.58,0.59,0.54,110,72,37,117,38
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,macro_avg,rigidity,all,0.61,0.42,0.58,0.36,22,9,13,31,13
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,per_class,rigidity,-R,0.64,0.11,1.0,0.2,1,1,8,13,0
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,per_class,rigidity,+R,0.5,0.75,0.4,0.52,15,6,2,5,9
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,per_class,rigidity,~R,0.68,0.4,0.33,0.36,6,2,3,13,4
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,macro_avg,identity,all,0.86,0.7,0.64,0.66,22,19,3,19,3
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,per_class,identity,+I,0.86,0.9,0.95,0.92,19,18,2,1,1
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,per_class,identity,-I,0.86,0.5,0.33,0.4,3,1,1,18,2
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,macro_avg,own_identity,all,0.5,0.55,0.54,0.49,22,11,11,11,11
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,per_class,own_identity,-O,0.5,0.44,0.78,0.56,9,7,9,4,2
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,per_class,own_identity,+O,0.5,0.67,0.31,0.42,13,4,2,7,9
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,macro_avg,unity,all,0.86,0.62,0.57,0.59,22,17,4,40,5
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,per_class,unity,+U,0.82,0.85,0.85,0.85,13,11,2,7,2
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,per_class,unity,~U,0.82,0.0,0.0,0.0,2,0,2,18,2
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,per_class,unity,-U,0.95,1.0,0.86,0.92,7,6,0,15,1
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,macro_avg,dependence,all,0.73,0.61,0.61,0.61,22,16,6,16,6
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,per_class,dependence,+D,0.73,0.4,0.4,0.4,5,2,3,14,3
dspy_claude_BootstrapFewShotWithRandomSearch_llama8b,per_class,dependence,-D,0.73,0.82,0.82,0.82,17,14,3,2,3
