agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,overall,all,all,0.68,0.52,0.51,0.47,110,68,42,112,42
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,macro_avg,rigidity,all,0.67,0.64,0.59,0.39,22,11,11,33,11
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,per_class,rigidity,~R,0.77,1.0,0.17,0.29,6,1,0,16,5
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,per_class,rigidity,+R,0.64,0.82,0.6,0.69,15,9,2,5,6
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,per_class,rigidity,-R,0.59,0.1,1.0,0.18,1,1,9,12,0
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,macro_avg,identity,all,0.68,0.42,0.39,0.41,22,15,7,15,7
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,per_class,identity,+I,0.68,0.83,0.79,0.81,19,15,3,0,4
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,per_class,identity,-I,0.68,0.0,0.0,0.0,3,0,4,15,3
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,macro_avg,own_identity,all,0.5,0.49,0.49,0.49,22,11,11,11,11
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,per_class,own_identity,-O,0.5,0.4,0.44,0.42,9,4,6,7,5
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,per_class,own_identity,+O,0.5,0.58,0.54,0.56,13,7,5,4,6
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,macro_avg,unity,all,0.82,0.49,0.5,0.49,22,16,6,38,6
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,per_class,unity,~U,0.86,0.0,0.0,0.0,2,0,1,19,2
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,per_class,unity,+U,0.82,0.8,0.92,0.86,13,12,3,6,1
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,per_class,unity,-U,0.77,0.67,0.57,0.62,7,4,2,13,3
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,macro_avg,dependence,all,0.68,0.57,0.58,0.58,22,15,7,15,7
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,per_class,dependence,+D,0.68,0.33,0.4,0.36,5,2,4,13,3
dspy_claude_BootstrapFewShotWithRandomSearch_qwen72b,per_class,dependence,-D,0.68,0.81,0.76,0.79,17,13,3,2,4
