agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_qwen7b,overall,all,all,0.74,0.60,0.57,0.52,110,75,34,120,35
dspy_qwen7b,macro_avg,rigidity,all,0.61,0.43,0.54,0.33,22,9,13,31,13
dspy_qwen7b,per_class,rigidity,+R,0.59,0.88,0.47,0.61,15,7,1,6,8
dspy_qwen7b,per_class,rigidity,-R,0.55,0.09,1.00,0.17,1,1,10,11,0
dspy_qwen7b,per_class,rigidity,~R,0.68,0.33,0.17,0.22,6,1,2,14,5
dspy_qwen7b,macro_avg,identity,all,0.91,0.95,0.67,0.73,22,20,2,20,2
dspy_qwen7b,per_class,identity,+I,0.91,0.90,1.00,0.95,19,19,2,1,0
dspy_qwen7b,per_class,identity,-I,0.91,1.00,0.33,0.50,3,1,0,19,2
dspy_qwen7b,macro_avg,own_identity,all,0.68,0.69,0.70,0.68,22,15,7,15,7
dspy_qwen7b,per_class,own_identity,+O,0.68,0.80,0.62,0.70,13,8,2,7,5
dspy_qwen7b,per_class,own_identity,-O,0.68,0.58,0.78,0.67,9,7,5,8,2
dspy_qwen7b,macro_avg,unity,all,0.82,0.56,0.48,0.47,22,16,6,38,6
dspy_qwen7b,per_class,unity,+U,0.73,0.68,1.00,0.81,13,13,6,3,0
dspy_qwen7b,per_class,unity,-U,0.82,1.00,0.43,0.60,7,3,0,15,4
dspy_qwen7b,per_class,unity,~U,0.91,0.00,0.00,0.00,2,0,0,20,2
dspy_qwen7b,macro_avg,dependence,all,0.70,0.38,0.44,0.41,22,15,6,16,7
dspy_qwen7b,per_class,dependence,+D,0.73,0.00,0.00,0.00,5,0,1,16,5
dspy_qwen7b,per_class,dependence,-D,0.68,0.75,0.88,0.81,17,15,5,0,2
