agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_claude_BootstrapFewShot_gemma9b,overall,all,all,0.65,0.5,0.55,0.48,110,63,45,109,47
dspy_claude_BootstrapFewShot_gemma9b,macro_avg,rigidity,all,0.59,0.3,0.49,0.26,22,8,13,31,14
dspy_claude_BootstrapFewShot_gemma9b,per_class,rigidity,~R,0.59,0.0,0.0,0.0,6,0,3,13,6
dspy_claude_BootstrapFewShot_gemma9b,per_class,rigidity,-R,0.64,0.11,1.0,0.2,1,1,8,13,0
dspy_claude_BootstrapFewShot_gemma9b,per_class,rigidity,+R,0.55,0.78,0.47,0.58,15,7,2,5,8
dspy_claude_BootstrapFewShot_gemma9b,macro_avg,identity,all,0.73,0.61,0.7,0.61,22,16,6,16,6
dspy_claude_BootstrapFewShot_gemma9b,per_class,identity,-I,0.73,0.29,0.67,0.4,3,2,5,14,1
dspy_claude_BootstrapFewShot_gemma9b,per_class,identity,+I,0.73,0.93,0.74,0.82,19,14,1,2,5
dspy_claude_BootstrapFewShot_gemma9b,macro_avg,own_identity,all,0.5,0.53,0.53,0.5,22,11,11,11,11
dspy_claude_BootstrapFewShot_gemma9b,per_class,own_identity,-O,0.5,0.43,0.67,0.52,9,6,8,5,3
dspy_claude_BootstrapFewShot_gemma9b,per_class,own_identity,+O,0.5,0.62,0.38,0.48,13,5,3,6,8
dspy_claude_BootstrapFewShot_gemma9b,macro_avg,unity,all,0.82,0.62,0.62,0.59,22,16,6,38,6
dspy_claude_BootstrapFewShot_gemma9b,per_class,unity,+U,0.86,0.86,0.92,0.89,13,12,2,7,1
dspy_claude_BootstrapFewShot_gemma9b,per_class,unity,~U,0.82,0.25,0.5,0.33,2,1,3,17,1
dspy_claude_BootstrapFewShot_gemma9b,per_class,unity,-U,0.77,0.75,0.43,0.55,7,3,1,14,4
dspy_claude_BootstrapFewShot_gemma9b,macro_avg,dependence,all,0.57,0.45,0.42,0.43,22,12,9,13,10
dspy_claude_BootstrapFewShot_gemma9b,per_class,dependence,+D,0.59,0.17,0.2,0.18,5,1,5,12,4
dspy_claude_BootstrapFewShot_gemma9b,per_class,dependence,-D,0.55,0.73,0.65,0.69,17,11,4,1,6
