agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_BootstrapFewShot_llama70b,overall,all,all,0.69,0.59,0.58,0.52,110,69,41,113,41
claude_BootstrapFewShot_llama70b,macro_avg,rigidity,all,0.67,0.66,0.62,0.44,22,11,11,33,11
claude_BootstrapFewShot_llama70b,per_class,rigidity,+R,0.64,0.89,0.53,0.67,15,8,1,6,7
claude_BootstrapFewShot_llama70b,per_class,rigidity,~R,0.82,1.0,0.33,0.5,6,2,0,16,4
claude_BootstrapFewShot_llama70b,per_class,rigidity,-R,0.55,0.09,1.0,0.17,1,1,10,11,0
claude_BootstrapFewShot_llama70b,macro_avg,identity,all,0.82,0.61,0.61,0.61,22,18,4,18,4
claude_BootstrapFewShot_llama70b,per_class,identity,-I,0.82,0.33,0.33,0.33,3,1,2,17,2
claude_BootstrapFewShot_llama70b,per_class,identity,+I,0.82,0.89,0.89,0.89,19,17,2,1,2
claude_BootstrapFewShot_llama70b,macro_avg,own_identity,all,0.59,0.67,0.64,0.58,22,13,9,13,9
claude_BootstrapFewShot_llama70b,per_class,own_identity,+O,0.59,0.83,0.38,0.53,13,5,1,8,8
claude_BootstrapFewShot_llama70b,per_class,own_identity,-O,0.59,0.5,0.89,0.64,9,8,8,5,1
claude_BootstrapFewShot_llama70b,macro_avg,unity,all,0.79,0.45,0.45,0.44,22,15,7,37,7
claude_BootstrapFewShot_llama70b,per_class,unity,+U,0.77,0.75,0.92,0.83,13,12,4,5,1
claude_BootstrapFewShot_llama70b,per_class,unity,-U,0.73,0.6,0.43,0.5,7,3,2,13,4
claude_BootstrapFewShot_llama70b,per_class,unity,~U,0.86,0.0,0.0,0.0,2,0,1,19,2
claude_BootstrapFewShot_llama70b,macro_avg,dependence,all,0.55,0.55,0.56,0.51,22,12,10,12,10
claude_BootstrapFewShot_llama70b,per_class,dependence,-D,0.55,0.82,0.53,0.64,17,9,2,3,8
claude_BootstrapFewShot_llama70b,per_class,dependence,+D,0.55,0.27,0.6,0.37,5,3,8,9,2
