agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_claude_mistral7b,overall,all,all,0.67,0.52,0.43,0.45,110,62,39,115,48
dspy_claude_mistral7b,macro_avg,rigidity,all,0.61,0.46,0.23,0.31,22,9,13,31,13
dspy_claude_mistral7b,per_class,rigidity,+R,0.64,0.89,0.53,0.67,15,8,1,6,7
dspy_claude_mistral7b,per_class,rigidity,-R,0.45,0.00,0.00,0.00,1,0,11,10,1
dspy_claude_mistral7b,per_class,rigidity,~R,0.73,0.50,0.17,0.25,6,1,1,15,5
dspy_claude_mistral7b,macro_avg,identity,all,0.59,0.52,0.46,0.45,22,12,8,14,10
dspy_claude_mistral7b,per_class,identity,+I,0.59,0.92,0.58,0.71,19,11,1,2,8
dspy_claude_mistral7b,per_class,identity,-I,0.59,0.12,0.33,0.18,3,1,7,12,2
dspy_claude_mistral7b,macro_avg,own_identity,all,0.59,0.62,0.62,0.59,22,13,9,13,9
dspy_claude_mistral7b,per_class,own_identity,+O,0.59,0.75,0.46,0.57,13,6,2,7,7
dspy_claude_mistral7b,per_class,own_identity,-O,0.59,0.50,0.78,0.61,9,7,7,6,2
dspy_claude_mistral7b,macro_avg,unity,all,0.85,0.57,0.52,0.52,22,17,5,39,5
dspy_claude_mistral7b,per_class,unity,+U,0.77,0.72,1.00,0.84,13,13,5,4,0
dspy_claude_mistral7b,per_class,unity,-U,0.86,1.00,0.57,0.73,7,4,0,15,3
dspy_claude_mistral7b,per_class,unity,~U,0.91,0.00,0.00,0.00,2,0,0,20,2
dspy_claude_mistral7b,macro_avg,dependence,all,0.66,0.42,0.32,0.37,22,11,4,18,11
dspy_claude_mistral7b,per_class,dependence,+D,0.68,0.00,0.00,0.00,5,0,2,15,5
dspy_claude_mistral7b,per_class,dependence,-D,0.64,0.85,0.65,0.73,17,11,2,3,6
