agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_BootstrapFewShot_qwen72b,overall,all,all,0.73,0.57,0.51,0.53,110,74,35,119,36
claude_BootstrapFewShot_qwen72b,macro_avg,rigidity,all,0.7,0.53,0.33,0.4,22,12,10,34,10
claude_BootstrapFewShot_qwen72b,per_class,rigidity,+R,0.73,0.91,0.67,0.77,15,10,1,6,5
claude_BootstrapFewShot_qwen72b,per_class,rigidity,-R,0.59,0.0,0.0,0.0,1,0,8,13,1
claude_BootstrapFewShot_qwen72b,per_class,rigidity,~R,0.77,0.67,0.33,0.44,6,2,1,15,4
claude_BootstrapFewShot_qwen72b,macro_avg,identity,all,0.82,0.61,0.61,0.61,22,18,4,18,4
claude_BootstrapFewShot_qwen72b,per_class,identity,-I,0.82,0.33,0.33,0.33,3,1,2,17,2
claude_BootstrapFewShot_qwen72b,per_class,identity,+I,0.82,0.89,0.89,0.89,19,17,2,1,2
claude_BootstrapFewShot_qwen72b,macro_avg,own_identity,all,0.68,0.69,0.7,0.68,22,15,7,15,7
claude_BootstrapFewShot_qwen72b,per_class,own_identity,+O,0.68,0.8,0.62,0.7,13,8,2,7,5
claude_BootstrapFewShot_qwen72b,per_class,own_identity,-O,0.68,0.58,0.78,0.67,9,7,5,8,2
claude_BootstrapFewShot_qwen72b,macro_avg,unity,all,0.79,0.49,0.43,0.43,22,15,7,37,7
claude_BootstrapFewShot_qwen72b,per_class,unity,-U,0.73,0.67,0.29,0.4,7,2,1,14,5
claude_BootstrapFewShot_qwen72b,per_class,unity,+U,0.86,0.81,1.0,0.9,13,13,3,6,0
claude_BootstrapFewShot_qwen72b,per_class,unity,~U,0.77,0.0,0.0,0.0,2,0,3,17,2
claude_BootstrapFewShot_qwen72b,macro_avg,dependence,all,0.66,0.51,0.48,0.49,22,14,7,15,8
claude_BootstrapFewShot_qwen72b,per_class,dependence,-D,0.64,0.76,0.76,0.76,17,13,4,1,4
claude_BootstrapFewShot_qwen72b,per_class,dependence,+D,0.68,0.25,0.2,0.22,5,1,3,14,4
