agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_COPRO_gemma9b,overall,all,all,0.61,0.43,0.4,0.4,110,58,52,102,52
claude_COPRO_gemma9b,macro_avg,rigidity,all,0.64,0.28,0.22,0.25,22,10,12,32,12
claude_COPRO_gemma9b,per_class,rigidity,+R,0.68,0.83,0.67,0.74,15,10,2,5,5
claude_COPRO_gemma9b,per_class,rigidity,-R,0.73,0.0,0.0,0.0,1,0,5,16,1
claude_COPRO_gemma9b,per_class,rigidity,~R,0.5,0.0,0.0,0.0,6,0,5,11,6
claude_COPRO_gemma9b,macro_avg,identity,all,0.55,0.48,0.46,0.43,22,12,10,12,10
claude_COPRO_gemma9b,per_class,identity,+I,0.55,0.85,0.58,0.69,19,11,2,1,8
claude_COPRO_gemma9b,per_class,identity,-I,0.55,0.11,0.33,0.17,3,1,8,11,2
claude_COPRO_gemma9b,macro_avg,own_identity,all,0.59,0.6,0.6,0.59,22,13,9,13,9
claude_COPRO_gemma9b,per_class,own_identity,-O,0.59,0.5,0.67,0.57,9,6,6,7,3
claude_COPRO_gemma9b,per_class,own_identity,+O,0.59,0.7,0.54,0.61,13,7,3,6,6
claude_COPRO_gemma9b,macro_avg,unity,all,0.73,0.47,0.44,0.43,22,13,9,35,9
claude_COPRO_gemma9b,per_class,unity,+U,0.77,1.0,0.62,0.76,13,8,0,9,5
claude_COPRO_gemma9b,per_class,unity,~U,0.82,0.0,0.0,0.0,2,0,2,18,2
claude_COPRO_gemma9b,per_class,unity,-U,0.59,0.42,0.71,0.53,7,5,7,8,2
claude_COPRO_gemma9b,macro_avg,dependence,all,0.45,0.33,0.29,0.31,22,10,12,10,12
claude_COPRO_gemma9b,per_class,dependence,+D,0.45,0.0,0.0,0.0,5,0,7,10,5
claude_COPRO_gemma9b,per_class,dependence,-D,0.45,0.67,0.59,0.62,17,10,5,0,7
