agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_claude_COPRO_gpt4o-mini,overall,all,all,0.63,0.53,0.5,0.48,110,60,47,107,50
dspy_claude_COPRO_gpt4o-mini,macro_avg,rigidity,all,0.53,0.35,0.17,0.23,22,6,15,29,16
dspy_claude_COPRO_gpt4o-mini,per_class,rigidity,~R,0.68,0.33,0.17,0.22,6,1,2,14,5
dspy_claude_COPRO_gpt4o-mini,per_class,rigidity,+R,0.45,0.71,0.33,0.45,15,5,2,5,10
dspy_claude_COPRO_gpt4o-mini,per_class,rigidity,-R,0.45,0.0,0.0,0.0,1,0,11,10,1
dspy_claude_COPRO_gpt4o-mini,macro_avg,identity,all,0.73,0.61,0.7,0.61,22,16,6,16,6
dspy_claude_COPRO_gpt4o-mini,per_class,identity,-I,0.73,0.29,0.67,0.4,3,2,5,14,1
dspy_claude_COPRO_gpt4o-mini,per_class,identity,+I,0.73,0.93,0.74,0.82,19,14,1,2,5
dspy_claude_COPRO_gpt4o-mini,macro_avg,own_identity,all,0.55,0.56,0.56,0.55,22,12,10,12,10
dspy_claude_COPRO_gpt4o-mini,per_class,own_identity,-O,0.55,0.46,0.67,0.55,9,6,7,6,3
dspy_claude_COPRO_gpt4o-mini,per_class,own_identity,+O,0.55,0.67,0.46,0.55,13,6,3,6,7
dspy_claude_COPRO_gpt4o-mini,macro_avg,unity,all,0.74,0.5,0.4,0.44,22,13,8,36,9
dspy_claude_COPRO_gpt4o-mini,per_class,unity,-U,0.68,0.5,0.43,0.46,7,3,3,12,4
dspy_claude_COPRO_gpt4o-mini,per_class,unity,+U,0.86,1.0,0.77,0.87,13,10,0,9,3
dspy_claude_COPRO_gpt4o-mini,per_class,unity,~U,0.68,0.0,0.0,0.0,2,0,5,15,2
dspy_claude_COPRO_gpt4o-mini,macro_avg,dependence,all,0.61,0.63,0.66,0.58,22,13,8,14,9
dspy_claude_COPRO_gpt4o-mini,per_class,dependence,+D,0.64,0.36,0.8,0.5,5,4,7,10,1
dspy_claude_COPRO_gpt4o-mini,per_class,dependence,-D,0.59,0.9,0.53,0.67,17,9,1,4,8
