agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_claude_COPRO_llama3b,overall,all,all,0.57,0.56,0.37,0.35,110,36,40,114,74
dspy_claude_COPRO_llama3b,macro_avg,rigidity,all,0.64,0.44,0.27,0.23,22,6,8,36,16
dspy_claude_COPRO_llama3b,per_class,rigidity,+R,0.41,1.0,0.13,0.24,15,2,0,7,13
dspy_claude_COPRO_llama3b,per_class,rigidity,~R,0.55,0.33,0.67,0.44,6,4,8,8,2
dspy_claude_COPRO_llama3b,per_class,rigidity,-R,0.95,0.0,0.0,0.0,1,0,0,21,1
dspy_claude_COPRO_llama3b,macro_avg,identity,all,0.32,0.57,0.39,0.21,22,4,12,10,18
dspy_claude_COPRO_llama3b,per_class,identity,+I,0.23,1.0,0.11,0.19,19,2,0,3,17
dspy_claude_COPRO_llama3b,per_class,identity,-I,0.41,0.14,0.67,0.24,3,2,12,7,1
dspy_claude_COPRO_llama3b,macro_avg,own_identity,all,0.59,0.77,0.5,0.51,22,10,6,16,12
dspy_claude_COPRO_llama3b,per_class,own_identity,+O,0.55,1.0,0.23,0.38,13,3,0,9,10
dspy_claude_COPRO_llama3b,per_class,own_identity,-O,0.64,0.54,0.78,0.64,9,7,6,7,2
dspy_claude_COPRO_llama3b,macro_avg,unity,all,0.62,0.48,0.32,0.36,22,6,9,35,16
dspy_claude_COPRO_llama3b,per_class,unity,+U,0.55,0.8,0.31,0.44,13,4,1,8,9
dspy_claude_COPRO_llama3b,per_class,unity,-U,0.41,0.12,0.14,0.13,7,1,7,8,6
dspy_claude_COPRO_llama3b,per_class,unity,~U,0.91,0.5,0.5,0.5,2,1,1,19,1
dspy_claude_COPRO_llama3b,macro_avg,dependence,all,0.61,0.53,0.36,0.43,22,10,5,17,12
dspy_claude_COPRO_llama3b,per_class,dependence,+D,0.68,0.25,0.2,0.22,5,1,3,14,4
dspy_claude_COPRO_llama3b,per_class,dependence,-D,0.55,0.82,0.53,0.64,17,9,2,3,8
