agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_COPRO_mistral-small-3.1,overall,all,all,0.7,0.55,0.56,0.52,110,70,40,114,40
claude_COPRO_mistral-small-3.1,macro_avg,rigidity,all,0.67,0.33,0.28,0.3,22,11,11,33,11
claude_COPRO_mistral-small-3.1,per_class,rigidity,+R,0.68,0.83,0.67,0.74,15,10,2,5,5
claude_COPRO_mistral-small-3.1,per_class,rigidity,-R,0.77,0.0,0.0,0.0,1,0,4,17,1
claude_COPRO_mistral-small-3.1,per_class,rigidity,~R,0.55,0.17,0.17,0.17,6,1,5,11,5
claude_COPRO_mistral-small-3.1,macro_avg,identity,all,0.73,0.67,0.84,0.66,22,16,6,16,6
claude_COPRO_mistral-small-3.1,per_class,identity,-I,0.73,0.33,1.0,0.5,3,3,6,13,0
claude_COPRO_mistral-small-3.1,per_class,identity,+I,0.73,1.0,0.68,0.81,19,13,0,3,6
claude_COPRO_mistral-small-3.1,macro_avg,own_identity,all,0.5,0.55,0.54,0.49,22,11,11,11,11
claude_COPRO_mistral-small-3.1,per_class,own_identity,+O,0.5,0.67,0.31,0.42,13,4,2,7,9
claude_COPRO_mistral-small-3.1,per_class,own_identity,-O,0.5,0.44,0.78,0.56,9,7,9,4,2
claude_COPRO_mistral-small-3.1,macro_avg,unity,all,0.76,0.45,0.45,0.44,22,14,8,36,8
claude_COPRO_mistral-small-3.1,per_class,unity,~U,0.82,0.0,0.0,0.0,2,0,2,18,2
claude_COPRO_mistral-small-3.1,per_class,unity,+U,0.82,0.91,0.77,0.83,13,10,1,8,3
claude_COPRO_mistral-small-3.1,per_class,unity,-U,0.64,0.44,0.57,0.5,7,4,5,10,3
claude_COPRO_mistral-small-3.1,macro_avg,dependence,all,0.82,0.75,0.67,0.69,22,18,4,18,4
claude_COPRO_mistral-small-3.1,per_class,dependence,+D,0.82,0.67,0.4,0.5,5,2,1,16,3
claude_COPRO_mistral-small-3.1,per_class,dependence,-D,0.82,0.84,0.94,0.89,17,16,3,2,1
