agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_COPRO_qwen7b,overall,all,all,0.56,0.46,0.42,0.37,110,46,53,101,64
claude_COPRO_qwen7b,macro_avg,rigidity,all,0.52,0.43,0.46,0.22,22,5,15,29,17
claude_COPRO_qwen7b,per_class,rigidity,-R,0.5,0.08,1.0,0.15,1,1,11,10,0
claude_COPRO_qwen7b,per_class,rigidity,~R,0.59,0.2,0.17,0.18,6,1,4,12,5
claude_COPRO_qwen7b,per_class,rigidity,+R,0.45,1.0,0.2,0.33,15,3,0,7,12
claude_COPRO_qwen7b,macro_avg,identity,all,0.59,0.49,0.46,0.44,22,12,8,14,10
claude_COPRO_qwen7b,per_class,identity,+I,0.55,0.85,0.58,0.69,19,11,2,1,8
claude_COPRO_qwen7b,per_class,identity,-I,0.64,0.14,0.33,0.2,3,1,6,13,2
claude_COPRO_qwen7b,macro_avg,own_identity,all,0.45,0.5,0.45,0.42,22,9,11,11,13
claude_COPRO_qwen7b,per_class,own_identity,-O,0.45,0.4,0.67,0.5,9,6,9,4,3
claude_COPRO_qwen7b,per_class,own_identity,+O,0.45,0.6,0.23,0.33,13,3,2,7,10
claude_COPRO_qwen7b,macro_avg,unity,all,0.67,0.46,0.37,0.35,22,10,10,34,12
claude_COPRO_qwen7b,per_class,unity,+U,0.64,1.0,0.38,0.56,13,5,0,9,8
claude_COPRO_qwen7b,per_class,unity,-U,0.55,0.38,0.71,0.5,7,5,8,7,2
claude_COPRO_qwen7b,per_class,unity,~U,0.82,0.0,0.0,0.0,2,0,2,18,2
claude_COPRO_qwen7b,macro_avg,dependence,all,0.52,0.43,0.36,0.39,22,10,9,13,12
claude_COPRO_qwen7b,per_class,dependence,-D,0.45,0.69,0.53,0.6,17,9,4,1,8
claude_COPRO_qwen7b,per_class,dependence,+D,0.59,0.17,0.2,0.18,5,1,5,12,4
