agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_claude_MIPROv2_gemma9b,overall,all,all,0.66,0.51,0.53,0.48,110,65,45,109,45
dspy_claude_MIPROv2_gemma9b,macro_avg,rigidity,all,0.61,0.46,0.61,0.38,22,9,13,31,13
dspy_claude_MIPROv2_gemma9b,per_class,rigidity,-R,0.64,0.11,1.0,0.2,1,1,8,13,0
dspy_claude_MIPROv2_gemma9b,per_class,rigidity,+R,0.5,0.83,0.33,0.48,15,5,1,6,10
dspy_claude_MIPROv2_gemma9b,per_class,rigidity,~R,0.68,0.43,0.5,0.46,6,3,4,12,3
dspy_claude_MIPROv2_gemma9b,macro_avg,identity,all,0.82,0.61,0.61,0.61,22,18,4,18,4
dspy_claude_MIPROv2_gemma9b,per_class,identity,-I,0.82,0.33,0.33,0.33,3,1,2,17,2
dspy_claude_MIPROv2_gemma9b,per_class,identity,+I,0.82,0.89,0.89,0.89,19,17,2,1,2
dspy_claude_MIPROv2_gemma9b,macro_avg,own_identity,all,0.5,0.55,0.54,0.49,22,11,11,11,11
dspy_claude_MIPROv2_gemma9b,per_class,own_identity,-O,0.5,0.44,0.78,0.56,9,7,9,4,2
dspy_claude_MIPROv2_gemma9b,per_class,own_identity,+O,0.5,0.67,0.31,0.42,13,4,2,7,9
dspy_claude_MIPROv2_gemma9b,macro_avg,unity,all,0.76,0.48,0.42,0.45,22,14,8,36,8
dspy_claude_MIPROv2_gemma9b,per_class,unity,+U,0.82,0.85,0.85,0.85,13,11,2,7,2
dspy_claude_MIPROv2_gemma9b,per_class,unity,~U,0.73,0.0,0.0,0.0,2,0,4,16,2
dspy_claude_MIPROv2_gemma9b,per_class,unity,-U,0.73,0.6,0.43,0.5,7,3,2,13,4
dspy_claude_MIPROv2_gemma9b,macro_avg,dependence,all,0.59,0.46,0.45,0.45,22,13,9,13,9
dspy_claude_MIPROv2_gemma9b,per_class,dependence,+D,0.59,0.17,0.2,0.18,5,1,5,12,4
dspy_claude_MIPROv2_gemma9b,per_class,dependence,-D,0.59,0.75,0.71,0.73,17,12,4,1,5
