agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_MIPROv2_gpt4o-mini,overall,all,all,0.69,0.52,0.52,0.49,110,69,41,113,41
claude_MIPROv2_gpt4o-mini,macro_avg,rigidity,all,0.64,0.37,0.32,0.33,22,10,12,32,12
claude_MIPROv2_gpt4o-mini,per_class,rigidity,~R,0.59,0.33,0.5,0.4,6,3,6,10,3
claude_MIPROv2_gpt4o-mini,per_class,rigidity,+R,0.55,0.78,0.47,0.58,15,7,2,5,8
claude_MIPROv2_gpt4o-mini,per_class,rigidity,-R,0.77,0.0,0.0,0.0,1,0,4,17,1
claude_MIPROv2_gpt4o-mini,macro_avg,identity,all,0.82,0.61,0.61,0.61,22,18,4,18,4
claude_MIPROv2_gpt4o-mini,per_class,identity,-I,0.82,0.33,0.33,0.33,3,1,2,17,2
claude_MIPROv2_gpt4o-mini,per_class,identity,+I,0.82,0.89,0.89,0.89,19,17,2,1,2
claude_MIPROv2_gpt4o-mini,macro_avg,own_identity,all,0.45,0.51,0.5,0.44,22,10,12,10,12
claude_MIPROv2_gpt4o-mini,per_class,own_identity,-O,0.45,0.41,0.78,0.54,9,7,10,3,2
claude_MIPROv2_gpt4o-mini,per_class,own_identity,+O,0.45,0.6,0.23,0.33,13,3,2,7,10
claude_MIPROv2_gpt4o-mini,macro_avg,unity,all,0.85,0.51,0.52,0.51,22,17,5,39,5
claude_MIPROv2_gpt4o-mini,per_class,unity,~U,0.86,0.0,0.0,0.0,2,0,1,19,2
claude_MIPROv2_gpt4o-mini,per_class,unity,+U,0.91,0.87,1.0,0.93,13,13,2,7,0
claude_MIPROv2_gpt4o-mini,per_class,unity,-U,0.77,0.67,0.57,0.62,7,4,2,13,3
claude_MIPROv2_gpt4o-mini,macro_avg,dependence,all,0.64,0.59,0.62,0.58,22,14,8,14,8
claude_MIPROv2_gpt4o-mini,per_class,dependence,-D,0.64,0.85,0.65,0.73,17,11,2,3,6
claude_MIPROv2_gpt4o-mini,per_class,dependence,+D,0.64,0.33,0.6,0.43,5,3,6,11,2
