agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_claude_MIPROv2_llama8b,overall,all,all,0.69,0.53,0.51,0.51,110,69,40,114,41
dspy_claude_MIPROv2_llama8b,macro_avg,rigidity,all,0.7,0.44,0.37,0.39,22,12,10,34,10
dspy_claude_MIPROv2_llama8b,per_class,rigidity,-R,0.73,0.0,0.0,0.0,1,0,5,16,1
dspy_claude_MIPROv2_llama8b,per_class,rigidity,+R,0.68,0.9,0.6,0.72,15,9,1,6,6
dspy_claude_MIPROv2_llama8b,per_class,rigidity,~R,0.68,0.43,0.5,0.46,6,3,4,12,3
dspy_claude_MIPROv2_llama8b,macro_avg,identity,all,0.77,0.57,0.59,0.58,22,17,5,17,5
dspy_claude_MIPROv2_llama8b,per_class,identity,-I,0.77,0.25,0.33,0.29,3,1,3,16,2
dspy_claude_MIPROv2_llama8b,per_class,identity,+I,0.77,0.89,0.84,0.86,19,16,2,1,3
dspy_claude_MIPROv2_llama8b,macro_avg,own_identity,all,0.55,0.56,0.56,0.55,22,12,10,12,10
dspy_claude_MIPROv2_llama8b,per_class,own_identity,-O,0.55,0.46,0.67,0.55,9,6,7,6,3
dspy_claude_MIPROv2_llama8b,per_class,own_identity,+O,0.55,0.67,0.46,0.55,13,6,3,6,7
dspy_claude_MIPROv2_llama8b,macro_avg,unity,all,0.8,0.62,0.59,0.59,22,15,6,38,7
dspy_claude_MIPROv2_llama8b,per_class,unity,~U,0.86,0.33,0.5,0.4,2,1,2,18,1
dspy_claude_MIPROv2_llama8b,per_class,unity,-U,0.77,0.75,0.43,0.55,7,3,1,14,4
dspy_claude_MIPROv2_llama8b,per_class,unity,+U,0.77,0.79,0.85,0.81,13,11,3,6,2
dspy_claude_MIPROv2_llama8b,macro_avg,dependence,all,0.59,0.46,0.45,0.45,22,13,9,13,9
dspy_claude_MIPROv2_llama8b,per_class,dependence,-D,0.59,0.75,0.71,0.73,17,12,4,1,5
dspy_claude_MIPROv2_llama8b,per_class,dependence,+D,0.59,0.17,0.2,0.18,5,1,5,12,4
