agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_claude_MIPROv2_mistral-small-3.1,overall,all,all,0.7,0.53,0.58,0.52,110,70,40,114,40
dspy_claude_MIPROv2_mistral-small-3.1,macro_avg,rigidity,all,0.67,0.45,0.62,0.42,22,11,11,33,11
dspy_claude_MIPROv2_mistral-small-3.1,per_class,rigidity,~R,0.68,0.4,0.33,0.36,6,2,3,13,4
dspy_claude_MIPROv2_mistral-small-3.1,per_class,rigidity,-R,0.73,0.14,1.0,0.25,1,1,6,15,0
dspy_claude_MIPROv2_mistral-small-3.1,per_class,rigidity,+R,0.59,0.8,0.53,0.64,15,8,2,5,7
dspy_claude_MIPROv2_mistral-small-3.1,macro_avg,identity,all,0.77,0.57,0.59,0.58,22,17,5,17,5
dspy_claude_MIPROv2_mistral-small-3.1,per_class,identity,-I,0.77,0.25,0.33,0.29,3,1,3,16,2
dspy_claude_MIPROv2_mistral-small-3.1,per_class,identity,+I,0.77,0.89,0.84,0.86,19,16,2,1,3
dspy_claude_MIPROv2_mistral-small-3.1,macro_avg,own_identity,all,0.59,0.62,0.62,0.59,22,13,9,13,9
dspy_claude_MIPROv2_mistral-small-3.1,per_class,own_identity,-O,0.59,0.5,0.78,0.61,9,7,7,6,2
dspy_claude_MIPROv2_mistral-small-3.1,per_class,own_identity,+O,0.59,0.75,0.46,0.57,13,6,2,7,7
dspy_claude_MIPROv2_mistral-small-3.1,macro_avg,unity,all,0.79,0.44,0.43,0.42,22,15,7,37,7
dspy_claude_MIPROv2_mistral-small-3.1,per_class,unity,-U,0.68,0.5,0.29,0.36,7,2,2,13,5
dspy_claude_MIPROv2_mistral-small-3.1,per_class,unity,+U,0.86,0.81,1.0,0.9,13,13,3,6,0
dspy_claude_MIPROv2_mistral-small-3.1,per_class,unity,~U,0.82,0.0,0.0,0.0,2,0,2,18,2
dspy_claude_MIPROv2_mistral-small-3.1,macro_avg,dependence,all,0.64,0.59,0.62,0.58,22,14,8,14,8
dspy_claude_MIPROv2_mistral-small-3.1,per_class,dependence,-D,0.64,0.85,0.65,0.73,17,11,2,3,6
dspy_claude_MIPROv2_mistral-small-3.1,per_class,dependence,+D,0.64,0.33,0.6,0.43,5,3,6,11,2
