agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_MIPROv2_qwen7b,overall,all,all,0.73,0.61,0.57,0.51,110,74,34,120,36
claude_MIPROv2_qwen7b,macro_avg,rigidity,all,0.76,0.57,0.79,0.6,22,14,8,36,8
claude_MIPROv2_qwen7b,per_class,rigidity,-R,0.91,0.33,1.0,0.5,1,1,2,19,0
claude_MIPROv2_qwen7b,per_class,rigidity,+R,0.64,0.89,0.53,0.67,15,8,1,6,7
claude_MIPROv2_qwen7b,per_class,rigidity,~R,0.73,0.5,0.83,0.62,6,5,5,11,1
claude_MIPROv2_qwen7b,macro_avg,identity,all,0.82,0.43,0.47,0.45,22,18,4,18,4
claude_MIPROv2_qwen7b,per_class,identity,-I,0.82,0.0,0.0,0.0,3,0,1,18,3
claude_MIPROv2_qwen7b,per_class,identity,+I,0.82,0.86,0.95,0.9,19,18,3,0,1
claude_MIPROv2_qwen7b,macro_avg,own_identity,all,0.5,0.72,0.58,0.44,22,11,11,11,11
claude_MIPROv2_qwen7b,per_class,own_identity,-O,0.5,0.45,1.0,0.62,9,9,11,2,0
claude_MIPROv2_qwen7b,per_class,own_identity,+O,0.5,1.0,0.15,0.27,13,2,0,9,11
claude_MIPROv2_qwen7b,macro_avg,unity,all,0.73,0.41,0.33,0.34,22,12,8,36,10
claude_MIPROv2_qwen7b,per_class,unity,-U,0.68,0.5,0.14,0.22,7,1,1,14,6
claude_MIPROv2_qwen7b,per_class,unity,~U,0.77,0.0,0.0,0.0,2,0,3,17,2
claude_MIPROv2_qwen7b,per_class,unity,+U,0.73,0.73,0.85,0.79,13,11,4,5,2
claude_MIPROv2_qwen7b,macro_avg,dependence,all,0.86,0.93,0.7,0.75,22,19,3,19,3
claude_MIPROv2_qwen7b,per_class,dependence,-D,0.86,0.85,1.0,0.92,17,17,3,2,0
claude_MIPROv2_qwen7b,per_class,dependence,+D,0.86,1.0,0.4,0.57,5,2,0,17,3
