agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,overall,all,all,0.69,0.61,0.62,0.53,110,69,41,113,41
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,macro_avg,rigidity,all,0.61,0.65,0.54,0.35,22,9,13,31,13
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,rigidity,-R,0.45,0.08,1.0,0.14,1,1,12,9,0
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,rigidity,~R,0.77,1.0,0.17,0.29,6,1,0,16,5
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,rigidity,+R,0.59,0.88,0.47,0.61,15,7,1,6,8
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,macro_avg,identity,all,0.77,0.64,0.73,0.65,22,17,5,17,5
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,identity,-I,0.77,0.33,0.67,0.44,3,2,4,15,1
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,identity,+I,0.77,0.94,0.79,0.86,19,15,1,2,4
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,macro_avg,own_identity,all,0.55,0.64,0.6,0.53,22,12,10,12,10
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,own_identity,-O,0.55,0.47,0.89,0.62,9,8,9,4,1
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,own_identity,+O,0.55,0.8,0.31,0.44,13,4,1,8,9
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,macro_avg,unity,all,0.85,0.52,0.55,0.53,22,17,5,39,5
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,unity,~U,0.86,0.0,0.0,0.0,2,0,1,19,2
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,unity,+U,0.91,0.92,0.92,0.92,13,12,1,8,1
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,unity,-U,0.77,0.62,0.71,0.67,7,5,3,12,2
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,macro_avg,dependence,all,0.64,0.64,0.69,0.61,22,14,8,14,8
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,dependence,-D,0.64,0.91,0.59,0.71,17,10,1,4,7
dspy_gemini_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,dependence,+D,0.64,0.36,0.8,0.5,5,4,7,10,1
