agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,overall,all,all,0.7,0.61,0.58,0.56,110,70,40,114,40
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,macro_avg,rigidity,all,0.67,0.55,0.34,0.42,22,11,11,33,11
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,per_class,rigidity,~R,0.82,0.75,0.5,0.6,6,3,1,15,3
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,per_class,rigidity,+R,0.64,0.89,0.53,0.67,15,8,1,6,7
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,per_class,rigidity,-R,0.55,0.0,0.0,0.0,1,0,9,12,1
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,macro_avg,identity,all,0.77,0.64,0.73,0.65,22,17,5,17,5
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,per_class,identity,-I,0.77,0.33,0.67,0.44,3,2,4,15,1
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,per_class,identity,+I,0.77,0.94,0.79,0.86,19,15,1,2,4
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,macro_avg,own_identity,all,0.55,0.64,0.6,0.53,22,12,10,12,10
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,per_class,own_identity,-O,0.55,0.47,0.89,0.62,9,8,9,4,1
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,per_class,own_identity,+O,0.55,0.8,0.31,0.44,13,4,1,8,9
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,macro_avg,unity,all,0.82,0.63,0.62,0.62,22,16,6,38,6
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,per_class,unity,~U,0.91,0.5,0.5,0.5,2,1,1,19,1
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,per_class,unity,-U,0.73,0.6,0.43,0.5,7,3,2,13,4
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,per_class,unity,+U,0.82,0.8,0.92,0.86,13,12,3,6,1
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,macro_avg,dependence,all,0.64,0.59,0.62,0.58,22,14,8,14,8
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,per_class,dependence,+D,0.64,0.33,0.6,0.43,5,3,6,11,2
dspy_gemini_BootstrapFewShotWithRandomSearch_llama70b,per_class,dependence,-D,0.64,0.85,0.65,0.73,17,11,2,3,6
