agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_gemini_mistral-small-3.1,overall,all,all,0.75,0.63,0.69,0.62,110,77,33,121,33
dspy_gemini_mistral-small-3.1,macro_avg,rigidity,all,0.79,0.61,0.74,0.57,22,15,7,37,7
dspy_gemini_mistral-small-3.1,per_class,rigidity,+R,0.77,0.92,0.73,0.81,15,11,1,6,4
dspy_gemini_mistral-small-3.1,per_class,rigidity,-R,0.77,0.17,1.00,0.29,1,1,5,16,0
dspy_gemini_mistral-small-3.1,per_class,rigidity,~R,0.82,0.75,0.50,0.60,6,3,1,15,3
dspy_gemini_mistral-small-3.1,macro_avg,identity,all,0.73,0.61,0.70,0.61,22,16,6,16,6
dspy_gemini_mistral-small-3.1,per_class,identity,+I,0.73,0.93,0.74,0.82,19,14,1,2,5
dspy_gemini_mistral-small-3.1,per_class,identity,-I,0.73,0.29,0.67,0.40,3,2,5,14,1
dspy_gemini_mistral-small-3.1,macro_avg,own_identity,all,0.64,0.64,0.64,0.63,22,14,8,14,8
dspy_gemini_mistral-small-3.1,per_class,own_identity,+O,0.64,0.73,0.62,0.67,13,8,3,6,5
dspy_gemini_mistral-small-3.1,per_class,own_identity,-O,0.64,0.55,0.67,0.60,9,6,5,8,3
dspy_gemini_mistral-small-3.1,macro_avg,unity,all,0.85,0.65,0.64,0.62,22,17,5,39,5
dspy_gemini_mistral-small-3.1,per_class,unity,+U,0.91,0.87,1.00,0.93,13,13,2,7,0
dspy_gemini_mistral-small-3.1,per_class,unity,-U,0.77,0.75,0.43,0.55,7,3,1,14,4
dspy_gemini_mistral-small-3.1,per_class,unity,~U,0.86,0.33,0.50,0.40,2,1,2,18,1
dspy_gemini_mistral-small-3.1,macro_avg,dependence,all,0.68,0.66,0.72,0.65,22,15,7,15,7
dspy_gemini_mistral-small-3.1,per_class,dependence,+D,0.68,0.40,0.80,0.53,5,4,6,11,1
dspy_gemini_mistral-small-3.1,per_class,dependence,-D,0.68,0.92,0.65,0.76,17,11,1,4,6
