agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_llama3b,overall,all,all,0.71,0.61,0.50,0.50,110,72,38,116,38
dspy_llama3b,macro_avg,rigidity,all,0.61,0.42,0.27,0.32,22,9,13,31,13
dspy_llama3b,per_class,rigidity,+R,0.59,0.88,0.47,0.61,15,7,1,6,8
dspy_llama3b,per_class,rigidity,-R,0.55,0.00,0.00,0.00,1,0,9,12,1
dspy_llama3b,per_class,rigidity,~R,0.68,0.40,0.33,0.36,6,2,3,13,4
dspy_llama3b,macro_avg,identity,all,0.91,0.95,0.67,0.73,22,20,2,20,2
dspy_llama3b,per_class,identity,+I,0.91,0.90,1.00,0.95,19,19,2,1,0
dspy_llama3b,per_class,identity,-I,0.91,1.00,0.33,0.50,3,1,0,19,2
dspy_llama3b,macro_avg,own_identity,all,0.45,0.54,0.52,0.41,22,10,12,10,12
dspy_llama3b,per_class,own_identity,+O,0.45,0.67,0.15,0.25,13,2,1,8,11
dspy_llama3b,per_class,own_identity,-O,0.45,0.42,0.89,0.57,9,8,11,2,1
dspy_llama3b,macro_avg,unity,all,0.82,0.45,0.48,0.46,22,16,6,38,6
dspy_llama3b,per_class,unity,+U,0.82,0.76,1.00,0.87,13,13,4,5,0
dspy_llama3b,per_class,unity,-U,0.73,0.60,0.43,0.50,7,3,2,13,4
dspy_llama3b,per_class,unity,~U,0.91,0.00,0.00,0.00,2,0,0,20,2
dspy_llama3b,macro_avg,dependence,all,0.77,0.65,0.57,0.58,22,17,5,17,5
dspy_llama3b,per_class,dependence,+D,0.77,0.50,0.20,0.29,5,1,1,16,4
dspy_llama3b,per_class,dependence,-D,0.77,0.80,0.94,0.86,17,16,4,1,1
