agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_gemini_gemma9b,overall,all,all,0.66,0.55,0.55,0.50,110,64,43,111,46
dspy_gemini_gemma9b,macro_avg,rigidity,all,0.67,0.61,0.66,0.47,22,11,11,33,11
dspy_gemini_gemma9b,per_class,rigidity,+R,0.64,1.00,0.47,0.64,15,7,0,7,8
dspy_gemini_gemma9b,per_class,rigidity,-R,0.55,0.09,1.00,0.17,1,1,10,11,0
dspy_gemini_gemma9b,per_class,rigidity,~R,0.82,0.75,0.50,0.60,6,3,1,15,3
dspy_gemini_gemma9b,macro_avg,identity,all,0.77,0.57,0.59,0.58,22,17,5,17,5
dspy_gemini_gemma9b,per_class,identity,+I,0.77,0.89,0.84,0.86,19,16,2,1,3
dspy_gemini_gemma9b,per_class,identity,-I,0.77,0.25,0.33,0.29,3,1,3,16,2
dspy_gemini_gemma9b,macro_avg,own_identity,all,0.59,0.67,0.64,0.58,22,13,9,13,9
dspy_gemini_gemma9b,per_class,own_identity,+O,0.59,0.83,0.38,0.53,13,5,1,8,8
dspy_gemini_gemma9b,per_class,own_identity,-O,0.59,0.50,0.89,0.64,9,8,8,5,1
dspy_gemini_gemma9b,macro_avg,unity,all,0.74,0.47,0.50,0.46,22,13,8,36,9
dspy_gemini_gemma9b,per_class,unity,+U,0.73,0.73,0.85,0.79,13,11,4,5,2
dspy_gemini_gemma9b,per_class,unity,-U,0.64,0.33,0.14,0.20,7,1,2,13,6
dspy_gemini_gemma9b,per_class,unity,~U,0.86,0.33,0.50,0.40,2,1,2,18,1
dspy_gemini_gemma9b,macro_avg,dependence,all,0.50,0.44,0.36,0.39,22,10,10,12,12
dspy_gemini_gemma9b,per_class,dependence,+D,0.50,0.12,0.20,0.15,5,1,7,10,4
dspy_gemini_gemma9b,per_class,dependence,-D,0.50,0.75,0.53,0.62,17,9,3,2,8
