agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_gemini_BootstrapFewShot_llama70b,overall,all,all,0.73,0.61,0.62,0.56,110,74,36,118,36
dspy_gemini_BootstrapFewShot_llama70b,macro_avg,rigidity,all,0.76,0.7,0.72,0.56,22,14,8,36,8
dspy_gemini_BootstrapFewShot_llama70b,per_class,rigidity,+R,0.77,1.0,0.67,0.8,15,10,0,7,5
dspy_gemini_BootstrapFewShot_llama70b,per_class,rigidity,~R,0.86,1.0,0.5,0.67,6,3,0,16,3
dspy_gemini_BootstrapFewShot_llama70b,per_class,rigidity,-R,0.64,0.11,1.0,0.2,1,1,8,13,0
dspy_gemini_BootstrapFewShot_llama70b,macro_avg,identity,all,0.77,0.57,0.59,0.58,22,17,5,17,5
dspy_gemini_BootstrapFewShot_llama70b,per_class,identity,-I,0.77,0.25,0.33,0.29,3,1,3,16,2
dspy_gemini_BootstrapFewShot_llama70b,per_class,identity,+I,0.77,0.89,0.84,0.86,19,16,2,1,3
dspy_gemini_BootstrapFewShot_llama70b,macro_avg,own_identity,all,0.59,0.67,0.64,0.58,22,13,9,13,9
dspy_gemini_BootstrapFewShot_llama70b,per_class,own_identity,-O,0.59,0.5,0.89,0.64,9,8,8,5,1
dspy_gemini_BootstrapFewShot_llama70b,per_class,own_identity,+O,0.59,0.83,0.38,0.53,13,5,1,8,8
dspy_gemini_BootstrapFewShot_llama70b,macro_avg,unity,all,0.79,0.44,0.43,0.42,22,15,7,37,7
dspy_gemini_BootstrapFewShot_llama70b,per_class,unity,-U,0.68,0.5,0.29,0.36,7,2,2,13,5
dspy_gemini_BootstrapFewShot_llama70b,per_class,unity,+U,0.86,0.81,1.0,0.9,13,13,3,6,0
dspy_gemini_BootstrapFewShot_llama70b,per_class,unity,~U,0.82,0.0,0.0,0.0,2,0,2,18,2
dspy_gemini_BootstrapFewShot_llama70b,macro_avg,dependence,all,0.68,0.66,0.72,0.65,22,15,7,15,7
dspy_gemini_BootstrapFewShot_llama70b,per_class,dependence,+D,0.68,0.4,0.8,0.53,5,4,6,11,1
dspy_gemini_BootstrapFewShot_llama70b,per_class,dependence,-D,0.68,0.92,0.65,0.76,17,11,1,4,6
