agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_gemini_mistral7b,overall,all,all,0.70,0.51,0.52,0.46,110,69,38,116,41
dspy_gemini_mistral7b,macro_avg,rigidity,all,0.70,0.65,0.61,0.41,22,12,10,34,10
dspy_gemini_mistral7b,per_class,rigidity,+R,0.68,0.83,0.67,0.74,15,10,2,5,5
dspy_gemini_mistral7b,per_class,rigidity,-R,0.64,0.11,1.00,0.20,1,1,8,13,0
dspy_gemini_mistral7b,per_class,rigidity,~R,0.77,1.00,0.17,0.29,6,1,0,16,5
dspy_gemini_mistral7b,macro_avg,identity,all,0.82,0.69,0.59,0.63,22,17,3,19,5
dspy_gemini_mistral7b,per_class,identity,+I,0.77,0.89,0.84,0.86,19,16,2,1,3
dspy_gemini_mistral7b,per_class,identity,-I,0.86,0.50,0.33,0.40,3,1,1,18,2
dspy_gemini_mistral7b,macro_avg,own_identity,all,0.64,0.66,0.66,0.64,22,14,8,14,8
dspy_gemini_mistral7b,per_class,own_identity,+O,0.64,0.78,0.54,0.64,13,7,2,7,6
dspy_gemini_mistral7b,per_class,own_identity,-O,0.64,0.54,0.78,0.64,9,7,6,7,2
dspy_gemini_mistral7b,macro_avg,unity,all,0.71,0.20,0.31,0.24,22,12,9,35,10
dspy_gemini_mistral7b,per_class,unity,+U,0.59,0.60,0.92,0.73,13,12,8,1,1
dspy_gemini_mistral7b,per_class,unity,-U,0.64,0.00,0.00,0.00,7,0,1,14,7
dspy_gemini_mistral7b,per_class,unity,~U,0.91,0.00,0.00,0.00,2,0,0,20,2
dspy_gemini_mistral7b,macro_avg,dependence,all,0.64,0.37,0.41,0.39,22,14,8,14,8
dspy_gemini_mistral7b,per_class,dependence,+D,0.64,0.00,0.00,0.00,5,0,3,14,5
dspy_gemini_mistral7b,per_class,dependence,-D,0.64,0.74,0.82,0.78,17,14,5,0,3
