agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_gemini_BootstrapFewShot_qwen72b,overall,all,all,0.76,0.61,0.62,0.58,110,78,32,122,32
dspy_gemini_BootstrapFewShot_qwen72b,macro_avg,rigidity,all,0.79,0.71,0.74,0.58,22,15,7,37,7
dspy_gemini_BootstrapFewShot_qwen72b,per_class,rigidity,~R,0.86,1.0,0.5,0.67,6,3,0,16,3
dspy_gemini_BootstrapFewShot_qwen72b,per_class,rigidity,+R,0.82,1.0,0.73,0.85,15,11,0,7,4
dspy_gemini_BootstrapFewShot_qwen72b,per_class,rigidity,-R,0.68,0.12,1.0,0.22,1,1,7,14,0
dspy_gemini_BootstrapFewShot_qwen72b,macro_avg,identity,all,0.77,0.57,0.59,0.58,22,17,5,17,5
dspy_gemini_BootstrapFewShot_qwen72b,per_class,identity,+I,0.77,0.89,0.84,0.86,19,16,2,1,3
dspy_gemini_BootstrapFewShot_qwen72b,per_class,identity,-I,0.77,0.25,0.33,0.29,3,1,3,16,2
dspy_gemini_BootstrapFewShot_qwen72b,macro_avg,own_identity,all,0.64,0.62,0.62,0.62,22,14,8,14,8
dspy_gemini_BootstrapFewShot_qwen72b,per_class,own_identity,+O,0.64,0.69,0.69,0.69,13,9,4,5,4
dspy_gemini_BootstrapFewShot_qwen72b,per_class,own_identity,-O,0.64,0.56,0.56,0.56,9,5,4,9,4
dspy_gemini_BootstrapFewShot_qwen72b,macro_avg,unity,all,0.82,0.5,0.48,0.47,22,16,6,38,6
dspy_gemini_BootstrapFewShot_qwen72b,per_class,unity,+U,0.82,0.76,1.0,0.87,13,13,4,5,0
dspy_gemini_BootstrapFewShot_qwen72b,per_class,unity,-U,0.77,0.75,0.43,0.55,7,3,1,14,4
dspy_gemini_BootstrapFewShot_qwen72b,per_class,unity,~U,0.86,0.0,0.0,0.0,2,0,1,19,2
dspy_gemini_BootstrapFewShot_qwen72b,macro_avg,dependence,all,0.73,0.65,0.68,0.66,22,16,6,16,6
dspy_gemini_BootstrapFewShot_qwen72b,per_class,dependence,-D,0.73,0.87,0.76,0.81,17,13,2,3,4
dspy_gemini_BootstrapFewShot_qwen72b,per_class,dependence,+D,0.73,0.43,0.6,0.5,5,3,4,13,2
