agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_gemini_COPRO_llama70b,overall,all,all,0.7,0.65,0.57,0.52,110,70,40,114,40
dspy_gemini_COPRO_llama70b,macro_avg,rigidity,all,0.64,0.63,0.57,0.36,22,10,12,32,12
dspy_gemini_COPRO_llama70b,per_class,rigidity,+R,0.59,0.8,0.53,0.64,15,8,2,5,7
dspy_gemini_COPRO_llama70b,per_class,rigidity,~R,0.77,1.0,0.17,0.29,6,1,0,16,5
dspy_gemini_COPRO_llama70b,per_class,rigidity,-R,0.55,0.09,1.0,0.17,1,1,10,11,0
dspy_gemini_COPRO_llama70b,macro_avg,identity,all,0.73,0.54,0.56,0.54,22,16,6,16,6
dspy_gemini_COPRO_llama70b,per_class,identity,-I,0.73,0.2,0.33,0.25,3,1,4,15,2
dspy_gemini_COPRO_llama70b,per_class,identity,+I,0.73,0.88,0.79,0.83,19,15,2,1,4
dspy_gemini_COPRO_llama70b,macro_avg,own_identity,all,0.59,0.62,0.62,0.59,22,13,9,13,9
dspy_gemini_COPRO_llama70b,per_class,own_identity,-O,0.59,0.5,0.78,0.61,9,7,7,6,2
dspy_gemini_COPRO_llama70b,per_class,own_identity,+O,0.59,0.75,0.46,0.57,13,6,2,7,7
dspy_gemini_COPRO_llama70b,macro_avg,unity,all,0.79,0.88,0.55,0.57,22,15,7,37,7
dspy_gemini_COPRO_llama70b,per_class,unity,~U,0.95,1.0,0.5,0.67,2,1,0,20,1
dspy_gemini_COPRO_llama70b,per_class,unity,+U,0.68,0.65,1.0,0.79,13,13,7,2,0
dspy_gemini_COPRO_llama70b,per_class,unity,-U,0.73,1.0,0.14,0.25,7,1,0,15,6
dspy_gemini_COPRO_llama70b,macro_avg,dependence,all,0.73,0.56,0.54,0.54,22,16,6,16,6
dspy_gemini_COPRO_llama70b,per_class,dependence,+D,0.73,0.33,0.2,0.25,5,1,2,15,4
dspy_gemini_COPRO_llama70b,per_class,dependence,-D,0.73,0.79,0.88,0.83,17,15,4,1,2
