agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_gemini_COPRO_mistral-small-3.1,overall,all,all,0.71,0.49,0.55,0.48,110,72,38,116,38
dspy_gemini_COPRO_mistral-small-3.1,macro_avg,rigidity,all,0.76,0.32,0.62,0.4,22,14,8,36,8
dspy_gemini_COPRO_mistral-small-3.1,per_class,rigidity,+R,0.68,0.72,0.87,0.79,15,13,5,2,2
dspy_gemini_COPRO_mistral-small-3.1,per_class,rigidity,-R,0.86,0.25,1.0,0.4,1,1,3,18,0
dspy_gemini_COPRO_mistral-small-3.1,per_class,rigidity,~R,0.73,0.0,0.0,0.0,6,0,0,16,6
dspy_gemini_COPRO_mistral-small-3.1,macro_avg,identity,all,0.77,0.64,0.73,0.65,22,17,5,17,5
dspy_gemini_COPRO_mistral-small-3.1,per_class,identity,+I,0.77,0.94,0.79,0.86,19,15,1,2,4
dspy_gemini_COPRO_mistral-small-3.1,per_class,identity,-I,0.77,0.33,0.67,0.44,3,2,4,15,1
dspy_gemini_COPRO_mistral-small-3.1,macro_avg,own_identity,all,0.41,0.4,0.4,0.4,22,9,13,9,13
dspy_gemini_COPRO_mistral-small-3.1,per_class,own_identity,-O,0.41,0.3,0.33,0.32,9,3,7,6,6
dspy_gemini_COPRO_mistral-small-3.1,per_class,own_identity,+O,0.41,0.5,0.46,0.48,13,6,6,3,7
dspy_gemini_COPRO_mistral-small-3.1,macro_avg,unity,all,0.79,0.45,0.43,0.4,22,15,7,37,7
dspy_gemini_COPRO_mistral-small-3.1,per_class,unity,~U,0.91,0.0,0.0,0.0,2,0,0,20,2
dspy_gemini_COPRO_mistral-small-3.1,per_class,unity,+U,0.73,0.68,1.0,0.81,13,13,6,3,0
dspy_gemini_COPRO_mistral-small-3.1,per_class,unity,-U,0.73,0.67,0.29,0.4,7,2,1,14,5
dspy_gemini_COPRO_mistral-small-3.1,macro_avg,dependence,all,0.77,0.65,0.57,0.58,22,17,5,17,5
dspy_gemini_COPRO_mistral-small-3.1,per_class,dependence,+D,0.77,0.5,0.2,0.29,5,1,1,16,4
dspy_gemini_COPRO_mistral-small-3.1,per_class,dependence,-D,0.77,0.8,0.94,0.86,17,16,4,1,1
