agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_gemini_COPRO_qwen72b,overall,all,all,0.7,0.61,0.53,0.52,110,69,38,116,41
dspy_gemini_COPRO_qwen72b,macro_avg,rigidity,all,0.61,0.33,0.23,0.27,22,9,13,31,13
dspy_gemini_COPRO_qwen72b,per_class,rigidity,-R,0.64,0.0,0.0,0.0,1,0,7,14,1
dspy_gemini_COPRO_qwen72b,per_class,rigidity,~R,0.64,0.25,0.17,0.2,6,1,3,13,5
dspy_gemini_COPRO_qwen72b,per_class,rigidity,+R,0.55,0.73,0.53,0.62,15,8,3,4,7
dspy_gemini_COPRO_qwen72b,macro_avg,identity,all,0.68,0.59,0.68,0.58,22,15,7,15,7
dspy_gemini_COPRO_qwen72b,per_class,identity,-I,0.68,0.25,0.67,0.36,3,2,6,13,1
dspy_gemini_COPRO_qwen72b,per_class,identity,+I,0.68,0.93,0.68,0.79,19,13,1,2,6
dspy_gemini_COPRO_qwen72b,macro_avg,own_identity,all,0.57,0.58,0.51,0.54,22,11,8,14,11
dspy_gemini_COPRO_qwen72b,per_class,own_identity,+O,0.55,0.67,0.46,0.55,13,6,3,6,7
dspy_gemini_COPRO_qwen72b,per_class,own_identity,-O,0.59,0.5,0.56,0.53,9,5,5,8,4
dspy_gemini_COPRO_qwen72b,macro_avg,unity,all,0.82,0.67,0.62,0.62,22,16,6,38,6
dspy_gemini_COPRO_qwen72b,per_class,unity,+U,0.77,0.75,0.92,0.83,13,12,4,5,1
dspy_gemini_COPRO_qwen72b,per_class,unity,~U,0.91,0.5,0.5,0.5,2,1,1,19,1
dspy_gemini_COPRO_qwen72b,per_class,unity,-U,0.77,0.75,0.43,0.55,7,3,1,14,4
dspy_gemini_COPRO_qwen72b,macro_avg,dependence,all,0.82,0.9,0.6,0.61,22,18,4,18,4
dspy_gemini_COPRO_qwen72b,per_class,dependence,+D,0.82,1.0,0.2,0.33,5,1,0,17,4
dspy_gemini_COPRO_qwen72b,per_class,dependence,-D,0.82,0.81,1.0,0.89,17,17,4,1,0
