agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_gemini_MIPROv2_llama3b,overall,all,all,0.62,0.46,0.29,0.34,110,37,27,127,73
dspy_gemini_MIPROv2_llama3b,macro_avg,rigidity,all,0.68,0.31,0.19,0.23,22,7,6,38,15
dspy_gemini_MIPROv2_llama3b,per_class,rigidity,-R,0.95,0.0,0.0,0.0,1,0,0,21,1
dspy_gemini_MIPROv2_llama3b,per_class,rigidity,+R,0.41,0.6,0.4,0.48,15,6,4,3,9
dspy_gemini_MIPROv2_llama3b,per_class,rigidity,~R,0.68,0.33,0.17,0.22,6,1,2,14,5
dspy_gemini_MIPROv2_llama3b,macro_avg,identity,all,0.57,0.36,0.21,0.27,22,8,5,17,14
dspy_gemini_MIPROv2_llama3b,per_class,identity,+I,0.36,0.73,0.42,0.53,19,8,3,0,11
dspy_gemini_MIPROv2_llama3b,per_class,identity,-I,0.77,0.0,0.0,0.0,3,0,2,17,3
dspy_gemini_MIPROv2_llama3b,macro_avg,own_identity,all,0.61,0.71,0.4,0.5,22,9,4,18,13
dspy_gemini_MIPROv2_llama3b,per_class,own_identity,+O,0.55,0.67,0.46,0.55,13,6,3,6,7
dspy_gemini_MIPROv2_llama3b,per_class,own_identity,-O,0.68,0.75,0.33,0.46,9,3,1,12,6
dspy_gemini_MIPROv2_llama3b,macro_avg,unity,all,0.62,0.26,0.27,0.23,22,5,8,36,17
dspy_gemini_MIPROv2_llama3b,per_class,unity,-U,0.64,0.0,0.0,0.0,7,0,1,14,7
dspy_gemini_MIPROv2_llama3b,per_class,unity,+U,0.45,0.57,0.31,0.4,13,4,3,6,9
dspy_gemini_MIPROv2_llama3b,per_class,unity,~U,0.77,0.2,0.5,0.29,2,1,4,16,1
dspy_gemini_MIPROv2_llama3b,macro_avg,dependence,all,0.59,0.67,0.38,0.48,22,8,4,18,14
dspy_gemini_MIPROv2_llama3b,per_class,dependence,-D,0.36,0.67,0.35,0.46,17,6,3,2,11
dspy_gemini_MIPROv2_llama3b,per_class,dependence,+D,0.82,0.67,0.4,0.5,5,2,1,16,3
