agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
gemini_MIPROv2_mistral-small-3.1,overall,all,all,0.74,0.59,0.54,0.53,110,76,34,120,34
gemini_MIPROv2_mistral-small-3.1,macro_avg,rigidity,all,0.73,0.37,0.39,0.37,22,13,9,35,9
gemini_MIPROv2_mistral-small-3.1,per_class,rigidity,-R,0.95,0.0,0.0,0.0,1,0,0,21,1
gemini_MIPROv2_mistral-small-3.1,per_class,rigidity,~R,0.59,0.33,0.5,0.4,6,3,6,10,3
gemini_MIPROv2_mistral-small-3.1,per_class,rigidity,+R,0.64,0.77,0.67,0.71,15,10,3,4,5
gemini_MIPROv2_mistral-small-3.1,macro_avg,identity,all,0.86,0.7,0.64,0.66,22,19,3,19,3
gemini_MIPROv2_mistral-small-3.1,per_class,identity,-I,0.86,0.5,0.33,0.4,3,1,1,18,2
gemini_MIPROv2_mistral-small-3.1,per_class,identity,+I,0.86,0.9,0.95,0.92,19,18,2,1,1
gemini_MIPROv2_mistral-small-3.1,macro_avg,own_identity,all,0.55,0.53,0.53,0.53,22,12,10,12,10
gemini_MIPROv2_mistral-small-3.1,per_class,own_identity,-O,0.55,0.44,0.44,0.44,9,4,5,8,5
gemini_MIPROv2_mistral-small-3.1,per_class,own_identity,+O,0.55,0.62,0.62,0.62,13,8,5,4,5
gemini_MIPROv2_mistral-small-3.1,macro_avg,unity,all,0.79,0.69,0.55,0.5,22,15,7,37,7
gemini_MIPROv2_mistral-small-3.1,per_class,unity,-U,0.73,1.0,0.14,0.25,7,1,0,15,6
gemini_MIPROv2_mistral-small-3.1,per_class,unity,+U,0.77,0.72,1.0,0.84,13,13,5,4,0
gemini_MIPROv2_mistral-small-3.1,per_class,unity,~U,0.86,0.33,0.5,0.4,2,1,2,18,1
gemini_MIPROv2_mistral-small-3.1,macro_avg,dependence,all,0.77,0.65,0.57,0.58,22,17,5,17,5
gemini_MIPROv2_mistral-small-3.1,per_class,dependence,+D,0.77,0.5,0.2,0.29,5,1,1,16,4
gemini_MIPROv2_mistral-small-3.1,per_class,dependence,-D,0.77,0.8,0.94,0.86,17,16,4,1,1
