agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_gemini_MIPROv2_qwen72b,overall,all,all,0.77,0.63,0.57,0.58,110,79,31,123,31
dspy_gemini_MIPROv2_qwen72b,macro_avg,rigidity,all,0.76,0.45,0.44,0.43,22,14,8,36,8
dspy_gemini_MIPROv2_qwen72b,per_class,rigidity,+R,0.73,0.91,0.67,0.77,15,10,1,6,5
dspy_gemini_MIPROv2_qwen72b,per_class,rigidity,~R,0.68,0.44,0.67,0.53,6,4,5,11,2
dspy_gemini_MIPROv2_qwen72b,per_class,rigidity,-R,0.86,0.0,0.0,0.0,1,0,2,19,1
dspy_gemini_MIPROv2_qwen72b,macro_avg,identity,all,0.91,0.95,0.67,0.73,22,20,2,20,2
dspy_gemini_MIPROv2_qwen72b,per_class,identity,-I,0.91,1.0,0.33,0.5,3,1,0,19,2
dspy_gemini_MIPROv2_qwen72b,per_class,identity,+I,0.91,0.9,1.0,0.95,19,19,2,1,0
dspy_gemini_MIPROv2_qwen72b,macro_avg,own_identity,all,0.64,0.64,0.64,0.63,22,14,8,14,8
dspy_gemini_MIPROv2_qwen72b,per_class,own_identity,-O,0.64,0.55,0.67,0.6,9,6,5,8,3
dspy_gemini_MIPROv2_qwen72b,per_class,own_identity,+O,0.64,0.73,0.62,0.67,13,8,3,6,5
dspy_gemini_MIPROv2_qwen72b,macro_avg,unity,all,0.82,0.53,0.5,0.51,22,16,6,38,6
dspy_gemini_MIPROv2_qwen72b,per_class,unity,+U,0.91,0.92,0.92,0.92,13,12,1,8,1
dspy_gemini_MIPROv2_qwen72b,per_class,unity,~U,0.77,0.0,0.0,0.0,2,0,3,17,2
dspy_gemini_MIPROv2_qwen72b,per_class,unity,-U,0.77,0.67,0.57,0.62,7,4,2,13,3
dspy_gemini_MIPROv2_qwen72b,macro_avg,dependence,all,0.68,0.57,0.58,0.58,22,15,7,15,7
dspy_gemini_MIPROv2_qwen72b,per_class,dependence,+D,0.68,0.33,0.4,0.36,5,2,4,13,3
dspy_gemini_MIPROv2_qwen72b,per_class,dependence,-D,0.68,0.81,0.76,0.79,17,13,3,2,4
